id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-lang:botania:botania.challenge.animalFarm	sha256:097ebd24f7f6d8b1977a0794b9ddec2016db2296468ece14fef4d9c56ca9930e	Animal Farm	Ферма животных	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	14		
patchouli-lang:botania:botania.challenge.animalFarm.desc	sha256:518314f48fbcddf7ff2745beb4a7e499752807126666b371a6bc1d44de70b1aa	Create an automated animal farm with all farmable animal types. Bonus points if the food doesn't need to be input manually.	Создайте автоматизированную животноводческую ферму со всеми видами сельскохозяйственных животных. Бонусные баллы, если животных не требуется кормить вручную.	CHANGE	Создайте автоматическую ферму со всеми видами разводимых животных. Бонусные очки, если их не нужно кормить вручную.	Убраны канцелярит и повторы.	157	115	0.732
patchouli-lang:botania:botania.challenge.apothecaryRefill	sha256:779272f78b1b15e88c729b9f8232d9646ef0743bb02f1be477621469f1812857	Apothecary Refiller	Лепестковый аптекарь	CHANGE	Автодолив аптекаря	Название теперь обозначает задачу, а не сам предмет.	20	18	0.900
patchouli-lang:botania:botania.challenge.apothecaryRefill.desc	sha256:c8b558dd226be50b87310327f6dfc817a5f4948b9ad29dbd48fa135e5e6ae01a	Create a system that automatically refills the $(l:basics/apothecary)Petal Apothecary$(/l) if it's empty. Bonus points if the system can also automatically create flowers, given their components.	Создайте систему, которая автоматически наполняет $(l:basics/apothecary)Лепестковый Аптекарь$(/l) водой, если он пуст. Бонусные очки, если система также может автоматически создавать цветы с учетом компонентов.	CHANGE	Создайте систему, которая автоматически доливает воду в $(l:basics/apothecary)Лепестковый Аптекарь$(/l), когда он пуст. Бонусные очки, если она также создаёт цветы из заданных компонентов.	Фраза упрощена без потери условий.	183	161	0.880
patchouli-lang:botania:botania.challenge.autoQuarry	sha256:85715e564e950c818aeac236b63eb2092b4ab6445f778f5067fc5b11a54da971	Automated Quarry	Автоматический карьер	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	21		
patchouli-lang:botania:botania.challenge.autoQuarry.desc	sha256:da6ca89b48290a751518d89ab0794f21f4b94c13a29ce8519e4f1d02f1d0b87a	Create a mining quarry that digs for ores and stone underground. It should dig out chunks of land and output all of the mined resources, sorting them. Bonus points if it can relocate automatically after it's done with an area.	Создайте копающий карьер, который раскапывает руды и подземные камни. Он должен выкапывать куски земли и выводить все добытые ресурсы, сортируя их. Бонусные баллы, если он может автоматически перемещаться после того, как он 'разобрался' с областью.	CHANGE	Создайте карьер для автоматической добычи руды и камня под землёй. Он должен выкапывать участки породы и сортировать все добытые ресурсы. Бонусные очки, если после завершения работы он сам перемещается на новое место.	Убраны кальки и неестественные обороты.	248	217	0.875
patchouli-lang:botania:botania.challenge.battery	sha256:cbee09c363eebb36ee8bd4325f9e9bad04719654738d1da00958a62f61e879f1	Mana Battery	Манабатарейка	CHANGE	Манабатарея	Естественное название без уменьшительного оттенка.	13	11	0.846
patchouli-lang:botania:botania.challenge.battery.desc	sha256:dace0d2b1c06b2502597a02230b61240e542ed2e6102f4cb21d5007ee37d0cf6	Create a Mana Battery, a system where mana enters one pool and comes out of another, with a good number of pools as a buffer. Bonus points if the input or output can be changed.	Создайте систему, в которой мана входит в один бассейн и выходит из других. Бонусные баллы, если вход или выход можно изменить.	LENGTH_EXCEPTION	Создайте манабатарею: система принимает ману в один бассейн и выдаёт из другого, используя множество бассейнов как буфер. Бонусные очки, если вход или выход можно менять.	Восстановлено пропущенное условие о буфере; полный вариант превышает мягкий лимит.	127	170	1.339
patchouli-lang:botania:botania.challenge.boneMealFarm	sha256:2a3e63a0ff852b2cd3d4a71afd631639bc5c5bef3d0a86acf1d746b58e87d0e9	Bone Meal-type Farm	Ферма костной муки	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	18		
patchouli-lang:botania:botania.challenge.boneMealFarm.desc	sha256:06f8a956ba734eda975db2a3f36ee7f418150e21643c6ccc12cddbb52e699a02	Create an automated farm that uses bone meal to quickly grow crops on demand. Bonus points if the $(l:devices/forest_drum)Drum of the Wild$(/l) isn't used.	Создайте автоматизированную ферму, которая использует костную муку для быстрого выращивания сельскохозяйственных культур по запросу. Бонусные очки, если $(l:devices/forest_drum)Барабан дикой природы$(/l) не используется.	CHANGE	Создайте автоматическую ферму, которая по запросу ускоряет рост культур костной мукой. Бонусные очки, если не используется $(l:devices/forest_drum)Барабан дикой природы$(/l).	Фраза стала короче и естественнее.	191	145	0.759
patchouli-lang:botania:botania.challenge.cobbleGen	sha256:15683c96d37a29f341ef3f6262a19b3bc38314ff172007e1868053f9361949e5	Cobble Generator	Генератор булыжника	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	19		
patchouli-lang:botania:botania.challenge.cobbleGen.desc	sha256:1823530436928b319b86e3f54233d4fc709765b244b8415efcfe42d44defcde5	Create an automated cobblestone generator and harvester. Bonus points if it also generates normal stone without a furnace.	Создайте автоматизированный генератор булыжника, который будет также собирать его. Бонусные очки, если он также создает камень без печи.	CHANGE	Создайте автоматический генератор и сборщик булыжника. Бонусные очки, если он также производит обычный камень без печи.	Убраны повторы и прояснена функция сборщика.	136	119	0.875
patchouli-lang:botania:botania.challenge.entropinnyumSetup	sha256:47f7ba900297e6e4d78ca7364b0b89a06804b0abcf11092044f54d7008dee1d7	Entropinnyum Setup	Настройка энтропиннума	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	22		
patchouli-lang:botania:botania.challenge.entropinnyumSetup.desc	sha256:638eb850d9e9ff8cb1f1ba1083ab32bfef9716db8688925b89978c26d3c22bc9	Create a system that automatically crafts TNT and safely feeds it to an $(l:generating_flowers/entropinnyum)Entropinnyum$(/l) flower, creating mana. Bonus points if the sand and gunpowder required for the TNT don't need to be input manually.	Создайте систему, которая автоматически крафтит TNT и безопасно кормит цветок $(l:generating_flowers/entropinnyum)Энтропиннум$(/l), создавая ману. Бонусные баллы, если песок и порох, необходимые для TNT, не нужно вводить вручную.	CHANGE	Создайте систему, которая автоматически создаёт TNT и безопасно подаёт его цветку $(l:generating_flowers/entropinnyum)Энтропиннум$(/l), вырабатывая ману. Бонусные очки, если песок и порох для TNT не приходится подавать вручную.	Убраны кальки «кормит» и «вводить».	188	186	0.989
patchouli-lang:botania:botania.challenge.flowerFarm	sha256:02b254320e5ac7f6fcbc4326c6a03f9d443bf38508955b026e31eac23e40337c	Flower Farm	Цветочная ферма	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.flowerFarm.desc	sha256:0755e33e1aa03dc56279c8fba4f2a0a5af9902bea336ab9d844a6dec3199825c	Create an automated farm of all 16 colors of Botania flowers. Bonus points if the flowers are sorted.	Создайте автоматизированную ферму из всех 16 цветов цветков Ботании. Бонусные очки при сортировке цветов.	CHANGE	Создайте автоматическую ферму цветков Ботании всех 16 цветов. Бонусные очки, если цветки сортируются.	Исправлена двусмысленная конструкция.	105	101	0.962
patchouli-lang:botania:botania.challenge.fullCropFarm	sha256:573e91992b764b2216ab65d360cd0b447eb92a99b0228317a57842545c848733	Full Crop Farm	Полная ферма сельскохоз. культур	CHANGE	Ферма всех культур	Краткое название без сокращения.	32	18	0.562
patchouli-lang:botania:botania.challenge.fullCropFarm.desc	sha256:a8a1421df418e265be9ddb699fa364eda969fc1fb7d46784f46bc3ede18f6ae8	Create a crop farm with all types of crops (wheat, carrot, potato, beetroot, melon, pumpkin, cocoa, and nether wart) that runs at full efficiency. Bonus points if the outputs are sorted.	Создайте ферму сельскохозяйственных культур со всеми типами культур (пшеница, морковь, картофель, свекла, арбуз, тыква, какао и адский нарост), которая работает полностью автономно. Бонусные баллы, если культуры сортируются.	CHANGE	Создайте ферму всех культур (пшеницы, моркови, картофеля, свёклы, арбузов, тыкв, какао-бобов и незерского нароста), работающую на полную мощность. Бонусные очки, если урожай сортируется.	Уточнён смысл полной эффективности.	224	186	0.830
patchouli-lang:botania:botania.challenge.kekimurusSetup	sha256:bde03e02c5c0c0b54627a1dfbc75cac4ab941187f9f2f56da92699c5c16bf778	Kekimurus Setup	Система Кикиморуса	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	18		
patchouli-lang:botania:botania.challenge.kekimurusSetup.desc	sha256:1a1ee745c2583740bfe5bee6fc5d6a503706015818c30eb0c59aa6cff682b340	Fully automate a $(l:generating_flowers/kekimurus)Kekimurus$(/l); every part of the system must be automated and self-sustaining. Bonus points if only one crafty crate is used.	Полностью автоматизируйте $(l:generating_flowers/kekimurus)Кикиморус$(/l), каждая часть системы должна быть автоматизированной и самоподдерживающейся. Бонусные очки, если используется только один сборочный ящик.	CHANGE	Полностью автоматизируйте $(l:generating_flowers/kekimurus)Кикиморус$(/l): все части системы должны работать автоматически и поддерживать себя сами. Бонусные очки, если используется только один сборочный ящик.	Убрана тяжёлая цепочка прилагательных.	173	171	0.988
patchouli-lang:botania:botania.challenge.mobTower	sha256:cb1457f0e44601046b905df099e4a53a753a1c65c77fe4c3becdc200e6a14ed7	Spawning Tower	Нерестительная башня	CHANGE	Башня мобов	Естественное игровое название.	20	11	0.550
patchouli-lang:botania:botania.challenge.mobTower.desc	sha256:76e68147dc3b63a7d81660b07b83813d29f3ed86902da801869b49baa2934263	Create a tower style mob farm. Mobs must be sorted and put into specific chambers. Spawners can be used. Bonus points if the farm functions at 100%% efficiency without a player's interaction.	Создайте ферму мобов в башне. Мобы должны быть отсортированы и помещены в конкретные камеры в конце. Можно использовать спавнера. Бонусные очки, если ферма функционирует с эффективностью 100% без взаимодействия игрока.	CHANGE	Создайте башенную ферму мобов. Мобы должны сортироваться по отдельным камерам. Можно использовать спавнеры. Бонусные очки, если ферма работает на 100%% без участия игрока.	Исправлены грамматика и неестественные обороты.	218	169	0.775
patchouli-lang:botania:botania.challenge.orechid	sha256:a994eb6c345b47a7d2a24147bf1beec9e7bce95f71226c004e046d6c324d43f9	Automated Orechid	Автоматизация Рудноцвета	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	24		
patchouli-lang:botania:botania.challenge.orechid.desc	sha256:fff5d98f838090b014a6b3ac063d209974ae751d73fe35dcaaea5d8cc79474dd	Create a system that allows for the $(l:functional_flowers/orechid)Orechid$(/l) flower to be fully automated. Bonus points if the output is smelted and sorted.	Создайте систему, которая позволит полностью автоматизировать $(l:functional_flowers/orechid)Рудноцвет$(/l). Бонусные баллы, если результат плавится и сортируется.	CHANGE	Создайте систему, полностью автоматизирующую $(l:functional_flowers/orechid)Рудноцвет$(/l). Бонусные очки, если добытое переплавляется и сортируется.	Фраза сокращена, а результат назван точнее.	127	113	0.890
patchouli-lang:botania:botania.challenge.potionBrewer	sha256:515465323b971c9d3f6ae1816af0987f7cac54d81cca778686a41b6def2995e7	Automated Brewing	Автоматизированное зельеварение	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	31		
patchouli-lang:botania:botania.challenge.potionBrewer.desc	sha256:540436de4ab20f3d620ab95ad3a953faba257e9ebfdc89819f320ad85cb286d1	Create a system that can make all types of brews automatically on demand. Bonus points if it keeps a set of incenses always ignited in the player's base.	Создайте систему, которая автоматически сделает все виды зелий по требованию. Бонусные очки, если он держит множества благовоний, всегда зажжёными в базе игрока.	CHANGE	Создайте систему, которая по запросу автоматически готовит все виды варев. Бонусные очки, если она поддерживает набор благовоний на базе игрока постоянно зажжённым.	Исправлены согласование и неестественная конструкция.	161	164	1.019
patchouli-lang:botania:botania.challenge.pureDaisy	sha256:13d769ab53ed152bd3c71aac659ce0866b4cb1e7c33cb309f9cd7055e5aa587d	Auto Pure Daisy	Автоматическая чистая маргаритка	CHANGE	Автоматизация маргаритки	Название яснее обозначает задачу.	32	24	0.750
patchouli-lang:botania:botania.challenge.pureDaisy.desc	sha256:d348cecdd5b00ef9aa786dcd6eee3fd9805698eb1669a50389ee2db5eaae9999	Completely automate the $(l:basics/pure_daisy)Pure Daisy$(/l). Bonus points if only one spreader is used and/or if the wood/stone input is also automated.	Полностью автоматизируйте $(l:basics/pure_daisy)Чистую маргаритку$(/l). Бонусные баллы, если используется только один распространитель и/или если приём дерева/камня также автоматизирован.	CHANGE	Полностью автоматизируйте $(l:basics/pure_daisy)Чистую маргаритку$(/l). Бонусные очки, если используется только один распространитель и/или автоматически подаются дерево и камень.	«Подаются» естественнее технического «приёма».	160	152	0.950
patchouli-lang:botania:botania.challenge.recordFarm	sha256:49543f08273daeef958862e0411dc4a27ffac45464f5d18692e8c03990517fd0	Record Farm	Ферма пластинок	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.recordFarm.desc	sha256:f7662c3bd2731470ad055c4626a2a58c19a43b974740f8a249b418d209d58ea6	Create a system that produces records through the death of creepers at the hands of skeletons. Bonus points if it doesn't require a player's presence.	Создайте систему, которая производит пластинки через смерть крипера от скелетов. Бонусные очки, если это не требует наличия игрока.	CHANGE	Создайте систему, в которой скелеты убивают криперов, добывая пластинки. Бонусные очки, если присутствие игрока не требуется.	Убрана калька «через смерть».	131	125	0.954
patchouli-lang:botania:botania.challenge.reedFarm	sha256:4040077cfb314e14907e0c65c0cecc588ce7d40380c8f629ec207483a8bf6a70	Sugar Cane Farm	Ферма тростника	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.reedFarm.desc	sha256:d14ce3871fe5146171ecce98d5b674c4bdf6e7ee8f5e64883ba7319f9a99d212	Create an automated sugar cane farm. Bonus points for not using pistons.	Создайте автоматическую ферму сахарного тростника. Бонусные баллы за отсутствие поршней.	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	88		
patchouli-lang:botania:botania.challenge.runeCrafter	sha256:1d96c78690fece76879372f1fb0f1ee0183f0340427b3351bcbfaa4bb9500619	Rune Crafter	Создание рун	CHANGE	Создатель рун	Краткое название устройства, соответствующее источнику.	12	13	1.083
patchouli-lang:botania:botania.challenge.runeCrafter.desc	sha256:2a91f2e3b442b0dcc5a23bd09d38eda47adb74791bff435df2982149c179274d	Create a system that can craft all runes on demand or keep them stocked. Every part of this system must be automated and self-sustaining, including the item inputs. Bonus points if only one Runic Altar block is used. (You need to be pretty crazy to try this one.)	Создайте систему, которая может крафтить все руны по требованию или хранить их в запасе. Каждая часть этой системы должна быть автоматизированной и самоподдерживающейся, включая элементы ввода. Бонусные очки, если используется только один блок рунического алтаря. Вы должны быть довольно сумасшедшим, чтобы попробовать это.	CHANGE	Создайте систему, которая по запросу создаёт любые руны или держит их в запасе. Всё, включая подачу предметов, должно работать автоматически и автономно. Бонусные очки за единственный рунический алтарь. (Нужно быть безумцем, чтобы взяться за такое.)	Убраны кальки; восстановлен шутливый тон; текст сокращён по результату игровой проверки вёрстки.	323	249	0.771
patchouli-lang:botania:botania.challenge.shulkMeNotSetup	sha256:b51175de04e1a805ad1946732f031bad1cae73ce05b0b9aa2f884b00d78ef36a	Shulk Me Not Setup	Настройка дешалкерии	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	20		
patchouli-lang:botania:botania.challenge.shulkMeNotSetup.desc	sha256:aac77cadbcc0e285216592c6d70734305a5533f08ee56f1b2b80a33d36122f50	Create a system that allows for a $(l:generating_flowers/shulk_me_not)Shulk Me Not$(/l) to produce mana automatically, without any mana, items or entities from outside the system. Bonus points if no unnecessary mob infighting happens.	Создайте систему, которая позволяет $(l:generating_flowers/shulk_me_not)Дешалкерии$(/l) производить ману автоматически, без какой-либо маны, предметов или сущностей, поступающих извне. Бонусные очки, если не произойдет ненужной борьбы мобов.	CHANGE	Создайте систему, в которой $(l:generating_flowers/shulk_me_not)Дешалкерия$(/l) автоматически вырабатывает ману, не получая извне ни маны, ни предметов, ни существ. Бонусные очки, если между мобами не происходит лишних стычек.	Убраны тяжёлые конструкции и калька.	200	185	0.925
patchouli-lang:botania:botania.challenge.spectrolusSetup	sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3	Spectrolus Setup	Система Спектролиса	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	19		
patchouli-lang:botania:botania.challenge.spectrolusSetup.desc	sha256:ac9206c05da9609360b65425124aa2081c11e352bde5f10b8796feab656f2815	Create a system that feeds a $(l:generating_flowers/spectrolus)Spectrolus$(/l), generating mana. Aside from raw mana, no items may be input from outside the system. Bonus points if it operates at 100%% efficiency, never wasting any wool.	Создайте систему, которая питает $(l:generating_flowers/spectrolus)Спектролис$(/l), генерируя ману. Помимо сырой маны, никакие предметы не могут вводиться вне системы. Бонусные очки, если он работает с эффективностью 100%, никогда не теряя ни одной шерсти.	CHANGE	Создайте систему, которая кормит $(l:generating_flowers/spectrolus)Спектролис$(/l) и вырабатывает ману. Кроме сырой маны, в систему нельзя подавать предметы извне. Бонусные очки, если она работает на 100%%, не теряя ни блока шерсти.	Исправлены управление и согласование.	217	191	0.880
patchouli-lang:botania:botania.challenge.treeFarm	sha256:87142b7cb71ef006cc50385c347e1767930c2086c0061121984efc576e04ceb8	Tree Farm	Ферма дерева	CHANGE	Лесная ферма	Естественное игровое название.	12	12	1.000
patchouli-lang:botania:botania.challenge.treeFarm.desc	sha256:518fa3ae443fcf57df1fa05ac57a95743c0cc32a1317936d3e1719da51b292bf	Create an automated, self-sustaining tree farm. Bonus points if it can do multiple types of tree.	Создайте автоматизированную ферму дерева. Бонусные баллы, если она может использовать несколько типов деревьев.	CHANGE	Создайте автоматическую самоподдерживающуюся лесную ферму. Бонусные очки, если она выращивает несколько видов деревьев.	Восстановлено условие самоподдержания.	111	119	1.072
patchouli-lang:botania:botania.entry.aIntro	sha256:802db0455228f11f13bd484e3ee2c0d7aadf20c9ac2335d5b56c59085be21069	The Portal to Alfheim	Портал в Эльфхейм	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	17		
patchouli-lang:botania:botania.entry.agricarnation	sha256:bebd9e7b29412cfe219831986c8060a23d69c1be306111ffd11e2682599e41bd	Agricarnation	Агрогвоздика	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	12		
patchouli-lang:botania:botania.entry.animatedTorch	sha256:7ef694180978931d726ad557eaa816f15544a4ff36c715054fd7a2f765a992e6	Animated Torch	Оживлённый факел	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	16		
patchouli-lang:botania:botania.entry.apothecary	sha256:c37e54b47bd139b3bd92ac5aedb95932cb9c45933c781d2191fbc24380916179	Petal Apothecary	Лепестковый аптекарь	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	20		
patchouli-lang:botania:botania.entry.arcanerose	sha256:bec92e399160b6b31dccf7d996b36e66899a9115b9f73598e68eee4bcb57cd49	Rosa Arcana	Тайная роза	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	11		
patchouli-lang:botania:botania.entry.astrolabe	sha256:165a5d9a636f3f19d6adf266d00aaa3c079cc54f27b4e0b9090e1449f8324425	Worldshaper's Astrolabe	Астролябия формирователя мира	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	29		
patchouli-lang:botania:botania.entry.auraRing	sha256:7c6ee152137fb2910d54b7372c01676dbd3433f1e58db7cca66ec22cd117c1b9	Band of Aura	Кольцо ауры	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	11		
patchouli-lang:botania:botania.entry.autocraftingHalo	sha256:3158eed0a33d2517bd3c966340a616fb9d5378a40b5d5e3b34d97b8a9c522f0e	Manufactory Halo	Фабричный венец	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.entry.avatar	sha256:0ebe2f0d920539e7640b058805b75d56056b343cf01e463627a12f63ce185f37	Livingwood Avatar	Тотем из жизнедерева	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	20		
patchouli-lang:botania:botania.entry.azulejo	sha256:d95912be4561c15ffce613e803825e22c12a277edd37e6b8e4c1c8261af2dd49	Azulejos	Азулежу	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	7		
patchouli-lang:botania:botania.entry.bIntro	sha256:bed30e7eb1c231075264d5cb0420a80baba28e04252f9ca7e7ce643c3739dd59	Introduction to Trinkets	Знакомство с безделушками	CHANGE	Безделушки	Исправлена неестественная формулировка или языковая ошибка; смысл и разметка сохранены.	25	10	0.400
patchouli-lang:botania:botania.entry.banners	sha256:01b0761901fd581764efb7ce50d72fa9d2823966b1d9ad44404c31dccd3d3e02	Banner Additions	Новые баннеры	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	13		
patchouli-lang:botania:botania.entry.baubleBox	sha256:dd19ca00c932267619fa5f99d5786883c1b4f3174401f71c88f886e3ef185e6d	Trinket Case	Кейс для безделушек	LENGTH_EXCEPTION	Футляр для безделушек	Формулировка не проходит ограничение длины или маркеров.	19	21	1.105
patchouli-lang:botania:botania.entry.bellethorne	sha256:27c6b8d8903391892b4ff81a7439a1dde98b3eae0c13407cfd6b69f044a77c06	Bellethorne	Звоношип	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	8		
patchouli-lang:botania:botania.entry.bellows	sha256:3444f35c6b7d5fd135cf8b780c5b68f675746d75472447b061b9864ccec4b982	Manatide Bellows	Манамеха	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	8		
patchouli-lang:botania:botania.entry.bergamute	sha256:be2025bc683eb1935a7246d1066605f473cbce46f34957f01109986cfe8f3b48	Bergamute	Бергамут	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	8		
patchouli-lang:botania:botania.entry.blackHoleTalisman	sha256:f6074218c82924c14eb3a926de4b709db6ce81fee81ab386fe77a47072419beb	Black Hole Talisman	Талисман чёрной дыры	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	20		
patchouli-lang:botania:botania.entry.blackLotus	sha256:790a4590717918485f0e38385da506c95ec4eb9b6adf42a0183c260c2c887ae2	Black Lotus	Чёрный лотос	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	12		
patchouli-lang:botania:botania.entry.blazeBlock	sha256:0ca19f3e52d652729edc81af93d3737ca285a04bf8884ec3f49e449db2b482f8	Blaze Mesh	Светильник ифрита	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	17		
patchouli-lang:botania:botania.entry.bloodPendant	sha256:81791111c00cd7a880d90a70f6acf7c505a140e2feb4a9c55a7e26a9b137cd81	Tainted Blood Pendant	Кулон порченной крови	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	21		
patchouli-lang:botania:botania.entry.brewery	sha256:34a778147d94ef06660f567fb5ba14a115157090ef83fdfd08439a00137ca257	Botanical Brewery	Ботаническая варочная стойка	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	28		
patchouli-lang:botania:botania.entry.bubbell	sha256:7d1b47c24818a115d84ce5c094eb7a47b5eb6b254f807c3da4715f591cba1bb4	Bubbell	Бубл	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	4		
patchouli-lang:botania:botania.entry.cacophonium	sha256:69309051c48684ae2652cb5be9d70af6874a796ac293eab1968d30bda633c3f0	Cacophonium	Какофоний	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	9		
patchouli-lang:botania:botania.entry.canopyDrum	sha256:a017af25e8a65aa55f7cebb963027329cd83df410d4f3117224553b0e6a3237a	Drum of the Canopy	Барабан уничтожения листвы	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	26		
patchouli-lang:botania:botania.entry.challenges	sha256:40b9c8f444870eff94e260ea77c034c0078841842fedb9ba3cfe9e83b4ffb313	Challenges	Испытания	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	9		
patchouli-lang:botania:botania.entry.clayconia	sha256:1e641727e0963427955077a000b60e95f6b83796a7c0f8eee4e233b00cc7d2e7	Clayconia	Глинарцисс	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	10		
patchouli-lang:botania:botania.entry.clip	sha256:504888c91dbe5a192c1a91f3f2bbcd2884de87e1c759db5e7e38baa95fbb53fa	Lens Clip	Зажим для линз	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	14		
patchouli-lang:botania:botania.entry.cloudPendant	sha256:87a84dbaf03722e64e10c18e04c5c1cfdb28c44e4c8901a793337d6056bdda29	Cirrus Amulet	Амулет перистого облака	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	23		
patchouli-lang:botania:botania.entry.cobbleRod	sha256:7bf0b17fdbf7fbd24cdac408abb97f0208078fb2701d318a14e56435905d2318	Rod of the Depths	Жезл глубин	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	11		
patchouli-lang:botania:botania.entry.cocoon	sha256:91e0eaf5e7f09e1bdb1fb7772a65d6cabdc5a0722d0e10ad162153ba5f075446	Cocoon of Caprice	Кокон жизни	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	11		
patchouli-lang:botania:botania.entry.complexBrews	sha256:058a1a20f4a297ba6ad0e9ebaf8e8eecd8fda6ef35ae0f0707c75c73210345c9	Complex Brews	Комплексное варево	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	18		
