id	source_hash	old_translation	new_translation	reason	independent_review
block:block.actuallyadditions.smooth_black_quartz_slab	sha256:3c3628bcfb1829672ce7a8d4d53551b1c28f75b3832e8957cb3447c6b00d41cb	Плита из гладкого кварца	Плита из гладкого чёрного кварца	В названии пропущен цвет Black.	APPROVED
block:block.actuallyadditions.smooth_black_quartz_stair	sha256:458ef49c378fe2f04e7407ab496c1572ca3da665456de155173260ed489dce88	Ступеньки из гладкого кварца	Ступеньки из гладкого чёрного кварца	В названии пропущен цвет Black.	APPROVED
block:block.actuallyadditions.smooth_black_quartz_wall	sha256:d63f8990fa6b96452e669511c28f8e3e3f6ab963bb85116df0a1d56d16f87746	Ограда из гладкогоо чёрного кварца	Ограда из гладкого чёрного кварца	Опечатка «гладкогоо».	APPROVED
block:block.storagedrawers.framed_compacting_half_drawers_2	sha256:c5246b64d02dfab04b4db45a162167fa3b0346228b193e10d085d661fdc90da3	Обрамлённый спрессовывающий полуящик (2-уровень)	Обрамлённый спрессовывающий полуящик (2 уровня)	Ненормативная форма количества.	APPROVED
item:block.actuallyadditions.black_quartz_brick_slab	sha256:897291069a07798fb0ce0346b41669fd9fba1e4828b4ad4a50f0ca7626bd7c05	Плита из черного кварца	Плита из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.	APPROVED
item:block.actuallyadditions.black_quartz_brick_stair	sha256:1e552d89ad544f0c2f8766290904c8e84782e7551f224f6a8a3ee8b5f5f9278f	Супеньки из черного кварца	Ступеньки из чёрных кварцевых кирпичей	Опечатка «Супеньки» и потерян тип материала Black Quartz Brick.	APPROVED
item:block.actuallyadditions.black_quartz_brick_wall	sha256:adeb60c666c65ad2d2742c6e56b2302a9b93fa4b52c095d25869b749243930ea	Ограда из черного кварца	Ограда из чёрных кварцевых кирпичей	В названии потерян тип материала Black Quartz Brick.	APPROVED
item:block.actuallyadditions.empowered_diamatine_crystal_block	sha256:f341a5d297c39260204fed1c8abf15d4640ebfe0ad20c41a434e0d75ace05327	Усиленный кристальный Диаматина	Усиленный кристальный блок Диаматина	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
item:block.actuallyadditions.empowered_emeradic_crystal_block	sha256:d90dac9a8b5635483200290dd7c3757751159f27050ff60eb8bc080e6f8bbdf9	Усиленный кристальный Эмерадиса	Усиленный кристальный блок Эмерадиса	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
item:block.actuallyadditions.empowered_palis_crystal_block	sha256:c6abd7b0231c232a5bee07fe7cf2b38b712c0bafeb9f0dace04a3ef6fc880990	Усиленный кристальный Палиса	Усиленный кристальный блок Палиса	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
item:block.actuallyadditions.empowered_restonia_crystal_block	sha256:d4e8b2506ce6591c52b2008c88a75b186ed3af8d265ca48f64a0866dfe5040c6	Усиленный кристальный Рестонии	Усиленный кристальный блок Рестонии	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
item:block.actuallyadditions.empowered_void_crystal_block	sha256:7bc102a32954e0c02e39dbab7360f35a97516b4dd1c705a0f2e836b5fa9ab0e6	Усиленный кристальный Пустоты	Усиленный кристальный блок Пустоты	Пропущено слово «блок», нарушена грамматика семейства.	APPROVED
item:block.actuallyadditions.ethetic_green_stairs	sha256:d20cd69bed71ddc00b07314de0987918ff1d3253e27c8168072819360ed981cd	Декоративная лестница зелёный кварц	Декоративные ступеньки из зелёного кварца	Нарушена грамматика названия.	APPROVED
item:block.actuallyadditions.ethetic_white_stairs	sha256:2d13b0c2ca60648b622981e286f7c4d9ad0f3398c2476c5e88d7c022f05ff449	Декоративная лестница кварц	Декоративные ступеньки из кварца	Нарушена грамматика названия.	APPROVED
item:block.actuallyadditions.smooth_black_quartz_slab	sha256:3c3628bcfb1829672ce7a8d4d53551b1c28f75b3832e8957cb3447c6b00d41cb	Плита из гладкого кварца	Плита из гладкого чёрного кварца	В названии пропущен цвет Black.	APPROVED
item:block.actuallyadditions.smooth_black_quartz_stair	sha256:458ef49c378fe2f04e7407ab496c1572ca3da665456de155173260ed489dce88	Ступеньки из гладкого кварца	Ступеньки из гладкого чёрного кварца	В названии пропущен цвет Black.	APPROVED
item:block.actuallyadditions.smooth_black_quartz_wall	sha256:d63f8990fa6b96452e669511c28f8e3e3f6ab963bb85116df0a1d56d16f87746	Ограда из гладкогоо чёрного кварца	Ограда из гладкого чёрного кварца	Опечатка «гладкогоо».	APPROVED
item:block.storagedrawers.framed_compacting_half_drawers_2	sha256:c5246b64d02dfab04b4db45a162167fa3b0346228b193e10d085d661fdc90da3	Обрамлённый спрессовывающий полуящик (2-уровень)	Обрамлённый спрессовывающий полуящик (2 уровня)	Ненормативная форма количества.	APPROVED
item:item.actuallyadditions.crystallized_canola_seed	sha256:8ab7c3ed6f6a5cf4ee9e3a04ab294cdc7f69b2d3d64632bdc3b228e780095cc7	Кристаллизированые семена канолы	Кристаллизированные семена канолы	Орфографическая ошибка: одна «н» вместо двух.	APPROVED
item:item.actuallyadditions.drill_light_blue	sha256:a9ebea0ca61ebf391f49c48edfa8bb677d7268ed22508f109843185252465a1e	Светло- синяя дрель	Светло-синяя дрель	Лишний пробел после дефиса.	APPROVED
mantle-book:tconstruct:encyclopedia:armor/tconstruct_slime_boots.json:/text/1/text	sha256:f7952682826d080f070f10f64482d6cbe98fa2c584abe7a246f7cc34107bf655	Их можно создать вылив эндер-слизь на кроличью лапку, а починить с  помощью кроличьей шкурки.	Их можно создать, вылив эндер-слизь на кроличью лапку, а починить кроличьей шкуркой.	Исправлены пунктуация, лишний пробел и управление.	APPROVED
mantle-book:tconstruct:fantastic_foundry:blazing_blood/piglin_bartering.json:/text/0/text	sha256:96bbe047daa52db81def99b6ec520ef80cae2d6adfc35cdb7ee7636dac0d43c3	А Вы не склонны к насилию?  Ну, я видел, как некоторые из этих пиглинов несли фонари, наполненные какой-то огненной жидкостью, думаю, они используют её для освещения. Они могут расстаться с ними за определённую плату.	Что, не склонны к насилию? Что ж, я видел, как некоторые пиглины несли фонари с какой-то огненной жидкостью; кажется, они используют её для освещения. Возможно, они отдадут её за плату.	Исправлены регистр обращения, двойной пробел и несогласованность местоимения.	APPROVED
mantle-book:tconstruct:mighty_smelting:abilities/general/tconstruct_unbreakable.json:/effects/3	sha256:8190a3687a0cddb81003da5cced46e609d5517cb6eac4c947450ebfa529afef5	Не эффективен, если Вы пытаетесь съесть свой инструмент	Бесполезен, если попытаться съесть инструмент	Исправлена неестественная формулировка эффекта.	APPROVED
quest:240D7B64E63FCE4F:description:0	sha256:1c458e226dd89e991410cffa1fb88d133e957bed5fd5772a38a5e85c5347ac59	Вы также можете устранить нанесённый Backrooms ущерб:	Вы также можете устранить ущерб, нанесённый Backrooms:	Неестественный порядок слов.	APPROVED
