item_id	translation_key	en_us	ru_ru	status
actuallyadditions:black_quartz_pillar_wall	block.actuallyadditions.black_quartz_pillar_wall	Black Quartz Pillar Wall	Ограда из черного кварца	HAS_RU
actuallyadditions:black_quartz_slab	block.actuallyadditions.black_quartz_slab	Black Quartz Slab	Плита из чёрного кварца	HAS_RU
actuallyadditions:black_quartz_stair	block.actuallyadditions.black_quartz_stair	Black Quartz Stairs	Ступеньки из чёрного кварца	HAS_RU
actuallyadditions:black_quartz_wall	block.actuallyadditions.black_quartz_wall	Black Quartz Wall	Ограда из чёрного кварца	HAS_RU
actuallyadditions:book_pattern	item.actuallyadditions.book_pattern	Banner Pattern	Узор для баннера	HAS_RU
actuallyadditions:booklet	item.actuallyadditions.booklet	Actually Additions Manual (WIP)	Руководство Actually Additions (в разработке)	HAS_RU
actuallyadditions:breaker	block.actuallyadditions.breaker	Auto-Breaker	Авто-разрушитель	HAS_RU
actuallyadditions:canola	item.actuallyadditions.canola	Canola	Канола	HAS_RU
actuallyadditions:canola_oil_bucket	item.actuallyadditions.canola_oil_bucket	Canola Oil Bucket	Ведро масла канолы	HAS_RU
actuallyadditions:canola_press	block.actuallyadditions.canola_press	Canola Press	Каноловый пресс	HAS_RU
actuallyadditions:canola_seeds	item.actuallyadditions.canola_seeds	Canola Seeds	Семена канолы	HAS_RU
actuallyadditions:chiseled_black_quartz_block	block.actuallyadditions.chiseled_black_quartz_block	Chiseled Black Quartz	Резной блок чёрного кварца	HAS_RU
actuallyadditions:chiseled_black_quartz_slab	block.actuallyadditions.chiseled_black_quartz_slab	Chiseled Black Quartz Slab	Плита из резного чёрного кварца	HAS_RU
actuallyadditions:chiseled_black_quartz_stair	block.actuallyadditions.chiseled_black_quartz_stair	Chiseled Black Quartz Stairs	Ступеньки из резного чёрного кварца	HAS_RU
actuallyadditions:chiseled_black_quartz_wall	block.actuallyadditions.chiseled_black_quartz_wall	Chiseled Black Quartz Wall	Ограда из резного чёрного кварца	HAS_RU
actuallyadditions:coal_generator	block.actuallyadditions.coal_generator	Coal Generator	Угольный генератор	HAS_RU
actuallyadditions:coffee_beans	item.actuallyadditions.coffee_beans	Coffee Beans	Бобы кофе	HAS_RU
actuallyadditions:coffee_cup	item.actuallyadditions.coffee_cup	Cup with Coffee	Кружка кофе	HAS_RU
actuallyadditions:coffee_machine	block.actuallyadditions.coffee_machine	Coffee Maker	Кофеварка	HAS_RU
actuallyadditions:crafter_on_a_stick	item.actuallyadditions.crafter_on_a_stick	Crafting Table On A Stick	Верстак на палке	HAS_RU
actuallyadditions:crate_keeper	item.actuallyadditions.crate_keeper	Storage Crate Keeper (WIP)	Хранилище ящиков (WIP)	HAS_RU
actuallyadditions:crate_small	block.actuallyadditions.crate_small	Small Storage Crate (WIP)	Маленький ящик для хранения (WIP)	HAS_RU
actuallyadditions:crusher	block.actuallyadditions.crusher	Crusher	Дробитель	HAS_RU
actuallyadditions:crusher_double	block.actuallyadditions.crusher_double	Double Crusher	Двойной дробитель	HAS_RU
actuallyadditions:crystallized_canola_seed	item.actuallyadditions.crystallized_canola_seed	Crystallized Canola Seeds	Кристаллизированые семена канолы	HAS_RU
actuallyadditions:crystallized_oil_bucket	item.actuallyadditions.crystallized_oil_bucket	Crystallized Oil Bucket	Ведро кристаллизованного масла	HAS_RU
actuallyadditions:diamatine_crystal	item.actuallyadditions.diamatine_crystal	Diamatine Crystal	Кристалл Диаматина	HAS_RU
actuallyadditions:diamatine_crystal_block	block.actuallyadditions.diamatine_crystal_block	Diamatine Crystal Block	Кристальный блок Диаматина	HAS_RU
actuallyadditions:diamatine_crystal_cluster	block.actuallyadditions.diamatine_crystal_cluster	Light Blue Crystal Cluster	Светло-синее кристаллическое скопление	HAS_RU
actuallyadditions:diamatine_crystal_shard	item.actuallyadditions.diamatine_crystal_shard	Light Blue Crystal Shard	Светло-синий осколок кристалла	HAS_RU
actuallyadditions:diamond_aiot	item.actuallyadditions.diamond_aiot	Diamond AIOT	Алмазный мультиинструмент	HAS_RU
actuallyadditions:display_stand	block.actuallyadditions.display_stand	Display Stand	Выставочный стенд	HAS_RU
actuallyadditions:double_battery	item.actuallyadditions.double_battery	Double Battery	Двойная батарейка	HAS_RU
actuallyadditions:drill_black	item.actuallyadditions.drill_black	Black Drill	Чёрная дрель	HAS_RU
actuallyadditions:drill_blue	item.actuallyadditions.drill_blue	Blue Drill	Синяя дрель	HAS_RU
actuallyadditions:drill_brown	item.actuallyadditions.drill_brown	Brown Drill	Коричневая дрель	HAS_RU
actuallyadditions:drill_core	item.actuallyadditions.drill_core	Drill Core	Ядро дрели	HAS_RU
actuallyadditions:drill_cyan	item.actuallyadditions.drill_cyan	Cyan Drill	Голубая дрель	HAS_RU
actuallyadditions:drill_gray	item.actuallyadditions.drill_gray	Gray Drill	Серая дрель	HAS_RU
actuallyadditions:drill_green	item.actuallyadditions.drill_green	Green Drill	Зеленая дрель	HAS_RU
actuallyadditions:drill_light_blue	item.actuallyadditions.drill_light_blue	Light Blue Drill	Светло- синяя дрель	HAS_RU
actuallyadditions:drill_light_gray	item.actuallyadditions.drill_light_gray	Light Gray Drill	Светло-серая дрель	HAS_RU
actuallyadditions:drill_lime	item.actuallyadditions.drill_lime	Lime Drill	Лаймовая дрель	HAS_RU
actuallyadditions:drill_magenta	item.actuallyadditions.drill_magenta	Magenta Drill	Пурпурная дрель	HAS_RU
actuallyadditions:drill_orange	item.actuallyadditions.drill_orange	Orange Drill	Оранжевая дрель	HAS_RU
actuallyadditions:drill_pattern	item.actuallyadditions.drill_pattern	Banner Pattern	Узор для баннера	HAS_RU
actuallyadditions:drill_pink	item.actuallyadditions.drill_pink	Pink Drill	Розовая дрель	HAS_RU
actuallyadditions:drill_purple	item.actuallyadditions.drill_purple	Purple Drill	Фиолетовая дрель	HAS_RU
actuallyadditions:drill_red	item.actuallyadditions.drill_red	Red Drill	Красная дрель	HAS_RU
actuallyadditions:drill_upgrade_block_placing	item.actuallyadditions.drill_upgrade_block_placing	Drill Block Placing Augment	Улучшение дрели: Разместитель блоков	HAS_RU
actuallyadditions:drill_upgrade_five_by_five	item.actuallyadditions.drill_upgrade_five_by_five	Drill Area Augment II	Улучшение дрели: Добыча II	HAS_RU
actuallyadditions:drill_upgrade_fortune	item.actuallyadditions.drill_upgrade_fortune	Drill Fortune Augment I	Улучшение дрели: Удача I	HAS_RU
actuallyadditions:drill_upgrade_fortune_ii	item.actuallyadditions.drill_upgrade_fortune_ii	Drill Fortune Augment II (Gives Fortune III!)	Улучшение дрели: Удача III	HAS_RU
actuallyadditions:drill_upgrade_silk_touch	item.actuallyadditions.drill_upgrade_silk_touch	Drill Silk Touch Augment	Улучшение дрели: Шёлковое касание	HAS_RU
actuallyadditions:drill_upgrade_speed	item.actuallyadditions.drill_upgrade_speed	Drill Speed Augment	Улучшение дрели: Скорость I	HAS_RU
actuallyadditions:drill_upgrade_speed_ii	item.actuallyadditions.drill_upgrade_speed_ii	Drill Speed Augment II	Улучшение дрели: Скорость II	HAS_RU
actuallyadditions:drill_upgrade_speed_iii	item.actuallyadditions.drill_upgrade_speed_iii	Drill Speed Augment III	Улучшение дрели: Скорость III	HAS_RU
actuallyadditions:drill_upgrade_three_by_three	item.actuallyadditions.drill_upgrade_three_by_three	Drill Area Augment I	Улучшение дрели: Добыча I	HAS_RU
actuallyadditions:drill_white	item.actuallyadditions.drill_white	White Drill	Белая дрель	HAS_RU
actuallyadditions:drill_yellow	item.actuallyadditions.drill_yellow	Yellow Drill	Желтая дрель	HAS_RU
actuallyadditions:dropper	block.actuallyadditions.dropper	Automatic Precision Dropper	Автоматический точный выбрасыватель	HAS_RU
actuallyadditions:emeradic_crystal	item.actuallyadditions.emeradic_crystal	Emeradic Crystal	Кристалл Эмерадиса	HAS_RU
actuallyadditions:emeradic_crystal_block	block.actuallyadditions.emeradic_crystal_block	Emeradic Crystal Block	Кристальный блок Эмерадиса	HAS_RU
actuallyadditions:emeradic_crystal_cluster	block.actuallyadditions.emeradic_crystal_cluster	Green Crystal Cluster	Зелёное кристаллическое скопление	HAS_RU
actuallyadditions:emeradic_crystal_shard	item.actuallyadditions.emeradic_crystal_shard	Green Crystal Shard	Зелёный осколок кристалла	HAS_RU
actuallyadditions:empowered_canola_seed	item.actuallyadditions.empowered_canola_seed	Empowered Canola Seeds	Усиленные семена канолы	HAS_RU
actuallyadditions:empowered_diamatine_crystal	item.actuallyadditions.empowered_diamatine_crystal	Empowered Diamatine Crystal	Усиленный кристалл Диаматина	HAS_RU
actuallyadditions:empowered_diamatine_crystal_block	block.actuallyadditions.empowered_diamatine_crystal_block	Empowered Diamatine Crystal Block	Усиленный кристальный Диаматина	HAS_RU
actuallyadditions:empowered_emeradic_crystal	item.actuallyadditions.empowered_emeradic_crystal	Empowered Emeradic Crystal	Усиленный кристалл Эмерадиса	HAS_RU
actuallyadditions:empowered_emeradic_crystal_block	block.actuallyadditions.empowered_emeradic_crystal_block	Empowered Emeradic Crystal Block	Усиленный кристальный Эмерадиса	HAS_RU
actuallyadditions:empowered_enori_crystal	item.actuallyadditions.empowered_enori_crystal	Empowered Enori Crystal	Усиленный кристалл Энори	HAS_RU
actuallyadditions:empowered_enori_crystal_block	block.actuallyadditions.empowered_enori_crystal_block	Empowered Enori Crystal Block	Усиленный кристальный блок Энори	HAS_RU
actuallyadditions:empowered_oil_bucket	item.actuallyadditions.empowered_oil_bucket	Empowered Oil Bucket	Ведро обогащённого масла	HAS_RU
actuallyadditions:empowered_palis_crystal	item.actuallyadditions.empowered_palis_crystal	Empowered Palis Crystal	Усиленный кристалл Палиса	HAS_RU
actuallyadditions:empowered_palis_crystal_block	block.actuallyadditions.empowered_palis_crystal_block	Empowered Palis Crystal Block	Усиленный кристальный Палиса	HAS_RU
actuallyadditions:empowered_restonia_crystal	item.actuallyadditions.empowered_restonia_crystal	Empowered Restonia Crystal	Усиленный кристалл Рестонии	HAS_RU
actuallyadditions:empowered_restonia_crystal_block	block.actuallyadditions.empowered_restonia_crystal_block	Empowered Restonia Crystal Block	Усиленный кристальный Рестонии	HAS_RU
actuallyadditions:empowered_void_crystal	item.actuallyadditions.empowered_void_crystal	Empowered Void Crystal	Усиленный кристалл Пустоты	HAS_RU
actuallyadditions:empowered_void_crystal_block	block.actuallyadditions.empowered_void_crystal_block	Empowered Void Crystal Block	Усиленный кристальный Пустоты	HAS_RU
actuallyadditions:empowerer	block.actuallyadditions.empowerer	Empowerer	Зарядник	HAS_RU
actuallyadditions:empty_cup	item.actuallyadditions.empty_cup	Empty Cup	Пустая кружка	HAS_RU
actuallyadditions:ender_casing	block.actuallyadditions.ender_casing	Ender Casing	Эндер-корпус	HAS_RU
actuallyadditions:ender_star	item.actuallyadditions.ender_star	Ender Star	Звезда Края	HAS_RU
actuallyadditions:energizer	block.actuallyadditions.energizer	Energizer	Энерджайзер	HAS_RU
actuallyadditions:enervator	block.actuallyadditions.enervator	Enervator	Энерватор	HAS_RU
actuallyadditions:engineers_goggles	item.actuallyadditions.engineers_goggles	Engineer's Goggles	Очки инженера	HAS_RU
actuallyadditions:engineers_goggles_advanced	item.actuallyadditions.engineers_goggles_advanced	Engineer's Infrared Goggles	Инфракрасные очки инженера	HAS_RU
actuallyadditions:enori_crystal	item.actuallyadditions.enori_crystal	Enori Crystal	Кристалл Энори	HAS_RU
actuallyadditions:enori_crystal_block	block.actuallyadditions.enori_crystal_block	Enori Crystal Block	Кристальный блок Энори	HAS_RU
actuallyadditions:enori_crystal_cluster	block.actuallyadditions.enori_crystal_cluster	White Crystal Cluster	Белое кристаллическое скопление	HAS_RU
actuallyadditions:enori_crystal_shard	item.actuallyadditions.enori_crystal_shard	White Crystal Shard	Белый осколок кристалла	HAS_RU
actuallyadditions:ethetic_green_block	block.actuallyadditions.ethetic_green_block	Ethetic Green Quartz	Декоративный зелёный кварц	HAS_RU
actuallyadditions:ethetic_green_slab	block.actuallyadditions.ethetic_green_slab	Ethetic Green Quartz Slab	Плита декоративного зелёного кварца	HAS_RU
actuallyadditions:ethetic_green_stairs	block.actuallyadditions.ethetic_green_stairs	Ethetic Green Quartz Stairs	Декоративная лестница зелёный кварц	HAS_RU
actuallyadditions:ethetic_green_wall	block.actuallyadditions.ethetic_green_wall	Ethetic Green Quartz Wall	Декоративная зелёная кварцевая стена	HAS_RU
actuallyadditions:ethetic_white_block	block.actuallyadditions.ethetic_white_block	Ethetic Quartz	Декоративный кварц	HAS_RU
actuallyadditions:ethetic_white_slab	block.actuallyadditions.ethetic_white_slab	Ethetic Quartz Slab	Плита декоративного кварца	HAS_RU
actuallyadditions:ethetic_white_stairs	block.actuallyadditions.ethetic_white_stairs	Ethetic Quartz Stairs	Декоративная лестница кварц	HAS_RU
actuallyadditions:ethetic_white_wall	block.actuallyadditions.ethetic_white_wall	Ethetic Quartz Wall	Декоративная кварцевая стена	HAS_RU
actuallyadditions:farmer	block.actuallyadditions.farmer	Farmer	Фермер	HAS_RU
actuallyadditions:feeder	block.actuallyadditions.feeder	Automatic Feeder	Автоматическая кормушка	HAS_RU
actuallyadditions:fermenting_barrel	block.actuallyadditions.fermenting_barrel	Fermenting Barrel	Ферментирующая бочка	HAS_RU
actuallyadditions:filter	item.actuallyadditions.filter	Item Filter	Предметный фильтр	HAS_RU
actuallyadditions:firework_box	block.actuallyadditions.firework_box	Firework Box	Ящик фейрверков	HAS_RU
actuallyadditions:flax_seeds	item.actuallyadditions.flax_seeds	Flax Seeds	Семена льна	HAS_RU
actuallyadditions:fluid_collector	block.actuallyadditions.fluid_collector	Fluid Collector	Жидкостный собиратель	HAS_RU
actuallyadditions:fluid_placer	block.actuallyadditions.fluid_placer	Fluid Placer	Жидкостный разместитель	HAS_RU
actuallyadditions:gold_aiot	item.actuallyadditions.gold_aiot	Golden AIOT	Золотой мультиинструмент	HAS_RU
actuallyadditions:greenhouse_glass	block.actuallyadditions.greenhouse_glass	Greenhouse Glass	Тепличное стекло	HAS_RU
actuallyadditions:handheld_filler	item.actuallyadditions.handheld_filler	Handheld Filler	Ручной наполнитель	HAS_RU
actuallyadditions:heat_collector	block.actuallyadditions.heat_collector	Heat Collector	Тепловой коллектор	HAS_RU
actuallyadditions:hopping_item_interface	block.actuallyadditions.hopping_item_interface	Hopping Item Interface	Интерфейс предметной воронки	HAS_RU
actuallyadditions:iron_aiot	item.actuallyadditions.iron_aiot	Iron AIOT	Железный мультиинструмент	HAS_RU
actuallyadditions:iron_casing	block.actuallyadditions.iron_casing	Iron Casing	Железный корпус	HAS_RU
actuallyadditions:item_interface	block.actuallyadditions.item_interface	Item Interface	Интерфейс предмета	HAS_RU
actuallyadditions:item_tag	item.actuallyadditions.item_tag	Item Tag	Предметный тег	HAS_RU
actuallyadditions:lamp_black	block.actuallyadditions.lamp_black	Black Lamp	Чёрная лампа	HAS_RU
actuallyadditions:lamp_blue	block.actuallyadditions.lamp_blue	Blue Lamp	Синяя лампа	HAS_RU
actuallyadditions:lamp_brown	block.actuallyadditions.lamp_brown	Brown Lamp	Коричневая лампа	HAS_RU
actuallyadditions:lamp_controller	block.actuallyadditions.lamp_controller	Lamp Controller (WIP)	Контроллер лампы (WIP)	HAS_RU
actuallyadditions:lamp_cyan	block.actuallyadditions.lamp_cyan	Cyan Lamp	Голубая лампа	HAS_RU
actuallyadditions:lamp_gray	block.actuallyadditions.lamp_gray	Gray Lamp	Серая лампа	HAS_RU
actuallyadditions:lamp_green	block.actuallyadditions.lamp_green	Green Lamp	Зелёная лампа	HAS_RU
actuallyadditions:lamp_light_blue	block.actuallyadditions.lamp_light_blue	Light Blue Lamp	Светло-синяя лампа	HAS_RU
actuallyadditions:lamp_light_gray	block.actuallyadditions.lamp_light_gray	Light Gray Lamp	Светло-серая лампа	HAS_RU
actuallyadditions:lamp_lime	block.actuallyadditions.lamp_lime	Lime Lamp	Лаймовая лампа	HAS_RU
actuallyadditions:lamp_magenta	block.actuallyadditions.lamp_magenta	Magenta Lamp	Пурпурная лампа	HAS_RU
actuallyadditions:lamp_orange	block.actuallyadditions.lamp_orange	Orange Lamp	Оранжевая лампа	HAS_RU
actuallyadditions:lamp_pink	block.actuallyadditions.lamp_pink	Pink Lamp	Розовая лампа	HAS_RU
actuallyadditions:lamp_purple	block.actuallyadditions.lamp_purple	Purple Lamp	Фиолетовая лампа	HAS_RU
actuallyadditions:lamp_red	block.actuallyadditions.lamp_red	Red Lamp	Красная лампа	HAS_RU
actuallyadditions:lamp_white	block.actuallyadditions.lamp_white	White Lamp	Белая лампа	HAS_RU
actuallyadditions:lamp_yellow	block.actuallyadditions.lamp_yellow	Yellow Lamp	Жёлтая лампа	HAS_RU
actuallyadditions:laser_relay	block.actuallyadditions.laser_relay	Energy Laser Relay	Энергетическое лазерное реле	HAS_RU
actuallyadditions:laser_relay_advanced	block.actuallyadditions.laser_relay_advanced	Advanced Energy Laser Relay	Продвинутое энергетическое лазерное реле	HAS_RU
actuallyadditions:laser_relay_extreme	block.actuallyadditions.laser_relay_extreme	Extreme Energy Laser Relay	Экстремальное энергетическое лазерное реле	HAS_RU
actuallyadditions:laser_relay_fluids	block.actuallyadditions.laser_relay_fluids	Fluid Laser Relay	Жидкостное лазерное реле	HAS_RU
actuallyadditions:laser_relay_item	block.actuallyadditions.laser_relay_item	Item Laser Relay	Предметное лазерное реле	HAS_RU
actuallyadditions:laser_relay_item_advanced	block.actuallyadditions.laser_relay_item_advanced	Advanced Item Laser Relay	Продвинутое предметное лазерное реле	HAS_RU
actuallyadditions:laser_upgrade_invisibility	item.actuallyadditions.laser_upgrade_invisibility	Laser Relay Modifier: Invisibility (WIP)	Модификатор лазерного реле: Невидимость (WIP)	HAS_RU
actuallyadditions:laser_upgrade_range	item.actuallyadditions.laser_upgrade_range	Laser Relay Modifier: Range (WIP)	Модификатор лазерного реле: Дальность (WIP)	HAS_RU
actuallyadditions:laser_wrench	item.actuallyadditions.laser_wrench	Laser Wrench	Лазерный ключ	HAS_RU
actuallyadditions:lava_factory_casing	block.actuallyadditions.lava_factory_casing	Lava Factory Casing	Корпус лавовой фабрики	HAS_RU
actuallyadditions:lava_factory_controller	block.actuallyadditions.lava_factory_controller	Lava Factory Controller	Контроллер лавовой фабрики	HAS_RU
actuallyadditions:leaf_blo_pattern	item.actuallyadditions.leaf_blo_pattern	Banner Pattern	Узор для баннера	HAS_RU
actuallyadditions:leaf_blower	item.actuallyadditions.leaf_blower	Leaf Blower	Воздуходув	HAS_RU
actuallyadditions:leaf_generator	block.actuallyadditions.leaf_generator	Leaf-Eating Generator	Листовой генератор	HAS_RU
actuallyadditions:lens	item.actuallyadditions.lens	Lens	Линза	HAS_RU
actuallyadditions:lens_of_certain_death	item.actuallyadditions.lens_of_certain_death	Lens of Certain Death	Линза смерти	HAS_RU
actuallyadditions:lens_of_color	item.actuallyadditions.lens_of_color	Lens of Color	Линза цвета	HAS_RU
actuallyadditions:lens_of_detonation	item.actuallyadditions.lens_of_detonation	Lens of Detonation	Линза детонации	HAS_RU
actuallyadditions:lens_of_disenchanting	item.actuallyadditions.lens_of_disenchanting	Lens of Disenchanting	Линза разочарования	HAS_RU
actuallyadditions:lens_of_disruption	item.actuallyadditions.lens_of_disruption	Lens of Disruption	Линза разрушения	HAS_RU
actuallyadditions:lens_of_the_killer	item.actuallyadditions.lens_of_the_killer	Lens of the Killer (WIP)	Линза убийцы (WIP)	HAS_RU
actuallyadditions:lens_of_the_miner	item.actuallyadditions.lens_of_the_miner	Lens of the Miner	Линза шахтёра	HAS_RU
actuallyadditions:long_range_breaker	block.actuallyadditions.long_range_breaker	Long-Range Breaker	Разрушитель дальнего действия	HAS_RU
actuallyadditions:netherite_aiot	item.actuallyadditions.netherite_aiot	Netherite AIOT	Незеритовый мультиинструмент	HAS_RU
actuallyadditions:oil_generator	block.actuallyadditions.oil_generator	Oil Generator	Масляный генератор	HAS_RU
actuallyadditions:palis_crystal	item.actuallyadditions.palis_crystal	Palis Crystal	Кристалл Палиса	HAS_RU
actuallyadditions:palis_crystal_block	block.actuallyadditions.palis_crystal_block	Palis Crystal Block	Кристальный блок Палиса	HAS_RU
actuallyadditions:palis_crystal_cluster	block.actuallyadditions.palis_crystal_cluster	Blue Crystal Cluster	Синее кристаллическое скопление	HAS_RU
actuallyadditions:palis_crystal_shard	item.actuallyadditions.palis_crystal_shard	Blue Crystal Shard	Синий осколок кристалла	HAS_RU
actuallyadditions:phan_con_pattern	item.actuallyadditions.phan_con_pattern	Banner Pattern	Узор для баннера	HAS_RU
actuallyadditions:phantom_booster	block.actuallyadditions.phantom_booster	Range Booster	Фантомный ускоритель	HAS_RU
actuallyadditions:phantom_breaker	block.actuallyadditions.phantom_breaker	Phantom Breaker	Фантомный разрушитель	HAS_RU
actuallyadditions:phantom_connector	item.actuallyadditions.phantom_connector	Phantom Connector	Призрачный соединитель	HAS_RU
actuallyadditions:phantom_energyface	block.actuallyadditions.phantom_energyface	Phantom Energyface	Энерго-фантом	HAS_RU
actuallyadditions:phantom_itemface	block.actuallyadditions.phantom_itemface	Phantom Itemface	Фантомный интерфейс	HAS_RU
actuallyadditions:phantom_liquiface	block.actuallyadditions.phantom_liquiface	Phantom Liquiface	Жидкостный фантом	HAS_RU
actuallyadditions:phantom_placer	block.actuallyadditions.phantom_placer	Phantom Placer	Фантомный разместитель	HAS_RU
actuallyadditions:phantom_redstoneface	block.actuallyadditions.phantom_redstoneface	Phantom Redstoneface	Редстоун фантом	HAS_RU
actuallyadditions:placer	block.actuallyadditions.placer	Auto-Placer	Авто-разместитель	HAS_RU
actuallyadditions:player_interface	block.actuallyadditions.player_interface	Player Interface	Интерфейс игрока	HAS_RU
actuallyadditions:player_probe	item.actuallyadditions.player_probe	Player Probe	Зонд игрока	HAS_RU
actuallyadditions:powered_furnace	block.actuallyadditions.powered_furnace	Powered Furnace	Усиленная печь	HAS_RU
actuallyadditions:quadruple_battery	item.actuallyadditions.quadruple_battery	Quadruple Battery	Четверная батарейка	HAS_RU
actuallyadditions:quintuple_battery	item.actuallyadditions.quintuple_battery	Quintuple Battery	Пятерная батарейка	HAS_RU
actuallyadditions:ranged_collector	block.actuallyadditions.ranged_collector	Ranged Collector	Диапазонный собиратель	HAS_RU
actuallyadditions:refined_canola_oil_bucket	item.actuallyadditions.refined_canola_oil_bucket	Refined Canola Oil Bucket	Ведро рафинированного масла канолы	HAS_RU
actuallyadditions:restonia_crystal	item.actuallyadditions.restonia_crystal	Restonia Crystal	Кристалл Рестонии	HAS_RU
actuallyadditions:restonia_crystal_block	block.actuallyadditions.restonia_crystal_block	Restonia Crystal Block	Кристальный блок Рестонии	HAS_RU
actuallyadditions:restonia_crystal_cluster	block.actuallyadditions.restonia_crystal_cluster	Red Crystal Cluster	Красное кристаллическое скопление	HAS_RU
actuallyadditions:restonia_crystal_shard	item.actuallyadditions.restonia_crystal_shard	Red Crystal Shard	Красный осколок кристалла	HAS_RU
actuallyadditions:rice	item.actuallyadditions.rice	Rice	Рис	HAS_RU
actuallyadditions:rice_dough	item.actuallyadditions.rice_dough	Rice Dough	Рисовое тесто	HAS_RU
actuallyadditions:rice_seeds	item.actuallyadditions.rice_seeds	Rice Seeds	Рисовые семена	HAS_RU
actuallyadditions:rice_slimeball	item.actuallyadditions.rice_slimeball	Rice Slimeball	Рисовый слизнешар	HAS_RU
actuallyadditions:ring	item.actuallyadditions.ring	Ring	Кольцо	HAS_RU
actuallyadditions:ring_of_growth	item.actuallyadditions.ring_of_growth	Ring of Growth	Кольцо роста	HAS_RU
actuallyadditions:ring_of_magnetizing	item.actuallyadditions.ring_of_magnetizing	Ring of Magnetizing	Кольцо намагничивания	HAS_RU
actuallyadditions:shock_suppressor	block.actuallyadditions.shock_suppressor	Shock Absorber	Амортизатор	HAS_RU
actuallyadditions:single_battery	item.actuallyadditions.single_battery	Single Battery	Одиночная батарейка	HAS_RU
actuallyadditions:smooth_black_quartz_block	block.actuallyadditions.smooth_black_quartz_block	Smooth Black Quartz	Гладкий черный кварц	HAS_RU
actuallyadditions:smooth_black_quartz_slab	block.actuallyadditions.smooth_black_quartz_slab	Smooth Black Quartz Slab	Плита из гладкого кварца	HAS_RU
actuallyadditions:smooth_black_quartz_stair	block.actuallyadditions.smooth_black_quartz_stair	Smooth Black Quartz Stairs	Ступеньки из гладкого кварца	HAS_RU
actuallyadditions:smooth_black_quartz_wall	block.actuallyadditions.smooth_black_quartz_wall	Smooth Black Quartz Wall	Ограда из гладкогоо чёрного кварца	HAS_RU
actuallyadditions:solidified_experience	item.actuallyadditions.solidified_experience	Solidified Experience	Затвердевший опыт	HAS_RU
actuallyadditions:stone_aiot	item.actuallyadditions.stone_aiot	Stone AIOT	Каменный мультиинструмент	HAS_RU
actuallyadditions:teleport_staff	item.actuallyadditions.teleport_staff	Teleport Staff	Посох телепортации	HAS_RU
actuallyadditions:tiny_charcoal	item.actuallyadditions.tiny_charcoal	Tiny Charcoal	Мелкий древесный уголь	HAS_RU
actuallyadditions:tiny_coal	item.actuallyadditions.tiny_coal	Tiny Coal	Мелкий уголь	HAS_RU
actuallyadditions:tiny_torch	block.actuallyadditions.tiny_torch	Tiny Torch	Крошечный факел	HAS_RU
actuallyadditions:travelers_sack	item.actuallyadditions.travelers_sack	Traveler's Sack	Мешок путешественника	HAS_RU
actuallyadditions:triple_battery	item.actuallyadditions.triple_battery	Triple Battery	Тройная батарейка	HAS_RU
actuallyadditions:vertical_digger	block.actuallyadditions.vertical_digger	Vertical Digger	Вертикальный копатель	HAS_RU
