namespace	key	en_us	current_ru	proposed_ru	reason
thermal	item.thermal.diving_leggings	Diving Leggings		Штаны гидрокостюма	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.energy_duct	Fluxduct		Энергетическая труба	В установленном Thermal Dynamics есть только en_us, русский lang-файл отсутствует.
thermal	item.thermal.explosive_grenade	Grenade		Граната	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.flux_drill	Fluxbore		Потоковый бур	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.flux_saw	Fluxsaw		Потоковая пила	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.glowstone_mushroom_spores	Glimmercap Spores		Споры гриба с мерцающей шляпкой	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.gunpowder_mushroom_spores	Boomshroom Spores		Споры взрывогриба	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.iron_gear	Iron Gear		Железная шестерня	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.bitumen	Bitumen		Битум	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_bottler	Fluid Encapsulator		Жидкостный наполнитель	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_centrifuge	Centrifugal Separator		Центробежный сепаратор	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_chiller	Blast Chiller		Шоковый охладитель	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_crystallizer	Crystallizer		Кристаллизатор	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_frame	Machine Frame		Каркас механизма	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_insolator	Phytogenic Insolator		Фитогенный облучатель	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_press	Multiservo Press		Мультисерво-пресс	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_pulverizer	Pulverizer		Измельчитель	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_pyrolyzer	Pyrolyzer		Пиролизёр	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_refinery	Fractionating Still		Фракционный дистиллятор	Русское имя отсутствует в ru_ru установленного JAR.
thermal	block.thermal.machine_smelter	Induction Smelter		Индукционная плавильня	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.redstone_mushroom_spores	Fluxtooth Spores		Споры флюсозуба	Русское имя отсутствует в ru_ru установленного JAR.
thermal	fluid_type.thermal.crude_oil	Crude Oil		Сырая нефть	Русское имя жидкости отсутствует в ru_ru установленного JAR.
thermal	fluid_type.thermal.light_oil	Light Oil		Лёгкая нефть	Русское имя жидкости отсутствует в ru_ru установленного JAR.
thermal	fluid_type.thermal.refined_fuel	Refined Fuel		Очищенное топливо	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.refined_fuel_bucket	Refined Fuel Bucket		Ведро очищенного топлива	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.rubber	Glue		Клей	Loose override переименовывает Rubber в Glue; русского имени в JAR нет.
thermal	item.thermal.niter_dust	Niter Dust		Селитровая пыль	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.slime_mushroom_spores	Slitake Spores		Споры слизнегриба	Русское имя отсутствует в ru_ru установленного JAR.
thermal	item.thermal.tar	Tar		Гудрон	Русское имя отсутствует в ru_ru установленного JAR; это продукт переработки нефти, а не древесный дёготь.
thermal	block.thermal.tinker_bench	Tinker's Workbench		Верстак мастера	Русское имя отсутствует в ru_ru установленного JAR.
