namespace	key	en_us	current_ru	proposed_ru	reason
decorative_blocks	block.decorative_blocks.mangrove_seat	Mangrove Seat		Мангровый стул	Русское название отсутствует.
decorative_blocks	block.decorative_blocks.mangrove_support	Mangrove Support		Мангровый кронштейн	Русское название отсутствует.
dtneapolitan	block.dtneapolitan.banana_branch	Banana Plant		Банановое растение	Русское название отсутствует.
dtneapolitan	item.dtneapolitan.banana_seed	Banana Sucker		Отросток банана	Русское название отсутствует.
dynamictrees	item.dynamictrees.azalea_seed	Azalea Seed		Семя азалии	Русское название отсутствует.
dynamictrees	block.dynamictrees.cherry_branch	Cherry Tree		Вишнёвое дерево	Русское название отсутствует.
dynamictrees	item.dynamictrees.cherry_seed	Cherry Blossom Pit		Вишнёвая косточка	Русское название отсутствует.
dynamictrees	item.dynamictrees.cocoa_seed	Cocoa Pod		Плод какао	Русское название отсутствует.
dynamictrees	item.dynamictrees.dendro_potion	Dendro Potion		Дендрозелье	Русское название отсутствует; en_us восстановлен по ID.
dynamictrees	block.dynamictrees.mangrove_branch	Mangrove Tree		Мангровое дерево	Русское название отсутствует.
dynamictrees	block.dynamictrees.mangrove_roots	Mangrove Tree		Корни мангрового дерева	Русское название отсутствует.
dynamictrees	item.dynamictrees.mangrove_seed	Mangrove Propagule		Мангровый отросток	Русское название отсутствует.
dynamictrees	item.dynamictrees.mega_crimson_seed	Mega Crimson Cap		Гигантская багровая шляпка	Русское название отсутствует.
dynamictrees	item.dynamictrees.mega_jungle_seed	Mega Jungle Pod		Гигантский тропический плод	Русское название отсутствует.
dynamictrees	item.dynamictrees.mega_spruce_seed	Mega Spruce Cone		Гигантская еловая шишка	Русское название отсутствует.
dynamictrees	item.dynamictrees.mega_warped_seed	Mega Warped Cap		Гигантская искажённая шляпка	Русское название отсутствует.
eidolon	item.eidolon.illwood_sign	Illwood Sign		Табличка из иллвуда	Русское название отсутствует; en_us восстановлен по ID.
eidolon	item.eidolon.polished_sign	Polished Sign		Табличка из гладких досок	Русское название отсутствует; en_us восстановлен по ID.
enderchests	item.enderchests.ender_bag	Ender Bag		Эндер-мешок	Русское название отсутствует; en_us восстановлен по ID.
enderchests	item.enderchests.ender_chest	Ender Chest		Эндер-сундук	Русское название отсутствует; en_us восстановлен по ID.
endertanks	item.endertanks.ender_bucket	Ender Bucket		Эндер-ведро	Русское название отсутствует; en_us восстановлен по ID.
endertanks	item.endertanks.ender_tank	Ender Tank		Эндер-резервуар	Русское название отсутствует; en_us восстановлен по ID.
fairylights	block.fairylights.candle_lantern	Candle Lantern		Свечной фонарь	Русское название отсутствует.
fairylights	block.fairylights.candle_lantern_light	Candle Lantern Light		Огонёк свечного фонаря	Русское название отсутствует.
fairylights	block.fairylights.flower_light	Flower Light		Цветочный фонарик	Русское название отсутствует.
fairylights	item.fairylights.garland	Vine Garland		Гирлянда из лиан	Русское название отсутствует.
fairylights	block.fairylights.ghost_light	Ghost Light		Фонарик-призрак	Русское название отсутствует.
fairylights	block.fairylights.heart_light	Heart Light		Фонарик-сердце	Русское название отсутствует.
fairylights	block.fairylights.icicle_lights	Icicle Lights		Гирлянда из сосулек	Русское название отсутствует.
fairylights	block.fairylights.incandescent_light	Incandescent Light		Лампа накаливания	Русское название отсутствует.
fairylights	block.fairylights.jack_o_lantern	Jack o'Lantern		Светильник Джека	Русское название отсутствует.
fairylights	item.fairylights.letter_bunting	Letter Bunting		Гирлянда с буквами	Русское название отсутствует.
fairylights	block.fairylights.moon_light	Moon Light		Фонарик-луна	Русское название отсутствует.
fairylights	block.fairylights.oil_lantern	Oil Lantern		Масляный фонарь	Русское название отсутствует.
fairylights	block.fairylights.oil_lantern_light	Oil Lantern Light		Огонёк масляного фонаря	Русское название отсутствует.
fairylights	block.fairylights.orb_lantern	Orb Lantern		Шарообразный фонарь	Русское название отсутствует.
fairylights	item.fairylights.pennant_bunting	Pennant Bunting		Гирлянда из флажков	Русское название отсутствует.
fairylights	block.fairylights.skull_light	Skull Light		Фонарик-череп	Русское название отсутствует.
fairylights	block.fairylights.snowflake_light	Snowflake Light		Фонарик-снежинка	Русское название отсутствует.
fairylights	item.fairylights.spearhead_pennant	Spearhead Pennant		Остроконечный флажок	Русское название отсутствует.
fairylights	block.fairylights.spider_light	Spider Light		Фонарик-паук	Русское название отсутствует.
fairylights	item.fairylights.square_pennant	Square Pennant		Квадратный флажок	Русское название отсутствует.
fairylights	block.fairylights.star_light	Star Light		Фонарик-звезда	Русское название отсутствует.
fairylights	item.fairylights.swallowtail_pennant	Swallowtail Pennant		Раздвоенный флажок	Русское название отсутствует.
fairylights	item.fairylights.tinsel	Tinsel Garland		Гирлянда из мишуры	Русское название отсутствует.
fairylights	item.fairylights.triangle_pennant	Triangle Pennant		Треугольный флажок	Русское название отсутствует.
fairylights	block.fairylights.witch_light	Witch Light		Ведьмин фонарик	Русское название отсутствует.
farmersdelight	item.farmersdelight.basket	Basket		Корзина	Русское название отсутствует; en_us восстановлен по ID.
guideme	item.guideme.guide	Guide		Справочник	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.acetaldehyde_bucket	Bucket of Acetaldehyde		Ведро ацетальдегида	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.armor_piercing	Armor Piercing		Бронебойный патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.buckshot	Buckshot		Патрон с картечью	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.bulwark_spawn_egg	Bulwark Spawn Egg		Яйцо призыва бастиона	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.casull	Casull		Патрон «Касулл»	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	block.immersiveengineering.clinker_brick	Clinker Bricks		Клинкерные кирпичи	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.clinker_brick_quoin	Clinker Brick Quoin		Угловой клинкерный кирпич	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.clinker_brick_sill	Clinker Brick Sill		Клинкерный подоконник	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.commando_spawn_egg	Commando Spawn Egg		Яйцо призыва коммандос	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.concrete_brick	Concrete Brick		Бетонные кирпичи	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.concrete_brick_cracked	Cracked Concrete Brick		Потрескавшиеся бетонные кирпичи	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.concrete_chiseled	Chiseled Concrete		Резной бетон	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.concrete_pillar	Concrete Pillar		Бетонная колонна	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.dragons_breath	Dragons Breath		Патрон «Дыхание дракона»	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	block.immersiveengineering.duroplast	Duroplast Block		Блок дуропласта	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.electromagnet	Electromagnet		Электромагнит	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.ersatz_leather	Ersatz Leather		Искусственная кожа	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.fake_icon_birthday	Fake Icon Birthday		Значок дня рождения	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fake_icon_bttf	Fake Icon Bttf		Значок путешествия во времени	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fake_icon_drillbreak	Fake Icon Drillbreak		Значок сломанного бура	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fake_icon_fried	Fake Icon Fried		Значок перегрева	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fake_icon_lucky	Fake Icon Lucky		Счастливый значок	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fake_icon_ravenholm	Fake Icon Ravenholm		Значок Рейвенхольма	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.firework	Firework		Фейерверочный патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.flare	Flare		Сигнальный патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.fusilier_spawn_egg	Fusilier Spawn Egg		Яйцо призыва фузилёра	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.glider	Collapsible Glider		Складной планер	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.grindingdisk	Grinding Disk		Шлифовальный диск	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.grit_sand	Grit Sand		Крупнозернистый песок	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.he	HE		Фугасный патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	block.immersiveengineering.hempcrete_brick	Hempcrete Brick		Кирпичи из пенькобетона	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.hempcrete_brick_cracked	Cracked Hempcrete Brick		Потрескавшиеся кирпичи из пенькобетона	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.hempcrete_chiseled	Chiseled Hempcrete		Резной пенькобетон	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.hempcrete_pillar	Hempcrete Pillar		Колонна из пенькобетона	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.homing	Homing		Самонаводящийся патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	item.immersiveengineering.light_bulb	Incandescent Light Bulb		Лампа накаливания	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.phenolic_resin_bucket	Bucket of Phenolic Resin		Ведро фенольной смолы	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.silver	Silver		Серебряный патрон	Русское название отсутствует; en_us восстановлен по ID.
immersiveengineering	block.immersiveengineering.slab_clinker_brick	Clinker Brick Slab		Плита из клинкерных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slab_concrete_brick	Concrete Brick Slab		Плита из бетонных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slab_hempcrete_brick	Hempcrete Brick Slab		Плита из пенькобетонных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slab_slag_brick	Slag Brick Slab		Плита из шлаковых кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slag_brick	Slag Bricks		Шлаковые кирпичи	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slag_glass	Slag Glass		Шлаковое стекло	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.slag_gravel	Slag Gravel		Шлаковый гравий	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.stairs_clinker_brick	Clinker Brick Stairs		Ступеньки из клинкерных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.stairs_concrete_brick	Concrete Brick Stairs		Ступеньки из бетонных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.stairs_hempcrete_brick	Hempcrete Brick Stairs		Ступеньки из пенькобетонных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.stairs_slag_brick	Slag Brick Stairs		Ступеньки из шлаковых кирпичей	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.toolupgrade_drill_fortune	Rock Softening Acid		Кислота для размягчения породы	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.toolupgrade_powerpack_antenna	Charging Antenna		Зарядная антенна	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.toolupgrade_powerpack_induction	Induction Charger		Индукционное зарядное устройство	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.toolupgrade_powerpack_magnet	Portable Electromagnet		Переносной электромагнит	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.toolupgrade_powerpack_tesla	Miniaturized Tesla Coil		Миниатюрная катушка Теслы	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.wall_clinker_brick	Clinker Brick Wall		Ограда из клинкерных кирпичей	Русское название отсутствует.
immersiveengineering	block.immersiveengineering.wall_slag_brick	Slag Brick Wall		Ограда из шлаковых кирпичей	Русское название отсутствует.
immersiveengineering	item.immersiveengineering.wolfpack	Wolfpack		Патрон «Волчья стая»	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.battery_bowl	Battery Bowl		Чаша с батарейками	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.chapter_1_star	Chapter 1 Star		Звезда главы 1	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.chapter_2_star	Chapter 2 Star		Звезда главы 2	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.chapter_3_star	Chapter 3 Star		Звезда главы 3	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.chapter_4_star	Chapter 4 Star		Звезда главы 4	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.chapter_5_star	Chapter 5 Star		Звезда главы 5	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.clean_energy	Clean Energy		Чистая энергия	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.explantion2_sign_red	Explantion2 Sign Red		Красный поясняющий знак	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.red_locker_double	Red Locker Double		Красный двойной шкафчик	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.red_locker_single	Red Locker Single		Красный шкафчик	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.traffic_pole_red	Traffic Pole Red		Красный дорожный столб	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.transparent_bedrock	Transparent Bedrock		Прозрачный бедрок	Русское название отсутствует; en_us восстановлен по ID.
kubejs	item.kubejs.wallpaper1_red	Wallpaper1 Red		Красные обои	Русское название отсутствует; en_us восстановлен по ID.
lipoolroomsadditions	item.lipoolroomsadditions.oak_pool_chair	Oak Pool Chair		Дубовое кресло для бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.oak_pool_chair_back	Oak Pool Chair		Дубовое кресло для бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.oak_pool_chair_front	Oak Pool Chair		Дубовое кресло для бассейна	Русское название отсутствует.
lipoolroomsadditions	item.lipoolroomsadditions.oil_treated_oak_pool_chair	Oil Treated Oak Pool Chair		Дубовое кресло для бассейна, пропитанное маслом	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.oil_treated_oak_pool_chair_back	Oil Treated Oak Pool Chair		Дубовое кресло для бассейна, пропитанное маслом	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.oil_treated_oak_pool_chair_front	Oil Treated Oak Pool Chair		Дубовое кресло для бассейна, пропитанное маслом	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_bend_inner	Pool Railing Bend Inner		Внутренний угол ограждения бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_bend_outer	Pool Railing Bend Outer		Внешний угол ограждения бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_end_l	Pool Railing End L		Левый конец ограждения бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_end_r	Pool Railing End L		Правый конец ограждения бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_mid_i	Pool Railing Mid I		Прямое ограждение бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.pool_railing_mid_t	Pool Railing Mid T		Т-образное ограждение бассейна	Русское название отсутствует.
lipoolroomsadditions	item.lipoolroomsadditions.white_painted_oak_pool_chair	White Painted Oak Pool Chair		Белое дубовое кресло для бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.white_painted_oak_pool_chair_back	White Painted Oak Pool Chair		Белое дубовое кресло для бассейна	Русское название отсутствует.
lipoolroomsadditions	block.lipoolroomsadditions.white_painted_oak_pool_chair_front	White Painted Oak Pool Chair		Белое дубовое кресло для бассейна	Русское название отсутствует.
mekanism	item.mekanism.module_attack_amplification_unit	Module Attack Amplification Unit		Модуль усиления атаки	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_blasting_unit	Module Blasting Unit		Модуль взрывных работ	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_charge_distribution_unit	Module Charge Distribution Unit		Модуль распределения заряда	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_color_modulation_unit	Module Color Modulation Unit		Модуль изменения цвета	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_dosimeter_unit	Module Dosimeter Unit		Модуль дозиметра	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_electrolytic_breathing_unit	Module Electrolytic Breathing Unit		Модуль электролитического дыхания	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_elytra_unit	Module Elytra Unit		Модуль элитр	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_energy_unit	Module Energy Unit		Энергетический модуль	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_excavation_escalation_unit	Module Excavation Escalation Unit		Модуль ускорения добычи	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_farming_unit	Module Farming Unit		Модуль земледелия	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_fortune_unit	Module Fortune Unit		Модуль удачи	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_frost_walker_unit	Module Frost Walker Unit		Модуль ледохода	Русское название отсутствует; en_us восстановлен по ID.
mekanism	item.mekanism.module_geiger_unit	Module Geiger Unit		Модуль счётчика Гейгера	Русское название отсутствует; en_us восстановлен по ID.
