"id"	"source_hash"	"source"	"verdict"	"recommendation"
"patchouli-lang:botania:botania.page.runeAltar21"	"sha256:4e485dfcd46478aaaf2f36058c7c1412b42040fe23760bfe74b85e3cf94bc24d"	"Runic creation is a complex topic, but an important one for the advancement of any botanist's career. However, this mode of crafting requires a firm grasp on the concepts of $(thing)Mana Manipulation$(0) to use. Before proceeding further, a read through the important entries (those in $(o)Italics$()) in that section of the $(l:basics/lexicon)$(item)Lexica Botania$(0)$(/l) might prove helpful."	"CHANGE"	"Создание рун — важный шаг в развитии ботанической магии. Чтобы научиться их создавать, сначала нужно хорошо разобраться в управлении маной. Поэтому прежде чем продолжить, прочитайте важные статьи в разделе $(thing)Управление маной$(0) (они выделены $(o)курсивом$(0))."
"patchouli-lang:botania:botania.page.runeAltar0"	"sha256:d61b0af49521c6a478d6a5163f0b4a6c1b3a2a56f30f6095e5a15dd0599daeac"	"$(item)Runes$(0) are vital components of complex magical devices or flora, created on a $(item)Runic Altar$(0).$(p)To use a $(item)Runic Altar$(0), start by placing (via either a right-click or a simple toss) the components of the rune you want to create upon the altar."	"CHANGE"	"$(item)Руны$(0) — важнейшие компоненты для сложных магических устройств и продвинутой флоры. Для их создания вам понадобится $(item)Рунический алтарь$(0).$(p)Разложите на нём предметы для нужной руны: нажимайте ими ПКМ по алтарю или просто бросайте на него."
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"Any runes used for recipes in the $(item)Runic Altar$(0) function as catalysts, and will be returned upon completion of the runic recipe.$(p)Similarly to the $(l:basics/apothecary)$(item)Petal Apothecary$(0)$(/l), right-clicking this block with an empty hand after a recipe is complete will pull another set of the items used for the last recipe, for faster crafting in bulk."	"CHANGE"	"Любые руны, используемые в рецептах на $(item)Руническом Алтаре$(0), служат катализаторами и возвращаются после завершения рецепта.$(p)Как и с $(l:basics/apothecary)$(item)Лепестковым Аптекарем$(0)$(/l), после завершения рецепта нажмите ПКМ по алтарю пустой рукой, чтобы сразу добавить новый набор предметов из прошлого рецепта и ускорить массовое создание."
"patchouli-lang:botania:botania.page.terrasteel0"	"sha256:35fbb6d26f38a7a5a2fd63aff2253757cabab733d6fba6e66719bed0eb19669a"	"$(item)Terrasteel$(0) is a complex and useful magical alloy, infused with ridiculous amounts of $(thing)Mana$(0). Synthesizing it proves to be no small task. For starters, its creation requires a $(item)Terrestrial Agglomeration Plate$(0) placed over a checkerboard pattern of $(item)Lapis Lazuli Blocks$(0) and $(l:basics/pure_daisy)$(item)Livingrock$(0)$(/l) (or $(l:tools/rainbow_rod)$(item)Shimmerrock$(0)$(/l)). This block then needs to be provided with $(thing)Mana$(0), with $(l:mana/sparks)$(item)Sparks$(0)$(/l) being the most efficient mode of transfer."	"CHANGE"	"$(item)Террасталь$(0) — сложный магический сплав, наполненный $(thing)маной$(0), для создания которого требуется немало усилий. Сначала создайте особую пластину (см. дальше) и поставьте её на структуру из $(item)Блоков лазурита$(0) и $(item)Жизнекамня$(0), расположенных в шахматном порядке. Затем подайте к пластине $(thing)ману$(0), лучше всего с помощью $(item)Искр$(0)."
"patchouli-lang:botania:botania.page.terrasteel2"	"sha256:fc3018fa74b02a0701123575061d92994959bb0c4afb1daf5b28efb0148a44e2"	"After a plate is set up and ready to receive $(thing)Mana$(0), tossing one $(l:mana/pool)$(item)Manasteel Ingot, Mana Diamond and Mana Pearl$(0)$(/l) each upon the plate will begin the infusion.$(p)Picking up any of the items will halt the infusion, causing severe $(thing)Mana Loss$(0) (all mana transferred to the plate is lost). The infusion uses about half a $(l:mana/pool)$(item)Mana Pool$(0)$(/l)'s worth of Mana to create a single piece of $(thing)Terrasteel$(0); multiple $(l:mana/sparks)$(item)Sparks$(0)$(/l) passing it $(thing)Mana$(0) will accelerate the process."	"CHANGE"	"Когда пластина готова принимать $(thing)ману$(0), бросьте на неё по одному $(item)слитку манастали, маналмазу и жемчужине маны$(0) — начнётся вливание маны. Если подобрать любой предмет, процесс прервётся и вся переданная пластине $(thing)мана$(0) будет потеряна. На одну $(thing)Террасталь$(0) уходит примерно половина $(item)Бассейна маны$(0); несколько $(item)Искр$(0) ускорят процесс."
"patchouli-lang:botania:botania.page.wand1"	"sha256:6c1e3bb879758d25fde1d2c13e1ec6fc5c625f332c3ebb080e5550e9563ca2cc"	"The wand has two modes, $(thing)Bind Mode$(0) and $(thing)Function Mode$(0). In $(thing)Bind Mode$(0), sneak-right click it on a compatible block to select it, then sneak-right click elsewhere to bind the two blocks. In $(thing)Function Mode$(0) it simply doesn't perform this function, freeing the sneak-right click action up for other tasks.$(p)The two modes can be switched between by sneak-right clicking the wand in the air."	"CHANGE"	"Посох имеет два режима: $(thing)Режим привязки$(0) и $(thing)Режим управления$(0). В $(thing)Режиме привязки$(0) присядьте и нажмите ПКМ по совместимому блоку, чтобы выбрать его, а затем так же нажмите по другому блоку, чтобы связать их. В $(thing)Режиме управления$(0) эта функция отключена и сочетание можно использовать для других действий.$(p)Чтобы переключить режим, присядьте и нажмите ПКМ посохом в воздухе."
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"$(o)Welcome to Botania! I congratulate you on the fine decision to strap a sapling and a book together. Or just on finding this tome in a chest. Whichever applies.$(p)$(o)You can navigate this book with the arrows at the bottom of this page, or scroll through pages with your mouse wheel."	"CHANGE"	"$(o)Добро пожаловать в Ботанию! Поздравляю: привязать саженец к книге — отличная идея. Или, возможно, вы просто нашли этот том в сундуке. Как бы то ни было.$(p)$(o)Листайте книгу стрелками внизу страницы или колесом мыши.$(0)"
"patchouli-lang:botania:botania.page.auraRing0"	"sha256:335a4a5bb268c2a8e2815c340c4d8c4cb0126efc66d8b826546356b5b40ad6ad"	"The $(item)Band of Aura$(0) is a variant $(l:baubles/mana_ring)$(item)Band of Mana$(0)$(/l); instead of storing $(thing)Mana$(0), it generates a slow trickle of it (when equipped) and stores it in $(thing)Mana$(0)-containing items in its wearer's inventory.$(p)Plating it with an ingot of $(l:basics/terrasteel)$(item)Terrasteel$(0)$(/l) upgrades it to generate $(thing)Mana$(0) at a significantly faster rate."	"CHANGE"	"$(item)Кольцо ауры$(0) похоже на $(l:baubles/mana_ring)$(item)Кольцо маны$(0)$(/l), но не хранит $(thing)Ману$(0): надетое кольцо медленно создаёт её и пополняет предметы, хранящие $(thing)ману$(0), в вашем инвентаре.$(p)Покройте кольцо слитком $(l:basics/terrasteel)$(item)Террастали$(0)$(/l), чтобы оно генерировало $(thing)Ману$(0) значительно быстрее."
"patchouli-lang:botania:botania.page.cosmeticBaubles32"	"sha256:695addd5e5c10d513dc237295602c0b4cb64a73c794739dc628f55ba1702ffff"	"Now you too can believe"	"CHANGE"	"Теперь вы тоже можете верить"
"patchouli-lang:botania:botania.page.goddessCharm0"	"sha256:bd741d5af6342279268cba39b0a505ee58f212d6c9d430cefb9219498a18fd6b"	"The $(item)Benevolent Goddess' Charm$(0) is a defensive $(thing)Trinket$(0) that's worn (as its name implies) in the $(thing)Charm$(0) slot.$(p)When worn, it uses $(thing)Mana$(0) to prevent explosions in its wearer's vicinity from damaging any blocks in the world."	"CHANGE"	"$(item)Очарование доброжелательной богини$(0) — защитная безделушка для слота $(thing)брелока$(0).$(p)При ношении оно расходует $(thing)Ману$(0) и не даёт взрывам поблизости повреждать блоки."
"patchouli-lang:botania:botania.page.invisibilityCloak0"	"sha256:b599286f8ed20bb1e9d3d420f8350001351f73249c3785bb7f3840f7900ff663"	"No need to explain the $(item)Invisibility Cloak$(0).$(p)You wear it on your $(thing)Body$(0) slot. It takes $(thing)Mana$(0) from your inventory. It makes you and your $(thing)Trinkets$(0) invisible.$(p)Magic."	"CHANGE"	"$(item)Плащ невидимости$(0) не нуждается в долгих объяснениях.$(p)Его носят в слоте $(thing)тела$(0). Он расходует $(thing)Ману$(0) из инвентаря и делает невидимыми вас и ваши $(thing)безделушки$(0).$(p)Магия."
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"$(item)The Spectator$(0) is a headband that allows its wearer to perceive the world in a better way. When its wearer holds an item, all of the following will emit colorful particles for easy spotting:"	"CHANGE"	"$(item)Спектатор$(0) — головная повязка, позволяющая лучше воспринимать окружающий мир. Когда её владелец держит предмет в руке, всё перечисленное ниже испускает разноцветные частицы, чтобы его было легче заметить:"
"patchouli-lang:botania:botania.page.itemFinder1"	"sha256:7c13e1d7228c14a64dcb3f603abe8f5a17a64546b5d544e26c988a91a141c2cd"	"$(li)$(thing)containers$(0) (chests, minecarts, furnaces, etc.) containing that item,$(li)$(thing)dropped items$(0) of that type,$(li)$(thing)mobs$(0) with that item equipped,$(li)$(thing)players$(0) or $(thing)pack animals$(0) (llamas, mules, etc.) with that item in their inventory,$(li)$(thing)villagers$(0) trading for that item.$(p)When sneaking, all dropped items near the wearer will shine, regardless of the held item."	"CHANGE"	"$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и т. д.) с этим предметом,$(li)$(thing)выброшенные предметы$(0) этого типа,$(li)$(thing)мобы$(0) с этим предметом в снаряжении,$(li)$(thing)игроки$(0) или $(thing)вьючные животные$(0) (ламы, мулы и т. д.) с этим предметом в инвентаре,$(li)$(thing)жители$(0), торгующие этим предметом.$(p)Когда носитель крадётся, все выброшенные рядом предметы будут светиться независимо от предмета в руке."
"patchouli-lang:botania:botania.page.monocle0"	"sha256:dd5f13b88be2d3b263f544d758ebdcdc3040d1ecceff12d12113de6ce52968a5"	"The $(item)Manaseer Monocle$(0) is a handy accessory for insight into $(thing)Mana Bursts$(0)' trajectories. It's not just a fancy eyepiece: it allows its wearer to see all nearby $(thing)Mana Bursts$(0)-- even through walls. Additionally, when a wearer looks at a flower, they can see its areas of effect."	"CHANGE"	"$(item)Монокль$(0) позволяет узнать, куда направлены $(thing)Всплески маны$(0), и видеть близлежащие $(thing)Всплески маны$(0) даже сквозь стены. А главное: наденьте монокль и посмотрите на цветок, чтобы увидеть его зону действия."
"patchouli-lang:botania:botania.page.speedUpBelt0"	"sha256:3d82597a71cd22c3ab8534b575df243b68c0d20f0b3caf9eafcc0aa199c71c66"	"The $(item)Planestrider's Sash$(0) is an alternative to the $(l:baubles/travel_belt)$(item)Sojourner's Sash$(0)$(/l).$(p)Unlike its counterpart, it provides no speed boost by default-- however, the more its wearer moves, the faster they get, allowing them to hit truly ludicrous speeds. If its user stops running, however, their bonus is reset."	"CHANGE"	"$(item)Кушак ускорения$(0) — альтернатива $(item)Кушаку Пилигрима$(0).$(p)В отличие от $(item)Кушака Пилигрима$(0), $(item)Кушак ускорения$(0) ускоряет не сразу: чем дольше вы идёте, тем быстрее движетесь. Если остановиться, бонус сбрасывается."
"patchouli-lang:botania:botania.page.speedUpBelt1"	"sha256:8b23e1bd67f7c6156360bb5724bae47c3b76457be8781eddf119f33c3ec14cc4"	"If you go slow you're a Planeswalker"	"CHANGE"	"Если вы медленно передвигаетесь, вы мироходец"
"patchouli-lang:botania:botania.page.superLavaPendant1"	"sha256:78514c5f6d30a44b557932043041f638cb801f031045d58f2935678377eca677"	"You can now take a lava bath"	"CHANGE"	"Теперь вы можете принять лавовую ванну"
"patchouli-lang:botania:botania.page.swapRing0"	"sha256:f6e94c7188dcdc97b1422e417da364e4e7becec388a80e6cbebe48413d6f28db"	"Switching tools can be a pain, especially when you find yourself shoveling away at dirt with... an axe? The $(item)Ring of Correction$(0) is a great way to, well, correct those problems.$(p)With this ring equipped, the tool in hand will always be the right one for the block being broken, be it pick, axe, shovel, hoe, or shears. As long as you have the relevant $(thing)Mana$(0)-using tools on hand."	"CHANGE"	"Менять инструменты — утомительно. Бывает, что землю приходится копать… киркой? $(item)Кольцо исправления$(0) поможет этого избежать.$(p)При ношении кольцо само меняет инструмент в руке для добычи блока, но работает только с инструментами, способными использовать $(thing)Ману$(0)."
"patchouli-lang:botania:botania.page.tinyPlanet0"	"sha256:0c345c10448c78c66a6d6c13087e33f7c5c682bdccd0039434c0e0c33b646e0d"	"The $(item)Tiny Planet$(0) is a $(thing)Trinket$(0) with gravitational properties. When equipped, it pulls nearby $(thing)Mana Bursts$(0) into orbits around its wearer.$(p)By increasing its mass with some $(item)Stone$(0), it can also be placed as a block for the same effect."	"CHANGE"	"$(item)Микропланета$(0) — $(thing)безделушка$(0) с гравитационными свойствами. Когда она надета, то притягивает ближайшие $(thing)Всплески маны$(0) к игроку, заставляя их двигаться по орбите вокруг него.$(p)Увеличив массу микропланеты с помощью $(item)Камня$(0), её можно разместить в мире с тем же эффектом."
"patchouli-lang:botania:botania.page.forestEye0"	"sha256:ecf5ed2f202bfa6061d8d6f61ac2de49ff3a059ed8efc5ed891a75d16df4fe6d"	"The Ancients who used to watch over the world always looked out for the living beings on it. The $(item)Eye of the Ancients$(0), while not an actual eye, is the next best thing.$(p)An adjacent $(item)Comparator$(0) will output a redstone signal proportional to the number of nearby animals it can find."	"CHANGE"	"Подобно древним, использовавшим глаз для поиска живых существ, ваш $(item)Глаз Древних$(0) делает то же самое.$(p)Подключённый к глазу $(item)Компаратор$(0) выдаёт сигнал Редстоуна, сила которого соответствует числу животных поблизости."
"patchouli-lang:botania:botania.page.hourglass4"	"sha256:ec8cc638338e383f46eba4d4e9f28a3656e53a8a28957573b2df2c50350ff723"	"Right-clicking an hourglass with a $(l:basics/wand)$(item)Wand of the Forest$(0)$(/l) locks (or unlocks) it. When locked, sand can't be added or removed from an hourglass (just in case someone right-clicks the hourglass on accident).$(p)If a $(thing)Mana Burst$(0) collides with an hourglass, it'll stem the flow of sand and pause the timer; another burst will continue the timer."	"CHANGE"	"Кликните ПКМ $(item)Посохом леса$(0) по блоку, чтобы заблокировать или разблокировать его. В заблокированный блок нельзя добавить или из него убрать песок, даже если кто-то случайно кликнет ПКМ.$(p)Если $(thing)Всплеск маны$(0) столкнётся с блоком, поток песка и таймер остановятся. Следующий всплеск снова запустит таймер."
"patchouli-lang:botania:botania.page.blackHoleTalisman2"	"sha256:5f77a2dec3d4479677fb0a713967210e4ffcfd12b066f8536f8ac424f23ed5bf"	"Any blocks stored in a Talisman can be placed by simply right-clicking with it.$(p)Sneak-right clicking the Talisman on an inventory will dump up to a stack of blocks into that inventory. Finally, a Talisman can provide a $(l:tools/exchange_rod)$(item)Rod of the Shifting Crust$(0)$(/l) with the blocks it contains."	"CHANGE"	"Блоки из Талисмана можно разместить обычным нажатием ПКМ.$(p)Нажмите ПКМ по инвентарю, держа Талисман и Shift, чтобы поместить в него до стака блоков. Наконец, Талисман может снабжать $(l:tools/exchange_rod)$(item)Жезл обмена$(0)$(/l) хранящимися в нём блоками."
"patchouli-lang:botania:botania.page.dreadthorne1"	"sha256:e8aaaa65ef3f44d4408d4e6e07d0dbe099e258633d618f1330d120f2220e9917"	"$(o)It's a modus operandi$()."	"CHANGE"	"$(o)Таков его образ действий.$(0)"
"patchouli-lang:botania:botania.page.flowerShrinking0"	"sha256:f7160a191b09df2d97348baaa0025e7dd5c969618534949f4419d189b20e5d05"	"Some functional flowers can have a bit too much reach for certain use-cases. Tossing one of those into a $(l:mana/pool)$(item)Mana Pool$(0)$(/l) with an $(l:devices/mana_alchemy)$(item)Alchemy Catalyst$(0)$(/l) will (at the cost of some $(thing)Mana$(0)) shrink it, making its area of effect smaller. Every other function remains the same."	"CHANGE"	"Некоторые функциональные цветы действуют на слишком большой площади. Бросьте один из таких цветов в $(l:mana/pool)$(item)Бассейн маны$(0)$(/l) с $(l:devices/mana_alchemy)$(item)Алхимическим катализатором$(0)$(/l), чтобы за небольшое количество $(thing)Маны$(0) уменьшить и сам цветок, и его зону действия. Остальные свойства цветка не изменятся."
"patchouli-lang:botania:botania.page.dandelifeon1"	"sha256:21929b1860fa0a383c4f47bd265617ae51afc0f485b99bbb7933fadb529b6d2a"	"This flower's function is based on a cellular automaton known as $(thing)Conway's Game of Life$(0). The area for this procedure is a 25x25 square, centered around the $(item)Dandelifeon$(0) itself.$(p)As long as the flower receives a redstone signal, it'll step the automaton twice a second."	"CHANGE"	"Работа этого цветка основана на клеточном автомате $(thing)Игра ""Жизнь""$(0). Автомат действует на поле 25 × 25 с $(item)Жизнеодуванчиком$(0) в центре.$(p)Пока цветок получает сигнал красного камня, он обновляет автомат дважды в секунду."
"patchouli-lang:botania:botania.page.gIntro3"	"sha256:a14ac04882f63304bbe6f5b084c3ad21d41f465efd21443a6f5159f28a5494db"	"Choosing your first $(thing)Generating Flower$(0) is a pretty simple task; the simplest two choices for any fledgling botanist are the $(l:generating_flowers/endoflame)$(item)Endoflame$(0)$(/l) and the $(l:generating_flowers/hydroangeas)$(item)Hydroangeas$(0)$(/l).$(p)The former uses $(item)Coal$(0) or other fuel sources to generate $(thing)Mana$(0). The latter uses $(item)Water$(0) sources for the same task, but decays after about three days."	"CHANGE"	"Выбрать первый $(thing)Генерирующий Цветок$(0) довольно просто: начинающему ботанику подойдут $(item)Эндопламя$(0) и $(item)Водогортензия$(0).$(p)Эндопламя использует $(item)Уголь$(0) и другое топливо для выработки $(thing)Маны$(0). Водогортензия использует источники $(item)Воды$(0), но примерно через три дня увядает."
"patchouli-lang:botania:botania.page.munchdew2"	"sha256:d2b35693fd5846b493935c66514715fdeed0e7fefa4a7260dd5e319e3c8ba1c1"	"$(o)Itadakimasu~$()"	"CHANGE"	"$(o)Приятного аппетита~$(0)"
"patchouli-lang:botania:botania.page.dreamwoodSpreader0"	"sha256:ce006e4b22c41ed648ca203762dd2c9259bf3901945b154e094634a57d5a4d89"	"When it comes right down to it, $(l:alfhomancy/elf_resources)$(item)Dreamwood$(0)$(/l) simply conducts $(thing)Mana$(0) better than $(l:basics/pure_daisy)$(item)Livingwood$(0)$(/l). A few adjustments in recipe (like substituting $(l:alfhomancy/elf_resources)$(item)Elementium$(0)$(/l) for $(item)Copper$(0)) yield an $(item)Elven Mana Spreader$(0), which conducts more $(thing)Mana$(0), faster, and for longer without $(thing)Mana Loss$(0).$(p)Unfortunately, these can't be turned into $(l:mana/redstone_spreader)$(item)Pulse Mana Spreaders$(0)$(/l)."	"CHANGE"	"$(l:alfhomancy/elf_resources)$(item)Древесина мечтаний$(0)$(/l) проводит $(thing)Ману$(0) лучше $(l:basics/pure_daisy)$(item)Жизнедерева$(0)$(/l). В рецепте используется $(l:alfhomancy/elf_resources)$(item)Элементий$(0)$(/l) вместо $(item)меди$(0), и получается $(item)Эльфийский распространитель маны$(0): он передаёт больше $(thing)маны$(0), быстрее и дольше без $(thing)Потери маны$(0).$(p)К сожалению, его нельзя превратить в $(l:mana/redstone_spreader)$(item)Импульсный распространитель$(0)$(/l)."
"patchouli-lang:botania:botania.page.mIntro1"	"sha256:cd51ba331c45b24bf05cd646708d91945eb8edd5119cabbf9b8571f51c10a69c"	"$(thing)Generating Flora$(0) are used to create $(thing)Mana$(0) (read the corresponding section for more details). $(thing)Mana$(0) so generated can be extracted and transferred with $(l:mana/spreader)$(item)Mana Spreaders$(0)$(/l) and stored in $(l:mana/pool)$(item)Mana Pools$(0)$(/l). $(thing)Mana$(0) can be used for a myriad of things: for starters, it can fuel $(thing)Functional Flora$(0) (read that section too)."	"CHANGE"	"$(thing)Генерирующая флора$(0) создаёт $(thing)Ману$(0) (подробнее см. в соответствующем разделе). $(thing)Ману$(0) можно извлекать и передавать $(item)Распространителями маны$(0), а хранить — в $(item)Бассейнах маны$(0). Она нужна для многого: например, питает $(thing)Функциональные Цветы$(0)."
"patchouli-lang:botania:botania.page.manaMirror0"	"sha256:4cabfdea0b32a2e2a5c5cc14368dae4718d4985976a0e6cb7c905e43fc28b8ef"	"A $(item)Mana Mirror$(0) is an alternative to $(thing)Mana$(0)-containing items like $(l:mana/mana_tablet)$(item)Tablets$(0)$(/l). After it's bound to a $(l:mana/pool)$(item)Mana Pool$(0)$(/l), items in the inventory requiring $(thing)Mana$(0) will draw from it.$(p)To bind a mirror to a pool, simply $(thing)sneak-right click$(0) the pool with the mirror. The mirror can't input or output mana from/to pools in any other way."	"CHANGE"	"$(item)Зеркало маны$(0) — альтернатива предметам, хранящим $(thing)ману$(0), например $(item)Планшету маны$(0). После привязки к $(item)Бассейну маны$(0) предметы в инвентаре, которым нужна $(thing)мана$(0), будут брать её из этого бассейна.$(p)Нажмите зеркалом $(thing)Shift+ПКМ$(0) по бассейну, чтобы связать их. Иначе зеркало не может ни получать ману из бассейна, ни отдавать её ему."
