# KEEP_EN
Dimensional Package Depot	Межпространственный склад посылок
Location Terminal	Терминал местоположений
Location Card	Карта местоположения
Moderate Soul Gem	Средний самоцвет души
Artificial Intelligence	Искусственный интеллект
Electronic Component	Электронный компонент
Advanced Electronic Component	Продвинутый электронный компонент
Duroplast Sheet	Лист дюропласта
Phenolic Resin	Фенольная смола
Fiberboard	Древесноволокнистая плита
Redstone Acid	Редстоуновая кислота
Machine Frame	Каркас механизма
Igneous Extruder	Магматический экструдер
Blast Chiller	Шоковый охладитель
Induction Smelter	Индукционная плавильня
Phytogenic Insolator	Фитогенный облучатель
Centrifugal Separator	Центробежный сепаратор
Multiservo Press	Мультисерво-пресс
Pulverizer	Измельчитель
Fluid Encapsulator	Жидкостный наполнитель
Fractionating Still	Фракционный дистиллятор
Pyrolyzer	Пиролизёр
Fluxduct	Энергетическая труба
Crude Oil	Сырая нефть
Bitumen	Битум
Tar	Гудрон
Light Oil	Лёгкая нефть
Refined Fuel	Очищенное топливо
Redstone Mushroom Spores	Споры флюсозуба
Fluxtooth Spores	Споры флюсозуба
Block of Charcoal	Блок древесного угля
Cured Glue	Затвердевший клей
Diving Fabric	Ткань для гидрокостюма
Niter Dust	Селитровая пыль
Time in a Bottle	Время в бутылке
Floaty Boat	Надувная лодочка
Coconut	Кокос
Palm Sprout	Росток пальмы
Concrete Tile	Бетонная плитка
Fluorescent Tube	Люминесцентная лампа
Exotic Eye (chapter_3b)	Экзотическое Око
Engineer's Manual	Руководство инженера
Engineer's Hammer	Молот инженера
Alloy Kiln	Плавильная печь
Blast Furnace (IE)	Доменная печь
Improved Blast Furnace	Продвинутая доменная печь
Blast Furnace Preheater	Воздухонагреватель доменной печи
Heavy Engineering Block	Тяжёлый инженерный блок
Light Engineering Block	Лёгкий инженерный блок
Mixer	Смеситель
Industrial Fermenter	Бродильный аппарат
Refinery (IE)	Очиститель
Arc Furnace	Дуговая печь
Thermoelectric Generator	Термоэлектрический генератор
Vacuum Tube	Электронная лампа
Coke Oven	Коксовая печь
Coal Coke	Коксовый уголь
Encased Fan	Вентилятор в корпусе
Mechanical Press	Механический пресс
Propeller	Пропеллер
Rose Quartz	Розовый кварц
Brass Casing	Латунный корпус
Blaze Burner	Горелка всполоха
Blaze Cake	Всполоховый торт
Hand Crank	Рукоятка
Steam Engine	Паровой двигатель
Deployer	Автономный активатор
Andesite Alloy	Андезитовый сплав
ME Controller	МЭ-регулятор
ME Chest	МЭ-сундук
ME Drive	МЭ-дисковод
ME Crafting Terminal	МЭ терминал изготовления
Inscriber	Вырезатель
Certus Quartz	истинный кварц
Fluix Crystal	Флюисовый кристалл
Sky Stone	Небесный камень
Mysterious Cube	Таинственный куб
Calculation Processor	Вычислительный процессор
Engineering Processor	Инженерный процессор
Logic Processor	Логический процессор
Storage Cell	Ячейка хранения
Matter Condenser	Конденсатор материи
Singularity	Сингулярность
Lexica Botania	Лексикон Ботании
Petal Apothecary	Лепестковая чаша
Pure Daisy	Чистая маргаритка
Livingwood	Жизнедерево
Floral Fertilizer	Цветочное удобрение
Floral Fertiliser	Цветочное удобрение
Runic Altar	Рунический алтарь
Mana Spreader	Распространитель маны
Mana Pool	Бассейн маны
Endoflame	Эндопламя
Kekimurus	Кекимурус
Alchemy Catalyst	Алхимический катализатор
Terrestrial Agglomeration Plate	Теллурическая агломерационная пластина
Atomic Reconstructor	Атомный реконстрактор
Black Quartz	Чёрный кварц
Void Crystal	Кристалл Пустоты
Empowerer	Зарядник
Display Stand	Выставочный стенд
Soul Shard	Осколок души
Lesser Soul Gem	Малый самоцвет души
Soulfire Wand	Жезл пламени душ
Apothecary Stand	Аптекарская стойка
Wraith	Призрак
Confusing Powder	Запутывающий порошок
Ensouled Chassis	Корпус механизма душ
Void Chassis	Корпус механизма
Alloy Smelter (Ender IO)	Завод сплавов
SAG Mill	Дробитель
Soul Binder	Связыватель душ
Slice'N'Splice	Отрубатель и сращиватель
Item Conduit	Предметная труба
Cutting Board	Разделочная доска
Chopping Board	Разделочная доска
Keg	Бочонок
Camera (Exposure)	Фотоаппарат
Lightroom	Фотолаборатория
Eccentric Tome	Чудаковатый Фолиант
Smeltery	Плавильня
Warp Stone	Камень перемещения
Warp Dust	Пыль перемещения
Portstone	Портовый обелиск
Ender Chest	Эндер-сундук
Liminal Jam	Сладкое ягодное варенье
Vanilla Pods	Стручки ванили
Timber Frame	Деревянный каркас
Osmium Ingot	Осмиевый слиток
Metallurgic Infuser	Металлургический наполнитель
Basic Control Circuit	Базовая схема управления
Advanced Control Circuit	Продвинутая схема управления
Elite Control Circuit	Элитная схема управления
Ultimate Control Circuit	Совершенная схема управления
Steel Casing	Стальной корпус
Electrolytic Separator	Электролитический сепаратор
Purification Chamber	Камера очистки
Osmium Compressor	Осмиевый компрессор
Combiner	Объединитель
Chemical Injection Chamber	Химическая инъекционная камера
Enrichment Chamber	Камера обогащения
Pressurized Reaction Chamber	Герметичная реакционная камера
Dimensional Stabilizer	Пространственный стабилизатор
Magical Eye	Магическое Око
Evil Eye	Зловещее Око
Wither Eye	Око Иссушителя
Lost Eye	Потерянное Око
Undead Eye	Око Нежити
Cold Eye	Ледяное Око
Cryptic Eye	Загадочное Око
Black Eye	Чёрное Око
Nether Eye	Око Ада
Forged Eye	Око Ада
Cursed Eye	Проклятое Око
Old Eye	Старинное Око
Rogue Eye	Око Изгоя
Exotic Eye (End Remastered)	Экзотическое Око

# SOURCE_FIXES
Blast Furnace	Доменная печь
Refinery	Очиститель
Advanced Blast Furnace	Продвинутая доменная печь
Mechanical Fan	Вентилятор в корпусе
Industrial Mixer	Смеситель
Machine Chiller	Blast Chiller
Machine Smelter	Induction Smelter
Machine Insolator	Phytogenic Insolator
Machine Press	Multiservo Press
Machine Pulverizer	Pulverizer
Machine Bottler	Fluid Encapsulator
Machine Refinery	Fractionating Still
Machine Pyrolyzer	Pyrolyzer
Reality Chips	Data Chip
Duroplast Plate	Duroplast Sheet
Terra Plate	Теллурическая агломерационная пластина
Rubber tubes	Надувные круги
marine fabric	Diving Fabric
Walkie-Talkie	Рация
Camera	Фотоаппарат
Brazier	Жаровня
Alloy Klin	Плавильная печь
Ars Eccelecia	Ars Ecclesia
Lexa Botania	Лексикон Ботании
Soulshards	Осколки души
Lesser Soulgems	Малые самоцветы души
manapool	Бассейн маны
Endstone	Эндерняк

# LORE
The Infinite Library	Бесконечная библиотека
Overworld	Обычный мир
limbo	лимб
liminal	лиминальный
liminality	лиминальность
noclip	ноклип
sector	сектор
chapter	глава
multiblock	мультиблок
chunk loading	загрузка чанков
seed	сид
Equivalent Exchange	равноценный обмен
