id	source_hash	old_translation	new_translation	reason
item:block.ae2.smooth_quartz_wall	sha256:6ba22b0e48b787fc914323fe8cb25d64701f9994f8a6730779536869fbcbde3c	Резная стена из истинного кварца	Гладкая стена из истинного кварца	Резная не соответствует исходному Smooth.
item:block.dustrial_decor.sheet_metal_walling	sha256:e80113d6512948de1b2f65c8f14f955d63a9b258808f782dc798263ff7538190	Облицовка из листового металла 	Облицовка из листового металла	Лишний пробел в конце строки.
item:block.immersiveengineering.slab_sheetmetal_electrum	sha256:bbeb486f7692f487a4a5594d00ed881d9fc1a6632e395ae931db58246b80faad	Электриумавая плита из листового металла	Электрумовая плита из листового металла	Опечатка в термине Electrum: «Электриумавая».
item:item.actuallyadditions.crystallized_canola_seed	sha256:8ab7c3ed6f6a5cf4ee9e3a04ab294cdc7f69b2d3d64632bdc3b228e780095cc7	Кристаллизированые семена канолы	Кристаллизированные семена канолы	Орфографическая ошибка: одна «н» вместо двух.
item:item.actuallyadditions.drill_light_blue	sha256:a9ebea0ca61ebf391f49c48edfa8bb677d7268ed22508f109843185252465a1e	Светло- синяя дрель	Светло-синяя дрель	Лишний пробел после дефиса.
item:item.createaddition.electrum_rod	sha256:5aacd2ab4244d26994b80589b688cb553533ef3f620b0fef14fa8d6a2f2e0d73	Электровый стержень	Электрумовый стержень	Термин Electrum переведён неверно; нарушена терминология семейства.
item:item.createaddition.electrum_sheet	sha256:52387860ee4906021fc3ecb6342d4ae717e2c4da1f9f26678275be13b2720984	Электровый лист	Электрумовый лист	Термин Electrum переведён неверно; нарушена терминология семейства.
item:item.createaddition.electrum_spool	sha256:97c9998101157783c351bb70c41e1ed2272b9ec07845deaa7fd728d114f9aaf0	Электровая катушка	Электрумовая катушка	Термин Electrum переведён неверно; нарушена терминология семейства.
item:item.createaddition.electrum_wire	sha256:5ef18e2d800050f1cc4d33df09d7a7cac4a701a1ce2d4c7dec8aea84ff899531	Электровый провод	Электрумовый провод	Термин Electrum переведён неверно; нарушена терминология семейства.
block:block.mekanism.antiprotonic_nucleosynthesizer	sha256:fbf3264dea4a3dc6faa5fe3da05b374524c5fd3b2a0708e60ee7159de479fcb7	Антипротонный Нуклеосинтезатор	Антипротонный нуклеосинтезатор	Необоснованная прописная буква в нарицательном названии.
item:block.mekanism.antiprotonic_nucleosynthesizer	sha256:fbf3264dea4a3dc6faa5fe3da05b374524c5fd3b2a0708e60ee7159de479fcb7	Антипротонный Нуклеосинтезатор	Антипротонный нуклеосинтезатор	Необоснованная прописная буква в нарицательном названии.
block:block.mekanism.resistive_heater	sha256:92a0742ec51365ae8aa2216bc01bd58a250e8efe2f16ccca252364dcba2d6375	Устойчивый нагреватель	Резистивный нагреватель	Устойчивый не передаёт техническое значение Resistive.
item:block.mekanism.resistive_heater	sha256:92a0742ec51365ae8aa2216bc01bd58a250e8efe2f16ccca252364dcba2d6375	Устойчивый нагреватель	Резистивный нагреватель	Устойчивый не передаёт техническое значение Resistive.
block:block.mekanism.steam	sha256:68956c8be0e4f5f91936a7cbd13e11522f856be27e16472ee6b545de89d4561c	Жидкий Пар	Жидкий пар	Необоснованная прописная буква в нарицательном названии.
item:item.mekanism.uranium_hexafluoride_bucket	sha256:01a67af66822ef3c7f29a13e3f6bab5b5ef253c198337f98e4cf6d8df5e2a47f	Ведро жидкого гексафторид урана	Ведро жидкого гексафторида урана	Нарушено управление: требуется родительный падеж.
item:item.mekanism.uranium_oxide_bucket	sha256:7237812abedd88ed638fa807ffa5d00483ddad9f27d78327b6288a14d7b436a4	Ведро жидкого оксид урана	Ведро жидкого оксида урана	Нарушено управление: требуется родительный падеж.
item:item.musketmod.pistol	sha256:598ca21fb3ec32e06462112dc506fc703daaef1e75823be3e88023684d291170	Кремневый Пистолет	Кремневый пистолет	Необоснованная прописная буква в нарицательном названии.
