id	source_hash	source	verdict	recommendation
block:block.neapolitan.cyan_chocolate_candle_cake	sha256:0d638a90c92ddc5076e2c66f0ef9121f7d62fbdac0f638ac786cbd6d0653db9e	Chocolate Cake with Cyan Candle	CHANGE	Шоколадный торт с бирюзовой свечой
block:block.neapolitan.cyan_mint_candle_cake	sha256:8a4b4717eab5fd9b501f07f9074b5e98181b2ad98ea9054bb76169b924e5e292	Mint Cake with Cyan Candle	CHANGE	Мятный торт с бирюзовой свечой
block:block.neapolitan.cyan_strawberry_candle_cake	sha256:00a91a471e02ab9f7ef0ce1f4be7e24ec15701d6a8ed839a91bb3fa2380c6c40	Strawberry Cake with Cyan Candle	CHANGE	Клубничный торт с бирюзовой свечой
block:block.neapolitan.cyan_vanilla_candle_cake	sha256:d709b2c4669e73faae72cabc6d009d3e7bf409766af1260cab6b2a2c513d03b4	Vanilla Cake with Cyan Candle	CHANGE	Ванильный торт с бирюзовой свечой
block:block.neapolitan.gray_adzuki_candle_cake	sha256:82aef99a6f1a18efceb611d2106f27c5254d8171f97ecf426b9c19379e836e89	Adzuki Cake with Gray Candle	CHANGE	Адзуковый торт с серой свечой
block:block.neapolitan.gray_banana_candle_cake	sha256:74daa8f2e9773f79649f01218df270ee9e9625048d5fe68605fdaceaa69d36c5	Banana Cake with Gray Candle	CHANGE	Банановый торт с серой свечой
block:block.neapolitan.gray_chocolate_candle_cake	sha256:72ea5eec57af1d28b36406a827fd379379142fbbe1dc34e30447ae1c9b23defa	Chocolate Cake with Gray Candle	CHANGE	Шоколадный торт с серой свечой
block:block.neapolitan.gray_mint_candle_cake	sha256:6db66b50651268ae1195edf0f1ab4a9ef4d3ae161f569086fe7cf5588fc75c1f	Mint Cake with Gray Candle	CHANGE	Мятный торт с серой свечой
block:block.neapolitan.gray_strawberry_candle_cake	sha256:e1e2cdbcfb47ea1408a126e5cac4fe9d6d4e4b5d726dcd49077dc633b1c29c62	Strawberry Cake with Gray Candle	CHANGE	Клубничный торт с серой свечой
block:block.neapolitan.gray_vanilla_candle_cake	sha256:3e690dcbc2aa03f500e6239c0b0f719ed9c775cfd97682f67043f83e492771fa	Vanilla Cake with Gray Candle	CHANGE	Ванильный торт с серой свечой
block:block.neapolitan.green_adzuki_candle_cake	sha256:210b788a0d042f483d5fabc39f7db641ba4dd9de14bacbad6caff5d440f27f71	Adzuki Cake with Green Candle	CHANGE	Адзуковый торт с зелёной свечой
block:block.neapolitan.green_banana_candle_cake	sha256:a31c4f307e2c0f879dda92376868c3fc65fbd0a7fd7f94f8311ef8a9165a9812	Banana Cake with Green Candle	CHANGE	Банановый торт с зелёной свечой
block:block.neapolitan.green_chocolate_candle_cake	sha256:b82ff3d26fb0be5e426496bb89f8f32dc9cc05783e2b5cda7bc80989d0d6c5c6	Chocolate Cake with Green Candle	CHANGE	Шоколадный торт с зелёной свечой
block:block.neapolitan.green_mint_candle_cake	sha256:85c2e215ede6b4276a3cd509e698c098799b77ae0c019e46c84bce6b999da46a	Mint Cake with Green Candle	CHANGE	Мятный торт с зелёной свечой
block:block.neapolitan.green_strawberry_candle_cake	sha256:dfa0f07e4ce80cbb5b54e89d82ddc1ce08950c5bf20bebbe060a4fc863059b73	Strawberry Cake with Green Candle	CHANGE	Клубничный торт с зелёной свечой
block:block.neapolitan.green_vanilla_candle_cake	sha256:1be205007f11d0cf8b27c28bcaf23e68c81e57d9fb22c55bec0c7225651aff7d	Vanilla Cake with Green Candle	CHANGE	Ванильный торт с зелёной свечой
block:block.neapolitan.light_blue_adzuki_candle_cake	sha256:835d92fb092c8c7a5c138cab4a923da33cc5a794be9db56e17b1871105ace2c9	Adzuki Cake with Light Blue Candle	CHANGE	Адзуковый торт с голубой свечой
block:block.neapolitan.light_blue_banana_candle_cake	sha256:efb23347ae0fff0627af5db5264e807f5be1eb32dafd756f36bbf188376b47a6	Banana Cake with Light Blue Candle	CHANGE	Банановый торт с голубой свечой
block:block.neapolitan.light_blue_chocolate_candle_cake	sha256:cc44e911dc6634f8041bfe0574e470f7ab3a3ad417502f31acf5d61f5a944c78	Chocolate Cake with Light Blue Candle	CHANGE	Шоколадный торт с голубой свечой
block:block.neapolitan.light_blue_mint_candle_cake	sha256:38b35aad656f381e3d5c34877b8a71945d702be3556b397258137c9321da384b	Mint Cake with Light Blue Candle	CHANGE	Мятный торт с голубой свечой
block:block.neapolitan.light_blue_strawberry_candle_cake	sha256:c8b8f3a94e41a7624d1fe90ec51aed2be698ccfc1cf98dff7ecd260e3233fc2f	Strawberry Cake with Light Blue Candle	CHANGE	Клубничный торт с голубой свечой
block:block.neapolitan.light_blue_vanilla_candle_cake	sha256:15b80b7f7805daf7b6335fb96075d776e33dc25114ac25332fc8ca1c17085037	Vanilla Cake with Light Blue Candle	CHANGE	Ванильный торт с голубой свечой
block:block.neapolitan.lime_adzuki_candle_cake	sha256:44e7f0f85b04a7fbba79148a9b1b3d65d696012f93b6a001268ddd298d2f396f	Adzuki Cake with Lime Candle	CHANGE	Адзуковый торт с лаймовой свечой
block:block.neapolitan.lime_banana_candle_cake	sha256:d476368b16ebf0004f520c1871a428d8276b285fe42bfa02face4cb98d7aaf25	Banana Cake with Lime Candle	CHANGE	Банановый торт с лаймовой свечой
block:block.neapolitan.lime_chocolate_candle_cake	sha256:2044f788b87d8493641dc28bd7081e81b4e0f92527feb9ed692423b42083b1dc	Chocolate Cake with Lime Candle	CHANGE	Шоколадный торт с лаймовой свечой
block:block.neapolitan.lime_mint_candle_cake	sha256:62e864160683f0c8f289dfb6948e97d23b2f926fd016c0046e5e5124b0ecb9e0	Mint Cake with Lime Candle	CHANGE	Мятный торт с лаймовой свечой
block:block.neapolitan.lime_strawberry_candle_cake	sha256:e2431ec8bbd1a8f70eb82863aab02869f50ecdb381f4e20a64127564e293a5cb	Strawberry Cake with Lime Candle	CHANGE	Клубничный торт с лаймовой свечой
block:block.neapolitan.lime_vanilla_candle_cake	sha256:72d477d2854870f737658b02c839e3577f8a07fdbf3ae1b64de6d6ccdcec12c1	Vanilla Cake with Lime Candle	CHANGE	Ванильный торт с лаймовой свечой
block:block.neapolitan.magenta_adzuki_candle_cake	sha256:233b2e52edcd29e964d26cab90526c6b149813ddf3f8b4e536c1e4be1215e808	Adzuki Cake with Magenta Candle	CHANGE	Адзуковый торт с пурпурной свечой
block:block.neapolitan.magenta_banana_candle_cake	sha256:221086d972d3cca01406074b7744f27f63b89df5904be5554198da615afa6b30	Banana Cake with Magenta Candle	CHANGE	Банановый торт с пурпурной свечой
block:block.neapolitan.magenta_chocolate_candle_cake	sha256:bc61eb0d06d1ace8369be1345cc603db3e66aeb852b85e15f8e843f2714797d2	Chocolate Cake with Magenta Candle	CHANGE	Шоколадный торт с пурпурной свечой
block:block.neapolitan.magenta_mint_candle_cake	sha256:ad464cfd4991ab7accceeb2b9e9ff86b1c712258ce1d7e90ba7fd9aa46d914a0	Mint Cake with Magenta Candle	CHANGE	Мятный торт с пурпурной свечой
block:block.neapolitan.magenta_strawberry_candle_cake	sha256:6685a7d9e1ce87199dc4940b00f3ca40a3c55085f2dd04984d376451fcf3e7ff	Strawberry Cake with Magenta Candle	CHANGE	Клубничный торт с пурпурной свечой
block:block.neapolitan.magenta_vanilla_candle_cake	sha256:62cd8a83c5ac8057ac69e8076fafb42fe1560e1a7b3fcec4ada4c625394a67f4	Vanilla Cake with Magenta Candle	CHANGE	Ванильный торт с пурпурной свечой
block:block.neapolitan.orange_adzuki_candle_cake	sha256:0104e2d6a360c5a22b6e11fdda4c550a8e80edebf9ac0034aa742d3e27d42b38	Adzuki Cake with Orange Candle	CHANGE	Адзуковый торт с оранжевой свечой
block:block.neapolitan.orange_banana_candle_cake	sha256:be5fd9a48fe4d0e44cc4c5a815e43a7627222d3acef4b4cb54eda1c037ad623e	Banana Cake with Orange Candle	CHANGE	Банановый торт с оранжевой свечой
block:block.neapolitan.orange_chocolate_candle_cake	sha256:46c757ab6cb44d66bb5da9360d06fb6c91b9847f94a5dd5575a31b99c58b1318	Chocolate Cake with Orange Candle	CHANGE	Шоколадный торт с оранжевой свечой
block:block.neapolitan.orange_mint_candle_cake	sha256:7af25fd8dff9025286fae450c473638eabebea85097dfb06cd965711652da968	Mint Cake with Orange Candle	CHANGE	Мятный торт с оранжевой свечой
block:block.neapolitan.orange_strawberry_candle_cake	sha256:e311b089d658793d95a1f4491df24f1d915ab33418b67778e67493c487e6091f	Strawberry Cake with Orange Candle	CHANGE	Клубничный торт с оранжевой свечой
block:block.neapolitan.orange_vanilla_candle_cake	sha256:b487a6672d7c651da5c290ae842e13c65df11204bf310bf41607773b6edaa1dd	Vanilla Cake with Orange Candle	CHANGE	Ванильный торт с оранжевой свечой
block:block.neapolitan.pink_adzuki_candle_cake	sha256:bd67cb22d951779ae6e1593ab64aea20776a811004a1769d17432b0fec7fc159	Adzuki Cake with Pink Candle	CHANGE	Адзуковый торт с розовой свечой
block:block.neapolitan.pink_banana_candle_cake	sha256:a37eff57d688b26d024ef5c8bff06bb009a2c425eb866377cfb2e882c38596de	Banana Cake with Pink Candle	CHANGE	Банановый торт с розовой свечой
block:block.neapolitan.pink_chocolate_candle_cake	sha256:43e55f886ca79ea80097fe44aec07057ac18b51266979ef0d0bfe3721c242394	Chocolate Cake with Pink Candle	CHANGE	Шоколадный торт с розовой свечой
block:block.neapolitan.pink_mint_candle_cake	sha256:45eaa366e0988b58df19017000288f7844698eec2f10ad509cead86f23bc8cde	Mint Cake with Pink Candle	CHANGE	Мятный торт с розовой свечой
block:block.neapolitan.pink_strawberry_candle_cake	sha256:4d4077b5d838e0c4d5770e7e3b9cffd0af76777d4377e01c4ec631e01c36b225	Strawberry Cake with Pink Candle	CHANGE	Клубничный торт с розовой свечой
block:block.neapolitan.pink_vanilla_candle_cake	sha256:c58a306ac91503069abaec38d244f8ff1c03cc533413680814eb9f31232d60fd	Vanilla Cake with Pink Candle	CHANGE	Ванильный торт с розовой свечой
block:block.neapolitan.purple_adzuki_candle_cake	sha256:64ca792ea1ad97b4a2c2bbdfc5b128ff7a8dccbc0b1356d4734cbd613fe41af8	Adzuki Cake with Purple Candle	CHANGE	Адзуковый торт с фиолетовой свечой
block:block.neapolitan.purple_banana_candle_cake	sha256:a9222914bf7799ebed0958912b90d62f97c28044150ea3b30e1a6af0ce7ed46b	Banana Cake with Purple Candle	CHANGE	Банановый торт с фиолетовой свечой
block:block.neapolitan.purple_chocolate_candle_cake	sha256:7ba34612595bb083c75bab91e20cacad254b737c9faed91f415fe74ac49b6380	Chocolate Cake with Purple Candle	CHANGE	Шоколадный торт с фиолетовой свечой
block:block.neapolitan.purple_mint_candle_cake	sha256:f16fd1fc9eb9f8cb881dbf41836073111f77450202bc4fa42261b0574a0b582b	Mint Cake with Purple Candle	CHANGE	Мятный торт с фиолетовой свечой
block:block.neapolitan.purple_strawberry_candle_cake	sha256:6c4269346af25d8ff42c2d781cb91821b4d56d0db5c22f0e0cac1101da3bdece	Strawberry Cake with Purple Candle	CHANGE	Клубничный торт с фиолетовой свечой
block:block.neapolitan.purple_vanilla_candle_cake	sha256:a02093c34ca805fb45d4c8e1ea980e35ca11c68ee5fc49b7a45b10bb67bf6eb1	Vanilla Cake with Purple Candle	CHANGE	Ванильный торт с фиолетовой свечой
block:block.neapolitan.red_adzuki_candle_cake	sha256:639d086e3c59d7aeda5e96cc0e33842c589717b5cc5c50378a11e9efa007e608	Adzuki Cake with Red Candle	CHANGE	Адзуковый торт с красной свечой
block:block.neapolitan.red_banana_candle_cake	sha256:f8a6bb169a26a2012ff10549363ab09dde3347a5f48d1f17cd169074b546232f	Banana Cake with Red Candle	CHANGE	Банановый торт с красной свечой
block:block.neapolitan.red_chocolate_candle_cake	sha256:d80f70105328448e7568c884b04e722846996e03d49faa9b4f300e3547468bd0	Chocolate Cake with Red Candle	CHANGE	Шоколадный торт с красной свечой
block:block.neapolitan.red_mint_candle_cake	sha256:f7e01e86f4a34d824e0126c5b702a354003427a9d61086388cc2d8e5c34433a2	Mint Cake with Red Candle	CHANGE	Мятный торт с красной свечой
block:block.neapolitan.red_strawberry_candle_cake	sha256:f8348c0e0939c4a3dec64b6b0b2028bcdb122468c2062f76753f019b3f7066bf	Strawberry Cake with Red Candle	CHANGE	Клубничный торт с красной свечой
block:block.neapolitan.red_vanilla_candle_cake	sha256:e9ac6c3a644655eda0d9a6d17b022190359fa32e7d158ea7431303ca780aad70	Vanilla Cake with Red Candle	CHANGE	Ванильный торт с красной свечой
block:block.neapolitan.white_adzuki_candle_cake	sha256:c1e5a78d1e5a66bbf1443b619165e9231c19c2ea2cfc3780d38ce07a18577bda	Adzuki Cake with White Candle	CHANGE	Адзуковый торт с белой свечой
block:block.neapolitan.white_banana_candle_cake	sha256:1eace302100f332e94b4ba282e23bf369b6fe0c9be8a96ca107bc38c89d498f6	Banana Cake with White Candle	CHANGE	Банановый торт с белой свечой
block:block.neapolitan.white_chocolate_candle_cake	sha256:b797afb2719b33410c3da1adcd9f08823e7cf61d6039cb38e74dd0ff783c4d17	Chocolate Cake with White Candle	CHANGE	Шоколадный торт с белой свечой
block:block.neapolitan.white_mint_candle_cake	sha256:f6039dadcee97696e49a14496206dc2b929db60c3cee746689ea782e3c3dfbb4	Mint Cake with White Candle	CHANGE	Мятный торт с белой свечой
block:block.neapolitan.white_strawberry_candle_cake	sha256:34f4de9c420c509c6a7bb734743eeeb20b5213039994ffa1a3ad3a7180703fc6	Strawberry Cake with White Candle	CHANGE	Клубничный торт с белой свечой
block:block.neapolitan.white_vanilla_candle_cake	sha256:bcf257e6a166348c4a6668a12e3ee558939ee89ab80888677830364befa5ec4c	Vanilla Cake with White Candle	CHANGE	Ванильный торт с белой свечой
block:block.neapolitan.yellow_adzuki_candle_cake	sha256:4b019972b65cdbd7ddc902e85ccf31908c4f2fea2b3e65ee3ebb48e71a96b7dc	Adzuki Cake with Yellow Candle	CHANGE	Адзуковый торт с жёлтой свечой
block:block.neapolitan.yellow_banana_candle_cake	sha256:d06982a28dad6eb533d23615fcb6d4095b02a2273ba5c974ccc61b5012cf1550	Banana Cake with Yellow Candle	CHANGE	Банановый торт с жёлтой свечой
block:block.neapolitan.yellow_chocolate_candle_cake	sha256:0bf8d1df0538ffef5560ffc987139e9cf0d57d3b303fbc7ac9ea7b550d93425a	Chocolate Cake with Yellow Candle	CHANGE	Шоколадный торт с жёлтой свечой
block:block.neapolitan.yellow_mint_candle_cake	sha256:8ef5c2a65431805ecaacf99a2a7a9ace7dfe05fdb39ea3c0b5fbbd6137b556a5	Mint Cake with Yellow Candle	CHANGE	Мятный торт с жёлтой свечой
block:block.neapolitan.yellow_strawberry_candle_cake	sha256:b0ba5f56402296d4812fd39c4ad32612503e1f376e1a646b8ce4413820dbe559	Strawberry Cake with Yellow Candle	CHANGE	Клубничный торт с жёлтой свечой
block:block.neapolitan.yellow_vanilla_candle_cake	sha256:d72964799f3202972838fcd57c8409cd986639796eda95aab75fee81c98d2710	Vanilla Cake with Yellow Candle	CHANGE	Ванильный торт с жёлтой свечой
block:block.supplementaries.fine_wood	sha256:823b8a5c7652d6ef13295cc1d3b8bfe37e82d2696d56ed309719b27fa07b8bc4	Fine Wood	CHANGE	Благородная древесина
block:block.supplementaries.fine_wood_slab	sha256:06bd83f4b7cfa2486000a0549ca8fed666546cdce393de28afcde23236227fc8	Fine Wood Slab	CHANGE	Плита из благородной древесины
block:block.supplementaries.fine_wood_stairs	sha256:958cae8f63846eac2552653314d4420a0f294409fbdb4a9b28cd0aa00cbc03ca	Fine Wood Stairs	CHANGE	Ступеньки из благородной древесины
block:block.tconstruct.greenheart_planks_slab	sha256:ce65e6c07a79d0322383d9ee12c4011d0b42b08002e9e34a037b11a003105da5	Greenheart Slab	CHANGE	Плита из зелёного сердца
block:block.tconstruct.molten_signalum_fluid	sha256:a797a1b0817142f841c8571b3443ddffc19c3b9974790178514e198f543ee00a	Molten Signalum	CHANGE	Расплавленный сигналий
block:block.tconstruct.scorched_road	sha256:39d2b950c623cceb7031d6f399018a196a7922550ef0ebfd7adce8e6344620a4	Scorched Road	CHANGE	Выжженное дорожное покрытие
block:block.tconstruct.seared_stone_stairs	sha256:9c2b0103c5a9128ba006fb1d7e35ad0fcc50b109ddd183d145c592bf66cf0ccd	Seared Stone Stairs	CHANGE	Ступеньки из обожжённого камня
block:block.thermal.dynamo_lapidary	sha256:c618a651adfe00cab559e0b1428f630c3ce5b0619cf3777cba7c3aafb550bd9c	Lapidary Dynamo	CHANGE	Лапидарный генератор
block:block.thermal.dynamo_stirling	sha256:883d02d3e7c6fa490a173d1b9d2ea3bcf43f69d5d48cb49ba2234ddbdb49161e	Stirling Dynamo	CHANGE	Стирлинговый генератор
block:block.thermal.rubberwood_wall_hanging_sign	sha256:84feed22be28db741a111a87e9699f85db13ba2faab8ea83e2e1facf8f3cbd59	Rubberwood Wall Hanging Sign	CHANGE	Настенная подвесная табличка из каучукового дерева
block:block.thermal.rubberwood_wall_sign	sha256:a5d4ef49eba41c534d8946ecb9d80e638d891f3b41201869e65267a113d88b09	Rubberwood Wall Sign	CHANGE	Настенная табличка из каучукового дерева
item:block.ae2.smooth_quartz_wall	sha256:6ba22b0e48b787fc914323fe8cb25d64701f9994f8a6730779536869fbcbde3c	Smooth Certus Quartz Wall	CHANGE	Гладкая стена из истинного кварца
item:block.dustrial_decor.sheet_metal_walling	sha256:e80113d6512948de1b2f65c8f14f955d63a9b258808f782dc798263ff7538190	Sheet Metal Walling	CHANGE	Облицовка из листового металла
item:block.immersiveengineering.slab_sheetmetal_electrum	sha256:bbeb486f7692f487a4a5594d00ed881d9fc1a6632e395ae931db58246b80faad	Electrum Sheetmetal Slab	CHANGE	Электрумовая плита из листового металла
item:block.mekanism.antiprotonic_nucleosynthesizer	sha256:fbf3264dea4a3dc6faa5fe3da05b374524c5fd3b2a0708e60ee7159de479fcb7	Antiprotonic Nucleosynthesizer	CHANGE	Антипротонный нуклеосинтезатор
item:block.mekanism.resistive_heater	sha256:92a0742ec51365ae8aa2216bc01bd58a250e8efe2f16ccca252364dcba2d6375	Resistive Heater	CHANGE	Резистивный нагреватель
item:block.neapolitan.chocolate_brick_slab	sha256:08a286698d6b17795c9e430f136b878dafa53c2981c8ae42311346f4f0038c7a	Chocolate Brick Slab	CHANGE	Плита из шоколадных кирпичей
item:block.supplementaries.fine_wood	sha256:823b8a5c7652d6ef13295cc1d3b8bfe37e82d2696d56ed309719b27fa07b8bc4	Fine Wood	CHANGE	Благородная древесина
item:block.supplementaries.fine_wood_slab	sha256:06bd83f4b7cfa2486000a0549ca8fed666546cdce393de28afcde23236227fc8	Fine Wood Slab	CHANGE	Плита из благородной древесины
item:block.supplementaries.fine_wood_stairs	sha256:958cae8f63846eac2552653314d4420a0f294409fbdb4a9b28cd0aa00cbc03ca	Fine Wood Stairs	CHANGE	Ступеньки из благородной древесины
item:block.tconstruct.greenheart_planks_slab	sha256:ce65e6c07a79d0322383d9ee12c4011d0b42b08002e9e34a037b11a003105da5	Greenheart Slab	CHANGE	Плита из зелёного сердца
item:block.tconstruct.scorched_road	sha256:39d2b950c623cceb7031d6f399018a196a7922550ef0ebfd7adce8e6344620a4	Scorched Road	CHANGE	Выжженное дорожное покрытие
item:block.tconstruct.seared_stone_stairs	sha256:9c2b0103c5a9128ba006fb1d7e35ad0fcc50b109ddd183d145c592bf66cf0ccd	Seared Stone Stairs	CHANGE	Ступеньки из обожжённого камня
item:block.thermal.dynamo_lapidary	sha256:c618a651adfe00cab559e0b1428f630c3ce5b0619cf3777cba7c3aafb550bd9c	Lapidary Dynamo	CHANGE	Лапидарный генератор
item:block.thermal.dynamo_stirling	sha256:883d02d3e7c6fa490a173d1b9d2ea3bcf43f69d5d48cb49ba2234ddbdb49161e	Stirling Dynamo	CHANGE	Стирлинговый генератор
item:item.createaddition.electrum_rod	sha256:5aacd2ab4244d26994b80589b688cb553533ef3f620b0fef14fa8d6a2f2e0d73	Electrum Rod	CHANGE	Электрумовый стержень
item:item.createaddition.electrum_sheet	sha256:52387860ee4906021fc3ecb6342d4ae717e2c4da1f9f26678275be13b2720984	Electrum Sheet	CHANGE	Электрумовый лист
item:item.createaddition.electrum_spool	sha256:97c9998101157783c351bb70c41e1ed2272b9ec07845deaa7fd728d114f9aaf0	Electrum Spool	CHANGE	Электрумовая катушка
item:item.createaddition.electrum_wire	sha256:5ef18e2d800050f1cc4d33df09d7a7cac4a701a1ce2d4c7dec8aea84ff899531	Electrum Wire	CHANGE	Электрумовый провод
item:item.mekanism.uranium_hexafluoride_bucket	sha256:01a67af66822ef3c7f29a13e3f6bab5b5ef253c198337f98e4cf6d8df5e2a47f	Liquid Uranium Hexafluoride Bucket	CHANGE	Ведро жидкого гексафторида урана
item:item.mekanism.uranium_oxide_bucket	sha256:7237812abedd88ed638fa807ffa5d00483ddad9f27d78327b6288a14d7b436a4	Liquid Uranium Oxide Bucket	CHANGE	Ведро жидкого оксида урана
item:item.musketmod.pistol	sha256:598ca21fb3ec32e06462112dc506fc703daaef1e75823be3e88023684d291170	Flintlock Pistol	CHANGE	Кремневый пистолет
item:item.tconstruct.molten_gold_bucket	sha256:793a3175965f8c8c14f4f6f5f0fe82b12a57636b76a4944cb71b28d69c6beaf3	Molten Gold Bucket	CHANGE	Ведро расплавленного золота
item:item.tconstruct.molten_pewter_bucket	sha256:e8323ec1d97d30ec252e170080c7df93181bfa0c2996d813ba73c87bbecd95a5	Molten Pewter Bucket	CHANGE	Ведро расплавленного пьютера
item:item.tconstruct.molten_signalum_bucket	sha256:0c1292b38b3e4f34bd415e4e5725b425b0a85ce54a768544211bab5a15f9f85a	Molten Signalum Bucket	CHANGE	Ведро расплавленного сигналия
item:item.tconstruct.repair_kit_cast	sha256:25912bbbc0c9a3fd170f7bc63cef5813300167238ba159e0662b6b26b610506d	Repair Kit Gold Cast	CHANGE	Золотая литейная форма: Ремонтный комплект
