"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"reviewer"	"method"
"patchouli-lang:botania:botania.page.runeAltar0"	"sha256:d61b0af49521c6a478d6a5163f0b4a6c1b3a2a56f30f6095e5a15dd0599daeac"	"CHANGE"	"$(item)Руны$(0) — важнейшие компоненты для сложных магических устройств и продвинутой флоры. Для их создания вам понадобится $(item)Рунический алтарь$(0).$(p)Разложите на нём предметы для нужной руны: нажимайте ими ПКМ по алтарю или просто бросайте на него."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.runeAltar22"	"sha256:33b224ed10248813f3a633287948d5ca7ab0f986b164711e91a35bf7d889f7e0"	"CHANGE"	"Любые руны, используемые в рецептах на $(item)Руническом Алтаре$(0), служат катализаторами и возвращаются после завершения рецепта.$(p)Как и с $(l:basics/apothecary)$(item)Лепестковым Аптекарем$(0)$(/l), после завершения рецепта нажмите ПКМ по алтарю пустой рукой, чтобы достать ещё один набор предметов из последнего рецепта и быстрее создавать их в большом количестве."	"Потерян смысл ускоренного массового создания после завершения рецепта."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.terrasteel0"	"sha256:35fbb6d26f38a7a5a2fd63aff2253757cabab733d6fba6e66719bed0eb19669a"	"CHANGE"	"$(item)Террасталь$(0) — сложный магический сплав, наполненный $(thing)маной$(0), для создания которого требуется немало усилий. Сначала создайте особую пластину (см. дальше) и поставьте её на структуру из $(item)Блоков лазурита$(0) и $(item)Жизнекамня$(0), расположенных в шахматном порядке. Затем подайте к пластине $(thing)ману$(0), лучше всего с помощью $(item)Искр$(0)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.terrasteel2"	"sha256:fc3018fa74b02a0701123575061d92994959bb0c4afb1daf5b28efb0148a44e2"	"CHANGE"	"Когда пластина готова принимать $(thing)ману$(0), бросьте на неё по одному $(item)слитку манастали, маналмазу и жемчужине маны$(0) — начнётся вливание маны. Если подобрать любой предмет, процесс прервётся и вся переданная пластине $(thing)мана$(0) будет потеряна. На одну $(thing)Террасталь$(0) уходит примерно половина $(item)Бассейна маны$(0); несколько $(item)Искр$(0) ускорят процесс."	"Потерян тяжёлый расход маны, неверное «ровно», пунктуация."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.wand1"	"sha256:6c1e3bb879758d25fde1d2c13e1ec6fc5c625f332c3ebb080e5550e9563ca2cc"	"CHANGE"	"Посох имеет два режима: $(thing)Режим привязки$(0) и $(thing)Режим управления$(0). В $(thing)Режиме привязки$(0) присядьте и нажмите ПКМ по совместимому блоку, чтобы выбрать его, а затем так же нажмите по другому блоку, чтобы связать их. В $(thing)Режиме управления$(0) эта функция отключена и сочетание можно использовать для других действий.$(p)Чтобы переключить режим, присядьте и нажмите ПКМ посохом в воздухе."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.welcome0"	"sha256:ca10ecd14f10bcf8db904b2b2ba165f53c7fabe5128319f432877208d4815799"	"CHANGE"	"$(o)Добро пожаловать в Ботанию! Поздравляю: привязать саженец к книге — отличная идея. Или, возможно, вы просто нашли этот том в сундуке. Как бы то ни было.$(p)$(o)Листайте книгу стрелками внизу страницы или колесом мыши.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.auraRing0"	"sha256:335a4a5bb268c2a8e2815c340c4d8c4cb0126efc66d8b826546356b5b40ad6ad"	"CHANGE"	"$(item)Кольцо ауры$(0) похоже на $(l:baubles/mana_ring)$(item)Кольцо маны$(0)$(/l), но не хранит $(thing)Ману$(0): надетое кольцо медленно создаёт её и пополняет предметы, хранящие $(thing)ману$(0), в вашем инвентаре.$(p)Покройте кольцо слитком $(l:basics/terrasteel)$(item)Террастали$(0)$(/l), чтобы оно генерировало $(thing)Ману$(0) значительно быстрее."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.cosmeticBaubles32"	"sha256:695addd5e5c10d513dc237295602c0b4cb64a73c794739dc628f55ba1702ffff"	"CHANGE"	"Теперь вы тоже можете верить"	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.goddessCharm0"	"sha256:bd741d5af6342279268cba39b0a505ee58f212d6c9d430cefb9219498a18fd6b"	"CHANGE"	"$(item)Очарование доброжелательной богини$(0) — защитная безделушка для слота $(thing)брелока$(0).$(p)При ношении оно расходует $(thing)Ману$(0) и не даёт взрывам поблизости повреждать блоки."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.invisibilityCloak0"	"sha256:b599286f8ed20bb1e9d3d420f8350001351f73249c3785bb7f3840f7900ff663"	"CHANGE"	"$(item)Плащ невидимости$(0) не нуждается в долгих объяснениях.$(p)Его носят в слоте $(thing)тела$(0). Он расходует $(thing)Ману$(0) из инвентаря и делает невидимыми вас и ваши $(thing)безделушки$(0).$(p)Магия."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.itemFinder0"	"sha256:eb785810a35153dc993e294950e598e2ff8a2fb4fd0e1b46fba8d0fbd2e03b87"	"CHANGE"	"$(item)Спектатор$(0) — головная повязка, позволяющая лучше воспринимать окружающий мир. Когда её владелец держит предмет в руке, всё перечисленное ниже испускает разноцветные частицы, чтобы его было легче заметить:"	"Контрольный пример: нужен общий деятель и точный смысл частиц."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.itemFinder1"	"sha256:7c13e1d7228c14a64dcb3f603abe8f5a17a64546b5d544e26c988a91a141c2cd"	"CHANGE"	"$(li)$(thing)контейнеры$(0) (сундуки, вагонетки, печи и т. д.) с этим предметом,$(li)$(thing)выброшенные предметы$(0) этого типа,$(li)$(thing)мобы$(0) с этим предметом в снаряжении,$(li)$(thing)игроки$(0) или $(thing)вьючные животные$(0) (ламы, мулы и т. д.) с этим предметом в инвентаре,$(li)$(thing)жители$(0), торгующие этим предметом.$(p)Когда носитель крадётся, все выброшенные рядом предметы будут светиться независимо от предмета в руке."	"Контрольный список был фрагментом и терял условия подсветки."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.monocle0"	"sha256:dd5f13b88be2d3b263f544d758ebdcdc3040d1ecceff12d12113de6ce52968a5"	"CHANGE"	"$(item)Монокль$(0) позволяет узнать, куда направлены $(thing)Всплески маны$(0), и видеть близлежащие $(thing)Всплески маны$(0) даже сквозь стены. А главное: наденьте монокль и посмотрите на цветок, чтобы увидеть его зону действия."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.speedUpBelt0"	"sha256:3d82597a71cd22c3ab8534b575df243b68c0d20f0b3caf9eafcc0aa199c71c66"	"CHANGE"	"$(item)Кушак ускорения$(0) — альтернатива $(item)Кушаку Пилигрима$(0).$(p)В отличие от $(item)Кушака Пилигрима$(0), $(item)Кушак ускорения$(0) ускоряет не сразу: чем дольше вы идёте, тем быстрее движетесь. Если остановиться, бонус сбрасывается."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.speedUpBelt1"	"sha256:8b23e1bd67f7c6156360bb5724bae47c3b76457be8781eddf119f33c3ec14cc4"	"CHANGE"	"Если вы медленно передвигаетесь, вы мироходец"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.superLavaPendant1"	"sha256:78514c5f6d30a44b557932043041f638cb801f031045d58f2935678377eca677"	"CHANGE"	"Теперь вы можете принять лавовую ванну"	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.swapRing0"	"sha256:f6e94c7188dcdc97b1422e417da364e4e7becec388a80e6cbebe48413d6f28db"	"CHANGE"	"Менять инструменты — утомительно. Бывает, что землю приходится копать… киркой? $(item)Кольцо исправления$(0) поможет этого избежать.$(p)При ношении кольцо само меняет инструмент в руке для добычи блока, но работает только с инструментами, способными использовать $(thing)Ману$(0)."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.tinyPlanet0"	"sha256:0c345c10448c78c66a6d6c13087e33f7c5c682bdccd0039434c0e0c33b646e0d"	"CHANGE"	"$(item)Микропланета$(0) — $(thing)безделушка$(0) с гравитационными свойствами. Когда она надета, то притягивает ближайшие $(thing)Всплески маны$(0) к игроку, заставляя их двигаться по орбите вокруг него.$(p)Увеличив массу микропланеты с помощью $(item)Камня$(0), её можно разместить в мире с тем же эффектом."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.forestEye0"	"sha256:ecf5ed2f202bfa6061d8d6f61ac2de49ff3a059ed8efc5ed891a75d16df4fe6d"	"CHANGE"	"Подобно древним, использовавшим глаз для поиска живых существ, ваш $(item)Глаз Древних$(0) делает то же самое.$(p)Подключённый к глазу $(item)Компаратор$(0) выдаёт сигнал Редстоуна, сила которого соответствует числу животных поблизости."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.hourglass4"	"sha256:ec8cc638338e383f46eba4d4e9f28a3656e53a8a28957573b2df2c50350ff723"	"CHANGE"	"Кликните ПКМ $(item)Посохом леса$(0) по блоку, чтобы заблокировать или разблокировать его. В заблокированный блок нельзя добавить или из него убрать песок, даже если кто-то случайно кликнет ПКМ.$(p)Если $(thing)Всплеск маны$(0) столкнётся с блоком, поток песка остановится, как и таймер."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.blackHoleTalisman2"	"sha256:5f77a2dec3d4479677fb0a713967210e4ffcfd12b066f8536f8ac424f23ed5bf"	"CHANGE"	"Блоки из Талисмана можно разместить обычным нажатием ПКМ.$(p)Нажмите ПКМ по инвентарю, держа Талисман и Shift, чтобы поместить в него до стака блоков. Наконец, Талисман может снабжать $(l:tools/exchange_rod)$(item)Жезл обмена$(0)$(/l) хранящимися в нём блоками."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.dreadthorne1"	"sha256:e8aaaa65ef3f44d4408d4e6e07d0dbe099e258633d618f1330d120f2220e9917"	"CHANGE"	"$(o)Нет, мистер Бонд, я ожидаю, что вы умрёте.$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.flowerShrinking0"	"sha256:f7160a191b09df2d97348baaa0025e7dd5c969618534949f4419d189b20e5d05"	"CHANGE"	"Некоторые функциональные цветы действуют на слишком большой площади. Бросьте один из таких цветов в $(l:mana/pool)$(item)Бассейн маны$(0)$(/l) с $(l:devices/mana_alchemy)$(item)Алхимическим катализатором$(0)$(/l), чтобы за небольшое количество $(thing)Маны$(0) уменьшить и сам цветок, и его зону действия. Остальные свойства цветка не изменятся."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.dandelifeon1"	"sha256:21929b1860fa0a383c4f47bd265617ae51afc0f485b99bbb7933fadb529b6d2a"	"CHANGE"	"Работа этого цветка основана на клеточном автомате $(thing)Игра ""Жизнь""$(0). Автомат действует на поле 25 × 25 с $(item)Жизнеодуванчиком$(0) в центре.$(p)Пока цветок получает сигнал красного камня, он обновляет автомат дважды в секунду."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.gIntro3"	"sha256:a14ac04882f63304bbe6f5b084c3ad21d41f465efd21443a6f5159f28a5494db"	"CHANGE"	"Выбрать первый $(thing)Генерирующий Цветок$(0) довольно просто: начинающему ботанику подойдут $(item)Эндопламя$(0) и $(item)Водогортензия$(0).$(p)Эндопламя использует $(item)Уголь$(0) и другое топливо для выработки $(thing)Маны$(0). Водогортензия использует источники $(item)Воды$(0), но примерно через три дня увядает."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.munchdew2"	"sha256:d2b35693fd5846b493935c66514715fdeed0e7fefa4a7260dd5e319e3c8ba1c1"	"CHANGE"	"$(o)Приятного аппетита~$(0)"	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.dreamwoodSpreader0"	"sha256:ce006e4b22c41ed648ca203762dd2c9259bf3901945b154e094634a57d5a4d89"	"CHANGE"	"$(l:alfhomancy/elf_resources)$(item)Древесина мечтаний$(0)$(/l) проводит $(thing)Ману$(0) лучше $(l:basics/pure_daisy)$(item)Жизнедерева$(0)$(/l). Заменив медь $(l:alfhomancy/elf_resources)$(item)Элементием$(0)$(/l) в рецепте, вы получите Эльфийский $(item)Распространитель$(0): он передаёт больше $(item)Маны$(0), быстрее и дольше без $(thing)Потери маны$(0). Он сохраняет обычный темп импульсов, поэтому несколько сгустков могут сливаться и терять $(thing)ману$(0).$(p)К сожалению, его нельзя превратить в $(l:mana/redstone_spreader)$(item)Импульсный распространитель$(0)$(/l)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.mIntro1"	"sha256:cd51ba331c45b24bf05cd646708d91945eb8edd5119cabbf9b8571f51c10a69c"	"CHANGE"	"$(thing)Генерирующая флора$(0) создаёт $(thing)Ману$(0) (подробнее см. в соответствующем разделе). $(thing)Ману$(0) можно извлекать и передавать $(item)Распространителями маны$(0), а хранить — в $(item)Бассейнах маны$(0). Она нужна для многого: например, питает $(thing)Функциональные Цветы$(0)."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.manaMirror0"	"sha256:4cabfdea0b32a2e2a5c5cc14368dae4718d4985976a0e6cb7c905e43fc28b8ef"	"CHANGE"	"$(item)Зеркало маны$(0) — альтернатива предметам, хранящим $(thing)ману$(0), например $(item)Планшету маны$(0). После привязки к $(item)Бассейну маны$(0) предметы в инвентаре, которым нужна $(thing)мана$(0), будут брать её из этого бассейна.$(p)Присядьте и нажмите зеркалом $(thing)Shift+ПКМ$(0) по бассейну, чтобы связать их. Иначе зеркало не может ни получать ману из бассейна, ни отдавать её ему."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.manaTablet1"	"sha256:1df49deb03083e7792b871bc2445455ba3235db159740376d38398e39d0e1690"	"CHANGE"	"Бросьте $(item)Планшет маны$(0) в бассейн, чтобы $(thing)мана$(0) могла перетекать между ними. Присядьте и нажмите по $(item)Бассейну маны$(0) $(item)Посохом Леса$(0), чтобы сменить направление потока $(thing)маны$(0). Выброшенный на землю $(item)Планшет$(0), в отличие от обычных предметов, никогда не исчезает."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.manaVoid0"	"sha256:b793a8723408aca65993653ee3a4417da7cb7f4f0f986eeed2c8b18c1324a313"	"CHANGE"	"$(item)Мана-пустота$(0) — могила для $(thing)маны$(0): любая $(thing)мана$(0), попавшая в этот блок, бесследно исчезает.$(p)Поставив его под $(item)Бассейн маны$(0), вы позволите бассейну всё так же принимать $(thing)ману$(0), но уничтожать излишек."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.manastar0"	"sha256:f827bea6c37c24779acb5d4dfb4db75431423422fae8ad5cf847e9092b1336c0"	"CHANGE"	"Неточных измерений $(item)Посоха Леса$(0) иногда недостаточно, чтобы понять, прибывает или убывает мана в $(item)Бассейнах$(0). Создайте $(item)Звезду маны$(0) и поставьте рядом с бассейном: при убыли она светится красным, при прибыли — синим. Показания обновляются раз в несколько секунд."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.sparkChanger0"	"sha256:2e530260dd3b4bfece1134a929ec3dee1dba30e5b9adad8d02689183b173bf6d"	"CHANGE"	"$(item)Искра ремесленника$(0) — блок, изменяющий $(item)Дополнения$(0), установленные на $(item)Искрах$(0). Поставьте её рядом с $(item)Бассейном маны$(0) или другим блоком с прикреплённой $(item)Искрой$(0), чтобы подключить её к нему.$(p)Нажмите ПКМ по $(item)Искре ремесленника$(0), держа $(item)Дополнение для искр$(0), чтобы установить его; повторное нажатие ПКМ снимет дополнение."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.sparks3"	"sha256:c57a40de3e07a327462d3f6349797136d23cff3310eb40010e6a81a272d55b16"	"CHANGE"	"$(item)Искры$(0) можно окрашивать красителями; Искры разного цвета никогда не взаимодействуют. $(item)Призрачные чернила$(0) сделают Искру почти прозрачной, если она кажется слишком заметной."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.spreader0"	"sha256:fdd90b91ad4f2e7785d64e7fe3ae09ca0beeabb4548152b4c3ce91f2ddf32bb8"	"CHANGE"	"$(item)Распространитель Маны$(0) — важнейший инструмент $(thing)Управления Маной$(0).$(p)Он переносит $(thing)Ману$(0) из одной точки в другую. При установке распространитель обращён в одну из сторон; присядьте и нажмите $(l:basics/wand)$(item)Посохом леса$(0)$(/l) по нужной грани, чтобы направить его туда. В $(thing)Режиме привязки$(0) посохом также можно направить распространитель на другой блок."	"Исправлено по исчерпывающему заключению checkpoint-review."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.spreader10"	"sha256:236f6070b6d28960ad4ea00397264f79499ab9d2aee1f9c217279061cf1bffab"	"CHANGE"	"Нажмите ПКМ по распространителю, держа $(item)Шерсть$(0), чтобы обшить его. Шерсть не только украшает распространитель, но и приглушает звук при выпуске сгустка маны, что уменьшает шум от нескольких распространителей в одном месте. Повторное нажатие ПКМ пустой рукой снимет обшивку."	"Сокращение «распр-телей» и неверный игровой термин."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.cacophonium2"	"sha256:be8b9ffc1d92e5c633ae10c107fdac920357700c508bbe4cb72fb5ef2eb94867"	"CHANGE"	"Для полной какофонии присядьте и нажмите ПКМ по $(item)Нотному блоку$(0), чтобы поместить в него Какафоний: блок сможет по требованию воспроизводить звуки животных и монстров.$(p)Ну и чудовище же вы!"	"Смысл инвертирован: звуки воспроизводятся, а не отключаются."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
"patchouli-lang:botania:botania.page.decorativeBlocks0"	"sha256:7ac3f53efcf36bff0fd8b769c1f62b7b78438d197685e26341caa5ce80afc247"	"CHANGE"	"Чтобы сделать строения красивее, доступно множество декоративных блоков.$(p)Блоки $(item)Жизнедерева$(0) и $(item)Жизнекамня$(0) можно превратить в декоративные; у каждого есть четыре варианта."	"Полное повторное редакторское чтение: исправлены смысл, грамматика, пунктуация и неестественные обороты; технические токены сохранены."	"/root/checkpoint11_language_fixer"	"clean-full-reread-fix-iteration"
