"id"	"source_hash"	"verdict"	"recommendation"	"reason"	"checked_dimensions"	"reviewer"	"method"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house.text.1"	"sha256:bf9cab330b0ff42f0da199f84010ee34d1d5348bba8a88e29ae78c7c29fe5947"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.engineer_house.text.2"	"sha256:b9a13a52c6ae5f652fda06d8220c1a36eec27b8982726c803a9ef22c1976a6e2"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide"	"sha256:32c4a6f2c070feb325752e6c714e9cb8c5161dada66d3dea25e98cceeca16fb5"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.booty.button"	"sha256:254b90cb16499b0a13cea8bafddfb017bb6e49dc2ac59545950830d4a3f14dfc"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.booty.text.1"	"sha256:c9b52c947e32d45c98d9c38d51834f397db8a3acb9cae7aa69d3a4da96cbe6c5"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.booty.text.2"	"sha256:77837f1e601c7df391f3ad8777de6856a6f56e908ba8191eebd5f67b2fc59072"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.dire.text.1"	"sha256:c823c971e62f619051bd9ae0065eb1a5f52bf69ff77bbbb28e63ed4451a8a494"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.video_guide.dire.text.2"	"sha256:c07c3504a8fdba7e5cbd7ad2a6309626590f2519cfab4767279e38527430c3aa"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro"	"sha256:18cc299b642f5e6aac3ed6465fe54685daea9a1db1d426f3789c802875e94233"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.1"	"sha256:9b8104eaedd68eeac7c4cb3dff75d551d66c517c63a8fba894984cefdcceda81"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.2"	"sha256:dbdddb018d1f8d5e00c63e5a64e29dbf643f9532f285559b342cfde1093ad0fe"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.3"	"sha256:a1283af2b1ae2b580bd6bb6671fec66e9da0f7607da66345a904454ab08a6c56"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.intro.text.4"	"sha256:ea255c777f0425b8fe2faa723e6fce6d731991968619b2a8a9f2d0304bff1158"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial"	"sha256:8e02534b839ac9a39bada9c589cd77b71ddd146c8ec3a1030753b70571770733"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.1"	"sha256:54e3751e0639c92dc9cf74de9e7b69803acd6be924a09d53258dc2a897380b45"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.2"	"sha256:4c90ae9a2d4318d0221a1e19d18575976738436174c80b70f3e53386bf6a620f"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.chapter.book_tutorial.text.3"	"sha256:b51f19a9fd467ef33d3c0f18956b645df2e5069bd992ba5aad6c6d90128563f2"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:actuallyadditions:booklet.actuallyadditions.shapeless_recipe"	"sha256:d1212f5a4d9a13dd30541e86f70a17c1aa873f8201d14636f4eaaec0c9d8fbf4"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.alfhomancy"	"sha256:74f28452b7c6f9523fc90fe6e10d1dafd1950cc3d94e57e37ebd7dfa8d03a5fb"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.basics"	"sha256:9c0a5a34fa941f311bd406de13601867178043c0d7a248b2abf37767c19d055d"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.baubles"	"sha256:319613c3b6187e8e40d015563adc601a50baa29c7fac703a2ec2136b73f78c94"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botaniamisc.challengeInfo"	"sha256:c565682db8473ef4ffec97488d58512cab88c96895f54da823f753168b188560"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botaniamisc.challenges"	"sha256:40b9c8f444870eff94e260ea77c034c0078841842fedb9ba3cfe9e83b4ffb313"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.devices"	"sha256:5492015da12a640989d22bc0c12b120c34697d12ff8a632fed47cf62d50ec5ff"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.ender"	"sha256:146b87a383b440ac7ad19d5d6d64f372e868999f7fc43803067ab79ebe8bf5b9"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.functionalFlowers"	"sha256:384a84637b61aa83c95617fadf5dcb9ebb8c48ff689abf54a2d64714ccaf343f"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.generationFlowers"	"sha256:c5ccd88f2604dc025c40d11fd0dc25081672a12a2940dfab0a4c22d01a5b9914"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.mana"	"sha256:224ded9f5046a700b6ff9ba7b8fde25d5152b1062d2601a8f91e051e2db4d755"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.misc"	"sha256:5cb0b42660589925c804543d433ba0764dab859487e5a9ed855481dcbfec1f06"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.category.tools"	"sha256:b1937987c6a94d44687d3e9c46ffbf3f335ce8951351ff03256d8baf200b34d4"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.entry.elfMessage"	"sha256:d98f090e235abc3e0aa76c5c164594d3a81f943e1d579a1c45e947f8553a6c4b"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage1"	"sha256:2ad813db8f803c3115a8e547ec4f9a025799d65ba1bda78232cb537316f5e606"	"CHANGE"	"$(o)Приветствуем! Мы заметили, что наш портал открыл связь с другим миром. И это довольно шокирующая новость для нас! Мы благодарим вас за предоставление нам книги знаний вашего мира, чтобы держать нас в курсе всего, что произошло, так как мы оставили этот мир, давным-давно."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage2"	"sha256:d801dd8d6396cf72af29bddf36d0b29cfe7efeac8024e408635d8232053babda"	"CHANGE"	"$(o)После некоторых дискуссий с верховным консулом Эльфийских Садов, мы решили объединить усилия. Прочитав ваш ""Лексикон Ботании"" мы обнаружили в вашем мире наличие большого количества ресурсов, которые мы чрезвычайно заинтересованы получить в свои руки, так как они не существуют на наших землях."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage3"	"sha256:bcb7675b40b1fba5cab11775b0fa0a8f50bc6a07823e6d75fa0a5fcae5d04a02"	"CHANGE"	"$(o)Связь, которую вы сумели установить, слаба, живые существа не смогут пройти, как вы уже знаете. Однако в этом есть и положительная сторона, связь проходит сквозь ткань времени обоих наших миров, по пути теряя синхронизацию, поэтому вы получили вашу книгу обратно так быстро."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage4"	"sha256:b25501bcbb3691fdc2b79d4a63867ee98c0d48c5ef40edaca44662a31d13cf91"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage5"	"sha256:0a29a917cf0f322ceaa8a360d094cd93f2862e24bde39d9e3949d577d37922f2"	"CHANGE"	"$(o)Мы взяли на себя смелость, и дали задание нашим лучшим писцам, собрать большой набор знаний из нашего мира, которым мы готовы поделиться. Вы можете найти эти знания в своём Лексиконе. Надеемся, вы найдете их поучительными и что они поощрят вас использовать наши материалы для создания этих уникальных предметов."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfMessage6"	"sha256:8ffeb3b0144672f4c8ecbcc9a48544faba29dc1bf75d211100b3520aa55404c7"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.entry.elfResources"	"sha256:c288235b8f925e681893648ab1917ec15562fa1438aa2ba3c48983e775f49f32"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources0"	"sha256:77b8af7c9632ef545d7ad2b99d8bd195b99feacaad1947d03979bdda73919521"	"CHANGE"	"$(thing)Эльфхейм$(0) содержит очень разнообразный набор изысканных ресурсов. К сожалению, большинство их крайне редки и труднодобываемы, в связи с конкуренцией между кланами. Эльфы заинтересованы в обмене некоторыми материалами, такими как $(item)Древесина мечтаний$(0), $(item)Элементий$(0), $(item)Пыльца фей$(0) или $(item)Камень дракона$(0), на ресурсы вашего мира."	"Заглавная форма обращения внутри предложения заменена на современную строчную."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources1"	"sha256:100c0c4faf7ebed3b43b3292f4fefd558204c57527fc322a8f84646dc783df34"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:item.botania.dreamwood_wand"	"sha256:240adcca2edc8ca033a07447eca4a606776e8dace1dde3703e5cac002eb06f16"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources2.title"	"sha256:64fe5d808d2549d168067c882b34f3728a4b224e442ba38816930cc861de8fb2"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources3"	"sha256:52cb9da15f7eb42de66c5f9531d4b95add545a23c991294588eee4377039ec21"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources4"	"sha256:ba26762ca45f89925b9a8c56069317c3f61964bc96a09eaf75a7a1de82957b68"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources5"	"sha256:ec6efe0ee2751ad135a177d1b25f9b8f7bb7e06d21e37e56ce39385af8009531"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources6"	"sha256:4757f0560edd3f179bf19048ad551ba7e0b10ba67a0e081085eba3c6d48c3ebe"	"CHANGE"	"$(item)Эльфы$(0) также довольно заинтересованы в строительстве шикарного белого квартала из $(thing)Незера$(0), $(item)Незер-кварца$(0), так как их мир имеет зелёный оттенок. Эльфийский кварц используется также как и любой другой, будь то простой кварц или любой из вариантов декоративного. Вы можете найти информацию о нем в статье $(thing)Декоративные блоки$(0) из раздела $(thing)Разное$(0)."	"Исправлена опечатка: «зелеёый» -> «зелёный»."	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources7"	"sha256:ef82d0a82171a00a74e0a12918c12b778703d3dd8eda4a1d3d274ad8673efbe6"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources8"	"sha256:b6b23c14f6824c8bb15c60060eb2cd41d5c507c587e24d9e1a9db5fc31e2d4b2"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elfResources9"	"sha256:c9cefff6e4fb440a584da7df9a07e5f260c1ddf1e7787fe3f7b1ee22ec4b7a55"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.entry.elvenLore"	"sha256:13b585c3a443c3b0567e347c747979674035abe1b0fc8d5f70aec0bdd7a443ad"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elvenLore0"	"sha256:5a167c5eb583410dc0af491f272af60544f61a4971c6648100de4f8082e9484e"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
"patchouli-lang:botania:botania.page.elvenLore1"	"sha256:31e6acfa741ec47fa4839445e8c97236f10d14d618f2f3b685636ccabf05b906"	"PASS"	""	""	"PUNCT|GRAMMAR|SYNTAX|GOVERNMENT|COLLOCATION|COHERENCE|CALQUE|WORD_ORDER|NATURALNESS|TERMINOLOGY|REGISTER"	"/root/original_language_editor_b"	"blind_full_context_original_review_b"
