"id"	"source_hash"	"review_verdict"	"recommendation"	"reason"
"patchouli-lang:botania:botania.page.decorativeBlocks10"	"sha256:f8593dbdb533258d68d61f714dab5a90c3754cd514e811286a72ce41bcc90765"	"CHANGE"	"Продолжим... $(p)Комбинируя $(item)Незер-кварц$(0) с разными видами субстанций, можно создать широкий спектр других декоративных $(item)Кварцевых$(0) блоков.$(p)Как вы и ожидали, все эти блоки могут быть преобразованы в другие виды декоративных блоков, такие же как и их классический аналог - $(item)Незер-кварц$(0)."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.dispenserTweaks0"	"sha256:14e82aa540235cd5eb453e5513a2ec54973d6ff94a77e3ffa4373b74829c4c97"	"CHANGE"	"$(item)Раздатчик$(0), среди обычных способностей, также может сажать все виды семян, от обычных $(item)Семян пшеницы$(0) до $(item)Адских наростов$(0) и $(item)Какао-бобов$(0). Семена будут посажены на блоке перед раздатчиком.$(p)Это позволяет комбинировать ваши фермы с другими блоками (Например, с $(item)Барабаном дикой природы$(0))."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.headCreating1"	"sha256:b4bb0605beef34807d94893e38012c721d3fdd4601950e2ed95917a818291b15"	"CHANGE"	"Получите вашу голову"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.mushrooms1"	"sha256:8b80bcdc98f5ee9fc47a77547de5738d251135607109ba80bf4f652ac7157a63"	"CHANGE"	"Они не делают вас больше"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.phantomInk1"	"sha256:edf3a138e5b9c0175c7b055e81a85da763eca392da40a120c1c19bc06ba97161"	"CHANGE"	"Кого вы собираетесь позвать?"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.shinyFlowers0"	"sha256:520164a13a4890f27027bc86c3ef61f6e7f29d40fb3a8871d405311ad0067b01"	"CHANGE"	"Комбинируя обычный $(item)Мистический Цветок$(0) со $(item)Светящейся пылью$(0), вы можете добавить им больше яркости, придав им излучение видимого света такого же яркого, как $(item)Светящийся камень$(0).$(p)Добавив немного $(item)Земли$(0) и $(item)Луговых семян$(0), можно превратить их в миниатюрный парящий островок, который будет не только светиться, но и порадует своим необычным видом."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"patchouli-lang:botania:botania.page.exchangeRod2"	"sha256:10b9428daf9bcc73361496c107a9ba4c7035344b42fb897c09ab70031df0d826"	"CHANGE"	"Другие жезлы или устройства могут быть использованы для увеличения мощности $(item)Жезла обмена$(0).$(p)Например, наличие $(item)Жезла земель$(0) в вашем инвентаре обеспечивает $(item)Жезл Обмена$(0) бесконечным запасом $(item)Земли$(0), но не стоит забывать про потребление $(item)Маны$(0)!"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:materials_and_you:intro/storage.json:/text/1/text"	"sha256:26563f8e0274aedfe344bcdd4a71c38b3925f19b0cc384adc1078259aa951b4a"	"CHANGE"	"Ящики для частей позволяют хранить множество дополнительных частей, которые у вас могут быть. В каждом слоте можно хранить не более 8 частей. Если вам нужно больше, значит, вы что-то делаете неправильно или у вас очень запутанные рецепты."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:mighty_smelting:abilities/armor/boots/tconstruct_double_jump.json:/text/0/text"	"sha256:3212d740535f43f0d3446f24bcf55fc30f74aef654e0848d10d1ffa0f1780e9d"	"CHANGE"	"Распрыжка повысит ваши навыки и сделает вас намного лучше в игре. Для достижения максимального эффекта не забудьте немного попрыгать."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:introduction/thruul.json:/text/0/text"	"sha256:779530d4c38e5a33da0c5e40a601e9038f4658858df8aaa1520c13c453c21ab2"	"CHANGE"	"Ладно, теперь, когда вы закончили возиться с этими слабыми материалами, которые, по мнению Селены вы должны были использовать, настало время для НАСТОЯЩИХ ЛИТЕЙНЫХ МАТЕРИАЛОВ, ТАКИХ КАК МЕТАЛЛ."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:melting/meltergui2.json:/text/0/text"	"sha256:c7bee4c31e8ca89e7aa16ba92d4a287905e0e8fa2cbc5aadba5a2e82dc8178c2"	"CHANGE"	"1: В эти 3 слота вы помещаете то, что хотите расплавить. Это могут быть руды, слитки или что-то ещё!"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:movingfluids/channel2.json:/text/1/text"	"sha256:cf4f878637a09fc12b35f71a08f73f301ad902e169622d9452f34774d206b2d3"	"CHANGE"	"Внутри каналов есть стрелки, показывающие направление движения жидкости. Нажимая ПКМ по сторонам канала, можно переключать его между входом, выходом и отключённым состоянием. Нажмите ПКМ по середине канала, чтобы направить жидкость прямо вниз, если под ним есть подходящая ёмкость. Каналы не передают жидкость вверх."	"Лишний пробел, неверное управление и неестественный порядок слов."
"mantle-book:tconstruct:puny_smelting:slotless/slotless.json:/text/0/text"	"sha256:6417aa942cf8e3b3f670811d0ac6f44ac68bd052fa4d8c1bb3a28b9809131f5d"	"CHANGE"	"Закончились слоты? Хорошие новости: все модификаторы в этом разделе не требуют слотов для применения, а некоторые даже могут дать вам ещё больше слотов!"	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:upgrades/armor/general/tconstruct_springy.json:/text/0/text"	"sha256:ef69a4bf2853c405e447d954aca06da6989b84a6d73aff42ce436e088ecfa42f"	"CHANGE"	"Отбрасывая врагов, вы получаете достаточно времени, чтобы развернуться, убежать или подлечиться."	"Деепричастный оборот без естественной связи и пропущена точка."
"mantle-book:tconstruct:puny_smelting:upgrades/general/tconstruct_emerald.json:/text/0/text"	"sha256:74eae3c9e42d2f1bbb16a85b70613e8e16c83b17a04d885e9c1d0850f201b993"	"CHANGE"	"Лучший друг крестьянина. Только не давайте крестьянам увидеть, как вы применяете это улучшение: это не ваши талисманы удачи."	"Смешано обращение на «ты» и «вы»."
"mantle-book:tconstruct:puny_smelting:upgrades/harvest/tconstruct_hydraulic.json:/text/0/text"	"sha256:2da90422464c9505bcc9c34be091b9ba8d4a6c84e7bbe423b85f90e022448172"	"CHANGE"	"Используя магию насосов и жидкостей, вы можете с лёгкостью перемещать предметы. Я имею в виду, что это возможно, но не в вашем случае."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:upgrades/melee.json:/text/0/text"	"sha256:7fa30eb16c386104b2459d26b1bcbff7d576ca8572679a792c48d21aa4933f69"	"CHANGE"	"Возможно, с помощью этих улучшений вы сможете выковать самое сильное оружие из всех существующих. Конечно, какое оружие вы выберете, зависит только от вас."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:puny_smelting:upgrades/melee.json:/text/1/text"	"sha256:62c4863916bceff9cd57d797b2c9a7552dbf567f0de878a74db7b4dbe77b4fde"	"CHANGE"	"Эти улучшения могут расширить возможности вашего оружия, увеличить урон, наносимый вами в целом, конкретным мобам или и тем, и другим. Выбор за вами."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:tinkers_gadgetry:exploration/grass_seeds.json:/text/0/text"	"sha256:49bff5d976a080b96315a4b573e6c85044e98d6905014d938fb3bacbdb76c4db"	"CHANGE"	"Иногда, исследуя подземелья или крепости в Незере, я находил в сундуках слизневые семена. Я не знаю их происхождения, но если посадить их на обычный или слизневый дёрн, получится слизневый дёрн такого же качества, как если бы вы пересадили его с одного из островов. Я также видел в этих сундуках слизневые саженцы, так что, возможно, вы можете получить всю флору островов, ни разу не побывав на одном из них."	"Исходная рекомендация отмечена для полного редакторского перечтения: замена регистра сама по себе не закрывает языковую проверку."
"mantle-book:tconstruct:tinkers_gadgetry:gadgets/piggybackpack.json:/text/0/text"	"sha256:bfb21f54bed5a3043ff5ddb6f4598ada981af81884a5212b20fbcbbefb8a399a"	"CHANGE"	"Свино-рюкзак позволяет поднять моба и посадить его себе на спину — удобно, когда свинья устала в долгом пути. В такие рюкзаки также удобно бросать монстров в плавильню. Мне удавалось носить до трёх свино-рюкзаков сразу, хотя ходить с таким количеством седоков непросто."	"Неверное управление «используя ... на мобе» и неестественная фраза."
"mantle-book:tconstruct:mighty_smelting:abilities/armor/boots/tconstruct_pathing.json:/effects/0"	"sha256:32ab9174035796acc4c32602a5838a3fcf57da983a708d3b729334b9260929c6"	"CHANGE"	"Создаёт дорожки, пока вы идёте."	"Ошибочный PASS: неестественная формулировка и пропущено ё."
"ie-manual:immersiveengineering:lightning_rod.txt:line:4"	"sha256:8815ad4cf0316879c54495fc73102e95428afdf090db700cffa59b091f20292c"	"CHANGE"	"При ударе по стальному столбу огромное количество энергии накапливается в основании Молниеотвода, а затем медленно распределяется по боковым энергетическим выходам."	"Ошибочный PASS: повтор «по ... по» ухудшает естественность."
