id	source_hash	old_translation	new_translation	reason
item:block.botania.chiseled_livingrock_bricks	sha256:2bd7a589aaa6fe5d8a9954ad016524d17939d0f2aa747df29cb4c21d14426bb3	Резной кирпич из жизнекамня	Резные кирпичи из жизнекамня	preserve plural Bricks
item:block.botania.cocoon	sha256:91e0eaf5e7f09e1bdb1fb7772a65d6cabdc5a0722d0e10ad162153ba5f075446	Кокон жизни	Кокон прихоти	translate Caprice rather than unrelated life
item:block.botania.cracked_livingrock_bricks	sha256:826a25c47f7e27d67713181b52d96b96029f76dd19f4d4b31095439b18c8c4b8	Потрескавшийся кирпич из жизнекамня	Потрескавшиеся кирпичи из жизнекамня	preserve plural Bricks
item:block.botania.floating_spectrolus	sha256:44c9ed2d6fe40b249ce89f1c2508b21656d179f7d8fa42507cc679750d6b2a48	Парящий Cпектролис	Парящий Спектролис	replace Latin C lookalike with Cyrillic С
item:block.botania.livingrock_bricks	sha256:e6e8902ee97980d622d91bccdd80d1d8eb352bab4a1509977e3bf7d9f4c364cc	Кирпич из жизнекамня	Кирпичи из жизнекамня	preserve plural Bricks
item:block.botania.mossy_livingrock_bricks	sha256:307dd824063338cf1b96faca453dd5e1544892367c96f1eaea98f6ea38bd9f8c	Замшелый кирпич из жизнекамня	Замшелые кирпичи из жизнекамня	preserve plural Bricks
item:block.immersiveengineering.sawdust	sha256:9ef3c525309a30d732c44c53b88edc46ad341712e945445c9c7150e6158ab4e8	Спасательная подушка	Покрытие из опилок	translate Sawdust Flooring rather than unrelated safety cushion
item:item.botania.elementium_nugget	sha256:b1115810d1c2969283d83ea620f35344e78bb2f82bb17d5dae02a6ec779c06f9	Самородок элементиума	Самородок элементия	match the Elementium family term
item:item.botania.ender_air_bottle	sha256:8f96adbcb038831fc107167947eef142f840b69c08de0b9bc56aafca635c1171	Пузырёк с воздухом Эндера	Пузырёк лиминального воздуха	translate Liminal rather than Ender
item:item.botania.gravity_rod	sha256:82540952066fedabf08df0c3b5f016055c361ccb5c3d24e36ca00a36d2f30f8c	Жезл Чёрной Мессы	Жезл затенённой месы	translate Shaded Mesa; correct Mesa/Mass confusion
item:item.botania.king_key	sha256:870bbeb44a69501a5ceccf99b59daebd130057a684602d6156645e6618f70089	Ключ от Королевского арсенала	Ключ королевского закона	translate King's Law rather than unrelated arsenal
item:item.botania.mana_powder	sha256:8b097e55021affad33332decd4ea7bc3d907f60696b79d17b6757099a2391ca2	Мана порошок	Порошок маны	use natural Russian noun order
item:item.botania.quartz_dark	sha256:e425b3949bea973515c0fcc208865e9ace86a922d0a75504f4af6f2dcc3a6b5d	Дымной кварц	Дымчатый кварц	correct adjective form for Smokey Quartz
item:item.botania.terrasteel_nugget	sha256:a1220d27290d1f6384b1ad3a13410f4e0a31d51ba64f5eceb1fe24b5f312772f	Cамородок террастали	Самородок террастали	replace Latin C lookalike with Cyrillic С
item:item.botania.vial	sha256:78c675a40ff6150a0c214ac5eab445aaf733b4a2224a54bee2188168751e8501	Пузырёк из манастали	Пузырёк из манастекла	match Managlass material terminology
item:item.enderio.refined_storage_conduit	sha256:6f46f1eee463808a8e8ce127f1177531a843142f587084c9716fe931da5f75bd	Refined Storage Conduit	Труба Refined Storage	translate Conduit while retaining product name
item:item.farmersdelight.flint_knife	sha256:edcad143358cbfc7b82ded8844e2c264afdea85281f43da15e79ce7e33e1aa41	Кремневый нож	Деревянный нож	follow supplied English source Wooden Knife
