"id"	"source_hash"	"verdict"	"reviewer"	"method"
"block:block.actuallyadditions.black_quartz_pillar_slab"	"sha256:d063c1611adfab62b7ea79c9d325f98cadb84fb652bd5a488a43d9f8eb83ed7a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_pillar_stair"	"sha256:1e60066c038516b4c0f58636335452ecc5f4836e23eb7b5970d82c6881f9760a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_pillar_wall"	"sha256:dd4107b49b46b4dfa1afa6157bea2227925a4a76f6a0f0a6da0705ccd9939171"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_slab"	"sha256:9ec37e05d2d01f899fb3fa8daf9a99027ccdef8a67203d7b0923fb94c213c887"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_stair"	"sha256:60df2131a2e32f2461ac02a95ef12dc708f06b2ae47861cbb6ca2d676ec80df2"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.black_quartz_wall"	"sha256:cd56078e0df6293e66d667cc2e7d1a3883dbc50de46557405e31f54d9b3bea91"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.breaker"	"sha256:44fdb8735d1f60874687df3819dc1f57b0efca435fab18eb66b071e38e7c99e3"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.canola"	"sha256:0e55868b876e2995332cf621720b0ef542b40ce3f87d1a3673b06a5339c7f0fe"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.canola_oil"	"sha256:10e24459e228e88a8a60f6e88a7cb8715e1b84d507cc379e10f86137b18e2926"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.canola_press"	"sha256:dc5534408864296bb52d470f660a4cbe4a62fb93fa9cd01ba04702221b5a3f61"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.chiseled_black_quartz_block"	"sha256:62f85196149f0c52a1bfe4c021fbc5b87e852658997dcdec17b6b5204b66ee1a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.chiseled_black_quartz_slab"	"sha256:695eaf9ad498be4f29eca4ad13fc8454947c0ce604437533010b1e0ffd755aa3"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.chiseled_black_quartz_stair"	"sha256:f1849c67ad4b75437cbe8197bb28678853613fc9aec98d45aa7ba664b44763e3"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.chiseled_black_quartz_wall"	"sha256:059b1becd8d38ac085bc75a972880be4edc9606097e15dfca6966518fd0b851a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.coal_generator"	"sha256:1229ae8437819bc9b40b6d730c7ec36f6e741dae369eb7f1fe567805fb1aeaa2"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.coffee"	"sha256:6ef3c11d401683327797465a83476fce27121141ec5d1a4084aae2d76885ff8d"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.coffee_machine"	"sha256:a7c9ac52a64b790c620e98caa9c13932bd37b2c279b2463df647423d78a3ad5e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.crusher"	"sha256:3ae914d990c70171b46a3d1ad70755d54344b2ddfc9c04cca14bb26f708f76fc"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.crusher_double"	"sha256:4e9875f6897a00105834bfae17ec428249e58c6634e93fd2575ba18258432cd8"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.crystallized_oil"	"sha256:9f4a2cf37c79fa67f62c98117cd1f405d3fa8e29fa76ba21a20fd9d1467279c9"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.diamatine_crystal_block"	"sha256:4943738ad1a756c5f880cf911d30b2c49b8da509f8e272c298452a456265805c"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.diamatine_crystal_cluster"	"sha256:2b3b19330700bb5b1c9d288cce284c545a6de5ad6f8da4e72e9a60012e6ca604"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.display_stand"	"sha256:2cbcf3fdbef40458a8c46937d9f4f35dff7bdb7e63803bd7d966ca410dc7c0f2"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.dropper"	"sha256:1fbf03bc573a3022eba01c592fe5db0173b25ff8bd51702a894e63b5839e58f4"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.emeradic_crystal_block"	"sha256:13fca80be6a38e29a46fbb3cc3cc4692afea2dd0ef88cfe118d577d99563951a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.emeradic_crystal_cluster"	"sha256:ca247c53ac53e147af380f2da2829eb635f893334d11ad6c5d081c92b94d1057"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_diamatine_crystal_block"	"sha256:f341a5d297c39260204fed1c8abf15d4640ebfe0ad20c41a434e0d75ace05327"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_emeradic_crystal_block"	"sha256:d90dac9a8b5635483200290dd7c3757751159f27050ff60eb8bc080e6f8bbdf9"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_enori_crystal_block"	"sha256:cdbac93d73ca28572a5323d2bd0ff832e9567f1d7646065395d94ea874c9aa8b"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_oil"	"sha256:f90b7caa5afb3956bbbf127e47b5859b0f76b848d9ca3cb26dd5beaad1b45679"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_palis_crystal_block"	"sha256:c6abd7b0231c232a5bee07fe7cf2b38b712c0bafeb9f0dace04a3ef6fc880990"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_restonia_crystal_block"	"sha256:d4e8b2506ce6591c52b2008c88a75b186ed3af8d265ca48f64a0866dfe5040c6"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowered_void_crystal_block"	"sha256:7bc102a32954e0c02e39dbab7360f35a97516b4dd1c705a0f2e836b5fa9ab0e6"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.empowerer"	"sha256:7a933c5548b8e3914213945a6121166ee957d38fd4afc71ee44709ff559db304"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ender_casing"	"sha256:fd35196685a17d2177ddb86799c8bfba2b9bd3d079de3029683eb6f29279e6d2"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.energizer"	"sha256:fa052ebab05f3550a8ed77c931847f1d9cbe3c99a91ed0e6d484c0c92ed8ab69"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.enervator"	"sha256:c6022388fea841d4d9b00dd49e4b2d65508b0fe56c2d186f299399952a631c6e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.enori_crystal_block"	"sha256:522dde91cec7b10e2a3f6004ee1ff7b65b458a6a8285af5aeb00b8430175557a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.enori_crystal_cluster"	"sha256:68a29f1a4185fdb11f1eeda132f7efaa2a54a021d8c6a6f6d2d7bbaff84a6066"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_green_block"	"sha256:3d7f5a3b563acac764da1bdd012399c20e4d476651144055e5cf268bd46ccc17"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_green_slab"	"sha256:cecf80a26c6e09823dad9933728c11c33aad957f9c40d2051d3634e902477821"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_green_stairs"	"sha256:d20cd69bed71ddc00b07314de0987918ff1d3253e27c8168072819360ed981cd"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_green_wall"	"sha256:31a30c0739f4e91885e96f63d4fcb431aa22d185e98809ed32ef5b09ab6a1223"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_white_block"	"sha256:7fcac5b8cb737f1cd9366db3fef8d36c3c4efc45c8388cd32bfe91b98759c0a5"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_white_slab"	"sha256:1078c2f9795fb1425b2a221c12561c7311ab91e1fbd7e48cdd25736fab5177e9"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_white_stairs"	"sha256:2d13b0c2ca60648b622981e286f7c4d9ad0f3398c2476c5e88d7c022f05ff449"	"CHANGE"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ethetic_white_wall"	"sha256:c7b73b86b3cd577a2396156ac44f4082ac1faf98a926133285ca8298454a5268"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.farmer"	"sha256:dc01da548cb3a5f7fd6792e758f25ade4e9ff2b1e1f3d12e3a282a57cc69bb9a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.feeder"	"sha256:6dd609d623c49b6cb2a3888af95cd505eb4d179eda6f9e29adc1b07b70348140"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.fermenting_barrel"	"sha256:5db5ee0da40cb2c2ebd8cbc04d6c755e58bc16e74a7cfdc151f28c4ccc4edebd"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.firework_box"	"sha256:b0f5b4897e242864e554a2fe944a9de5201c423fdc0694ce11ba147bfe3afd15"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.flax"	"sha256:bc3508d44386331fc214b499e11b4fc791a85935d1eac3f18dbed09a4685d320"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.fluid_collector"	"sha256:642f10a9b78507978385714844dd41fa2dad4fac7f8bfc82ee52461853d34bd3"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.fluid_placer"	"sha256:caa4af78483af307baa2ec74060f9945fd49ee3f2358883c275b7dd78ac746fb"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.greenhouse_glass"	"sha256:c24c36cc595e834855d42d6a6ceca94fb7891a19099d5581fbbe08c0383f8b1e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.heat_collector"	"sha256:7ac87b27409e878aa022132f6b89d842edf2feb18ed45060ade421b58cee872a"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.hopping_item_interface"	"sha256:00de9a299fd042ff617caa30389ad8594bf338b2cab9a10a712aa780b574d0d0"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.iron_casing"	"sha256:e8aacb6a31b4dc2398119510b915b52d38b22d5dfdfbf2e7d063ef0012986546"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.item_interface"	"sha256:bcff9b36750d871af70ab0f5aa288192e2e6be2e77a428a0f4db0c8a3f12478e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_black"	"sha256:9da415ce5ce2f1f259e1dd87cfc28d70ccd3489c29b34a698e4ba2dfdb627f60"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_blue"	"sha256:e2105d7e78df339c49a491f77e1affd1e86e645a48f046677466593a86275a98"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_brown"	"sha256:53e3ff80ad34dca511fb9bf003bacabc4ef2be366e741b489fa927ede9c59fac"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_controller"	"sha256:9d6acd5af44c2dbe4941e4c87fec739ba74d908deb484084b316bc4693ccf7f6"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_cyan"	"sha256:b1e2b47ecb024a7c0266b376bf3c34f94e61ff37728902806ce6369778317d48"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_gray"	"sha256:4837d1f7cf21fa4e13223165502c35c24bc98b500aaf8b8c517f822be8f3950e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_green"	"sha256:742fb335a48574b3c1288cf766f80278ec77b667d240578d8c3985af1456341f"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_light_blue"	"sha256:bc8c0e589597882685766a324263286f71a826d7309c1df807b1e90ba7de4b4e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_light_gray"	"sha256:8b5a9c7191f67c84efc16c506e694ad5bc12e68a07f71257719c0d1c958f9583"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_lime"	"sha256:ac07233a06b1d25b778c4623d77a8e5df44065fdb2eaef5784c878579c3f0dc3"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_magenta"	"sha256:621f87486bcabd5916ff99f84d32f2b27f76f7288f51634df5d78796c69a0cf1"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_orange"	"sha256:7bd3d77a00ef392a11f02c78a5f63cfee11471ec5e2956f80da887caa548e946"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_pink"	"sha256:c14285309bab5f383152424ff8f02a05eaa087e5563fe9ead0a0e176d8a25770"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_purple"	"sha256:0eea96a0ad3607f6345d44521a0213be5053fd423cf3670cf7c77ae7713c28ee"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_red"	"sha256:3cdbfe9374b394343fc79ae725ff73bb8ce65834a7a2a92f8b3a96ae5c89a41e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_white"	"sha256:cc56ed20b735e03344ea2361e4c361411c216738bf294047e238a6a6179cb104"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lamp_yellow"	"sha256:65c6c89a7d65d31e846afc8379fdb0e09d8363b623d0076bf1425bb4914052c1"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay"	"sha256:c4f7c3d29ba982a554fa99b8c1efe62588bb1ad999be72faf060104e78f425cb"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay_advanced"	"sha256:161e46dfff8015a2d5eb6642ab1ce23e909b9b9eede64fe094caa309ae3473bb"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay_extreme"	"sha256:be454fe1d19f07157d4b559cf481388b959af82021c66ceef11bc74a63e1969c"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay_fluids"	"sha256:280ecf73eba3babe641ee9912639dd4cbef4807a8971036869c2df97bb6df65e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay_item"	"sha256:c97f20b500004a1c898ab9d4109e58517beaab09d43e3688141e70ba970131f0"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.laser_relay_item_advanced"	"sha256:cd3fda840aa5fa80c70e9aede4d3322e9380eee7754a3751c839b3b601e6cc96"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lava_factory_casing"	"sha256:3849104680ed1d0b3cead12433c30c50c948b2ace78c1a75fd7ed25801121361"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.lava_factory_controller"	"sha256:93ce778de8c8e568b14bd6dd0768efae0ba19c24604b7e3894d17a7ae0b108f7"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.leaf_generator"	"sha256:4ccb7e85bfc81448ad11c3a0f1103d89dc4410f85ac945c6cf20aebca435ba6c"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.long_range_breaker"	"sha256:479daf8f7adbe2707bb5f8ce58b76a8eb6334285ec4fb282a5e2655a8ee7c6b9"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.oil_generator"	"sha256:d889631a2f4c5bf9f938e4ab7469486cc782e95a95cec818797b04a2aa392a88"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.palis_crystal_block"	"sha256:b4522fd7da3496fd28a4f078d231866ab603d2f1f48ff657a96bbdfc5cb0303f"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.palis_crystal_cluster"	"sha256:625d5421956800544a3b8d8bc42900d012b66ed4101ab3b07a4eec96af635315"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_booster"	"sha256:b8e7100c7c1301803e37a1b1097f3b9ceed997423daa8fc65d53d47aafdbf668"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_breaker"	"sha256:234e85759e0e018beba7b0dfba1e250c807d5d9746359512df1c8dfb3f0318be"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_energyface"	"sha256:5a21ce0020c42f074e848168ba82b4081864182a97c8eeebe93ee7423b726ade"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_itemface"	"sha256:8455af2759d21ef075ad00aeb9e8a243d1b7c393815869e4a5cb8167662b1316"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_liquiface"	"sha256:898d4a9164c403abd93f2081df725e5136243cf7366b89bf6e9fae92d6256b08"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_placer"	"sha256:dd947489c2cce03284389ec276c65fd0769cbba995a234ab11a47f8f478b00c5"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.phantom_redstoneface"	"sha256:f36fa4c60a405313348f1a059d0cfb38ceb44beed26fae111b2f46fd2081ad9b"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.placer"	"sha256:960c43f6093a434186dc113faa5be545f29bac7e60c02eb5d03c4e69f2524c51"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.player_interface"	"sha256:5619a40c2c760b2825423010ca61976876d6e5464628af4a10729a57f5f51e85"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.powered_furnace"	"sha256:1b3ce3ba82a2e0a7f6a3548fd04a80742550536f2c68268bcfe47a0ab799192c"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.ranged_collector"	"sha256:e0d2477b14bf454d8e719ea11ba344e97613e00ba9f5a9bcf74f95eacd651a9e"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.refined_canola_oil"	"sha256:3150e58e5e6df0688ee1cd7eba43ecc696f59df9e73870f435db75676922c68d"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.restonia_crystal_block"	"sha256:7065fd965ab328f9e8f9e832b8e3eda2bd238466017fcfc3e8b0829c6e9497b6"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.restonia_crystal_cluster"	"sha256:9a4fdff6bf20a2dfc691d62f2ec7c0154410dd0131f38adbffbdbe38cba51253"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.rice"	"sha256:6cee7ca1248840ae69bfda96fe0ca16198c5dbfd29cc82ec370ac445298ea32c"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
"block:block.actuallyadditions.shock_suppressor"	"sha256:794b8bf68db53ee546236d66a149b6f2e70b7280aa4d35775964105a829b9783"	"PASS"	"/root/rescripted_registry_a_review"	"exact-reuse-from-1.19.3-7-ae2-fix"
