"id"	"source_hash"	"source"	"effective_translation"	"context"	"version"	"origin"
"block:block.botania.apothecary_mossy"	"sha256:7d4ef4f7a17741037c4048035c6ac0c2ca38979cce54d13450ee4e94dae24aa3"	"Mossy Petal Apothecary"	"Замшелый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_mountain"	"sha256:15adce79df5ccbecd5eb078405082f273570a5008ed1ee42f1b24fc7e7d0d3bb"	"Gneiss Petal Apothecary"	"Гнейсовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_plains"	"sha256:9dcea18d7531f045d38a48a535ff7927d69ed9b31c8a19be01c097d85c49d853"	"Talc Petal Apothecary"	"Тальковый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_swamp"	"sha256:0a39926f8df40c9185768cba0bd25ff85cd7f4579458562e03b2be024b72e904"	"Cataclasite Petal Apothecary"	"Катаклазитовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.apothecary_taiga"	"sha256:83863de5111e9ef7e4e50ef08f80d08e59619349eda3fa6c8a31b932356e03e1"	"Lunite Petal Apothecary"	"Лунитовый лепестковый аптекарь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.avatar"	"sha256:0ebe2f0d920539e7640b058805b75d56056b343cf01e463627a12f63ce185f37"	"Livingwood Avatar"	"Тотем из жизнедерева"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.bellethorn_chibi"	"sha256:b207ec0d64acaf257355cd0e082b2c17de5645d5f7581309e23370bd9986ebd6"	"Bellethorne Petite"	"Маленький Звоношип"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.bellows"	"sha256:3444f35c6b7d5fd135cf8b780c5b68f675746d75472447b061b9864ccec4b982"	"Manatide Bellows"	"Манамеха"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.bifrost_pane"	"sha256:31a88004ab35dd0d4a70a038bc458fae982b2dba054ebdcf25c5949d2061dfbf"	"Bifrost Pane"	"Биврёст-панель"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.black_petal_block"	"sha256:6d811eed2c86dcbb73a00905271d9401868ee689d515bde63b4e33b7f5f2af4c"	"Black Petal Block"	"Чёрный лепестковый блок"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blaze_block"	"sha256:0ca19f3e52d652729edc81af93d3737ca285a04bf8884ec3f49e449db2b482f8"	"Blaze Mesh"	"Cветильник ифрита"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blaze_quartz"	"sha256:0697bb3f1b4683d1a6608049c714e8a230a7c035e15e187021e13205eb8dc992"	"Block of Blaze Quartz"	"Блок пламенного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blaze_quartz_pillar"	"sha256:e9ee1602abb851af464a41fde053786de147be5caeae86ca6e781b591e9f9f04"	"Pillar Blaze Quartz Block"	"Колонна из пламенного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blaze_quartz_slab"	"sha256:296d3ddb557e9ac6186b683bf10f15502762bca50e4e389ef3cd5a0babf99a21"	"Blaze Quartz Slab"	"Плита из пламенного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blaze_quartz_stairs"	"sha256:a7b0ef200e1fc0c36439ff2246b1cf73f958cad4175b8095cf891cbdcccf215b"	"Blaze Quartz Stairs"	"Ступеньки из пламенного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.blue_petal_block"	"sha256:07bc459caa1e85abf1ca4e7bdee2c6aafd5266138d16940600117231933b4cf6"	"Blue Petal Block"	"Голубой лепестковый блок"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.brewery"	"sha256:34a778147d94ef06660f567fb5ba14a115157090ef83fdfd08439a00137ca257"	"Botanical Brewery"	"Ботаническая варочная стойка"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.brown_petal_block"	"sha256:87dfea8b4fce6ba1d7a8dbc548ee02e701548760126d7b9880cc7ab3c8b0f465"	"Brown Petal Block"	"Коричневый лепестковый блок"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.bubbell"	"sha256:7d1b47c24818a115d84ce5c094eb7a47b5eb6b254f807c3da4715f591cba1bb4"	"Bubbell"	"Бубл"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.bubbell_chibi"	"sha256:50d8493a463c86aa9534e8783df402ffc0877c8c5351ae637310e7b9ec47049a"	"Bubbell Petite"	"Маленький Бубл"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.cacophonium_block"	"sha256:731ecea6802ebd0d2c845c81b297504b681165e949a7de7ea2f572ff670cd2b7"	"Cacophonium Block"	"Блок Подражания"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.chiseled_blaze_quartz"	"sha256:c933805ef052d28570194bcc9f886b18043013c06869f8037dc5a61eca1ba759"	"Chiseled Blaze Quartz Block"	"Резной блок пламенного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.chiseled_livingrock_bricks"	"sha256:2bd7a589aaa6fe5d8a9954ad016524d17939d0f2aa747df29cb4c21d14426bb3"	"Chiseled Livingrock Bricks"	"Резной кирпич из жизнекамня"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.chiseled_mana_quartz"	"sha256:c853d851148e7650593f64958b338518d0e1f8096815b9f55995d37516c1e989"	"Chiseled Mana Quartz Block"	"Резной блок манакварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.chiseled_red_quartz"	"sha256:727a970437e44cd846e6baaaaa357d3729747503b52a8bdbc9512ffb1e811d77"	"Chiseled Redquartz Block"	"Резной блок красного кварца"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.clayconia"	"sha256:1e641727e0963427955077a000b60e95f6b83796a7c0f8eee4e233b00cc7d2e7"	"Clayconia"	"Глинарцисс"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.clayconia_chibi"	"sha256:fff8ca5795ebdf19a4485085c078b483f92a4126902b6ed3c017ebd6f3774fa3"	"Clayconia Petite"	"Маленький Глинарцисс"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.cocoon"	"sha256:91e0eaf5e7f09e1bdb1fb7772a65d6cabdc5a0722d0e10ad162153ba5f075446"	"Cocoon of Caprice"	"Кокон жизни"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.conjuration_catalyst"	"sha256:18fbcb4d4a3d60aa2aba671fafc67c92d819d1d3e74cd1011b5467addbfb284d"	"Conjuration Catalyst"	"Колдовской катализатор"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_block"	"sha256:01fd83ab55321513d3374f903068dc7e529a55b97a064585dd579996073dc076"	"Corporea Block"	"Телесный блок"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_brick"	"sha256:2872b9ad4acef688e91c7d7c394c62791e7c4c946f0ab176997bf66957355264"	"Corporea Brick"	"Кирпичи из телесного блока"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_brick_slab"	"sha256:aa371ba3294e5c04d11bbe36125e0d06758ea7bdfcebdfb57fa17f305a8d5a23"	"Corporea Brick Slab"	"Плита из кирпичей телесного блока"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_brick_stairs"	"sha256:63fea858d55f98c72db0a4a10ed10f8193aa2c1b81b10370a51cfa65e80d2952"	"Corporea Brick Stairs"	"Ступеньки из кирпичей телесного блока"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_brick_wall"	"sha256:6fbe75878714fd93a65b306f06e89b5818e67be0a00eaa7e382ed36878ffcc63"	"Corporea Brick Wall"	"Ограда из кирпичей телесного блока"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_crystal_cube"	"sha256:31972cf294e5441b47a0e348a35ed5ea5f0bb1e14561f43fb63ec58bc911ec9c"	"Corporea Crystal Cube"	"Кристаллический куб хранилища"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_funnel"	"sha256:54390e5693d97e752145080bd665c8559bff78014bd3b680fb42eb47bf923380"	"Corporea Funnel"	"Воронка хранилища"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_index"	"sha256:c79cde1a94e93dc7d025abbcbd77ae5c6ae72c1c61d919d8f3989cd4e9c3a67e"	"Corporea Index"	"Индекс хранилища"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_interceptor"	"sha256:9e7c651e07c23f7717fa56e1c3b02d6d03246f1dadd65f63ef0ecdc96bc2adb0"	"Corporea Interceptor"	"Перехватчик хранилища"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_retainer"	"sha256:0bf5190c205fc4479cc9f5dd78abd8969ad7fdd5efc47a4cfc6bdcc5b115147f"	"Corporea Retainer"	"Извлекатель хранилища"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_slab"	"sha256:717ea0462d4623ec307de7c9783ea4a165a450bf04881ec5ab81c88eef1d44e6"	"Corporea Slab"	"Плита из телесного блока "	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.corporea_stairs"	"sha256:8c2e9a313699e67d877ea2f4ffb9907ff215eb08f12ae09cf07f0607c50b1604"	"Corporea Stairs"	"Ступеньки из телесного блока "	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.cracked_livingrock_bricks"	"sha256:826a25c47f7e27d67713181b52d96b96029f76dd19f4d4b31095439b18c8c4b8"	"Cracked Livingrock Bricks"	"Потрескавшийся кирпич из жизнекамня"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.creative_pool"	"sha256:ddb102bcba35ca6af629e5ade1372e9371b795babd8cc2dc0d45fa59614ad87e"	"The Everlasting Guilty Pool"	"Вечно наполненный бассейн"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.cyan_petal_block"	"sha256:7fab713284dea0bc46d00688575a7e3f84c8f7f7d3e668629d2d1644e2576222"	"Cyan Petal Block"	"Бирюзовый лепестковый блок"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.daffomill"	"sha256:be9ceb4b3c04303f6b90adab94d213ca751492784efc93bf7c307edad81457ae"	"Daffomill"	"Тупомельник"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.daybloom_motif"	"sha256:0eb6d361eb9da76f99c0bfe70b271f80075789f42d8728606b3309de232aaa7e"	"Daybloom Motif"	"Мотив Днецвета"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.detector_light_relay"	"sha256:578a545c7c2931db2dcad9009719903bd979fba0a1496ec61aeda046e1a3beec"	"Detector Luminizer"	"Люминайзер-детектор"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dragonstone_block"	"sha256:e6aab4e6bce6f0b4d424a6de2a08bd602540ea5fa305d7bc47ce0c61e8970cf3"	"Block of Dragonstone"	"Блок камня дракона"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood"	"sha256:752e9e29a85c9522e1fd680e84bb1a096a7ef5c056414f8c11fdf3d73a37fde9"	"Dreamwood"	"Древесина мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_fence"	"sha256:dc2b3f7bfa224f0cd6e7512db99821c0ea3813c1d1b5ef4ebb98e24704362356"	"Dreamwood Fence"	"Забор из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_fence_gate"	"sha256:3dd3e96b94aeee6da27b8263a3e47f3a09744a740c21d59efc10788b3cac11ec"	"Dreamwood Fence Gate"	"Калитка из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_log"	"sha256:f0c03fd87e151a898eb7eb41f0dda02c96d1416883148dbb102a6840e64b9d44"	"Dreamwood Log"	"Бревно мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_planks"	"sha256:6eff5c56f184cbeabad4917dd34ca2f8709d85608c25341c2fc47124cd5589e7"	"Dreamwood Planks"	"Доски из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_planks_slab"	"sha256:0b717949c26427d9898e3e02a950e9744ea07a2195996dbe6d93f47182f872ab"	"Dreamwood Plank Slab"	"Плита из досок мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_planks_stairs"	"sha256:3288b27c49d5a82fae4c3234f3af130013dbc69484d4cd2ce42d50ba65b38bf9"	"Dreamwood Plank Stairs"	"Ступеньки из досок мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_slab"	"sha256:c3c41a0920153b4dcb49e39ceb60dc16f83b1df747324554a0e0cc0d426954aa"	"Dreamwood Slab"	"Плита из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_stairs"	"sha256:850f64f321aab787d94f7509c98f7908a72f19d71e75362fbda89591194c1c03"	"Dreamwood Stairs"	"Ступеньки из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.dreamwood_wall"	"sha256:e7cd2376550f6fdbe1c8e7b5a16cbb1fdab6326f59ad22086113ab7f8c16f736"	"Dreamwood Wall"	"Ограда из древесины мечтаний"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.drum_canopy"	"sha256:a017af25e8a65aa55f7cebb963027329cd83df410d4f3117224553b0e6a3237a"	"Drum of the Canopy"	"Барабан уничтожения листвы"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.drum_gathering"	"sha256:339c2b59b2f12f731244bad101d47b9272e542009915ebdcf1bd06a8a028748b"	"Drum of the Gathering"	"Барабан сбора"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.drum_wild"	"sha256:2a748efc1b13566261b8619aa769e4c603e6297c6fa81b36c5a4302362d3a68b"	"Drum of the Wild"	"Барабан дикой природы"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.elementium_block"	"sha256:8448de58a3525b99093cf07fa6dda55615fa9345febcf51cd0baf462295545ce"	"Block of Elementium"	"Блок элементия"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.enchanter"	"sha256:953375ac1eec4ad2ef5c4eaab852c58f4ed6e6532f56ff368046c04d1c613c24"	"Mana Enchanter"	"Маночарователь"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.ender_eye_block"	"sha256:a03478a46aaae2461f75b6713819b6a466e2ac3b981767c2274b8b53d1fb8862"	"Ender Overseer"	"Наблюдатель"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.fallen_kanade"	"sha256:9ffb017866806173cd9a3c04162141fc292cedf37ccac694d7cff651d42d0492"	"Fallen Kanade"	"Павший Канадэ"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_agricarnation"	"sha256:e53e2ea8df20c15aa93be17af313633d6e60b31875fa04398a74a2057b218ebe"	"Floating Agricarnation"	"Парящая Агрогвоздика"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_agricarnation_chibi"	"sha256:f28d1b99573c8349d9056e7fc6b72866554dc2b6ec739b888365b9ff763dc94e"	"Floating Agricarnation Petite"	"Парящая Маленькая Агрогвоздика"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_bellethorn"	"sha256:385feccf6fbf92852765f9583bba53b7c7354a26ad9d20d78c2adf0383748cd8"	"Floating Bellethorne"	"Парящий Звоношип"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_bellethorn_chibi"	"sha256:0ef57acb36f2db05cd16bfcc8ffe96625b3caf52e5b003701341a3348541b9af"	"Floating Bellethorne Petite"	"Парящий Маленький Звоношип"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_bergamute"	"sha256:b0c19ed5206cd57ab933a7fca8b2041cb43189de7d7047e9461a97c944a43359"	"Floating Bergamute"	"Парящий Бергамут"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_bubbell"	"sha256:95e2e9caac7a4a7044c1944e5a732b4bb715f618c5f8f5535b1e3bea07d3a5b3"	"Floating Bubbell"	"Парящий Бубл"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_bubbell_chibi"	"sha256:9d1a9bce288515df7f9f0412b8692bdfc8059fd4e9eaeb283a41f1a4821cdf4c"	"Floating Bubbell Petite"	"Парящий Маленький Бубл"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_clayconia"	"sha256:03f4c155369e416870c9d17dd56eab8ea93fee3fe59bbeb4ec32eded94cc819c"	"Floating Clayconia"	"Парящий Глинарцисс"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_clayconia_chibi"	"sha256:5224974f6578231b2baad9555c9ea13e97c848d0f79d1f2a4cb644689325ac05"	"Floating Clayconia Petite"	"Парящий Маленький Глинарцисс"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_daffomill"	"sha256:1ad6dd3915357022928727209cee9ff6ab2d116c4116607eb2b0b68407d02e53"	"Floating Daffomill"	"Парящий Тупомельник"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_dandelifeon"	"sha256:8c6a65c3fb92eb24f3bc71e48fa74db445d479c6293bc0df7b45b2a380d23976"	"Floating Dandelifeon"	"Парящий Жизнеодуванчик"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
"block:block.botania.floating_dreadthorn"	"sha256:99f4b6b58692d1e2a1510dc43eb375e811bf82bef601c3c82b3d9affb9e5f2d2"	"Floating Dreadthorne"	"Парящий Страшношип"	"{""kind"": ""block_name"", ""location"": {}, ""source_id"": ""blocks"", ""state"": ""visible""}"	"1.19.3-original"	"native_ru"
