item_id	translation_key	source
enderio:clear_glass_dnm_purple	item.enderio.clear_glass_dnm_purple	Purple Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_red	item.enderio.clear_glass_dnm_red	Red Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_white	item.enderio.clear_glass_dnm_white	White Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnm_yellow	item.enderio.clear_glass_dnm_yellow	Yellow Dark Clear Glass (Monsters Blocked)
enderio:clear_glass_dnp	item.enderio.clear_glass_dnp	Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_black	item.enderio.clear_glass_dnp_black	Black Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_blue	item.enderio.clear_glass_dnp_blue	Blue Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_brown	item.enderio.clear_glass_dnp_brown	Brown Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_cyan	item.enderio.clear_glass_dnp_cyan	Cyan Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_gray	item.enderio.clear_glass_dnp_gray	Gray Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_green	item.enderio.clear_glass_dnp_green	Green Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_light_blue	item.enderio.clear_glass_dnp_light_blue	Light Blue Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_light_gray	item.enderio.clear_glass_dnp_light_gray	Light Gray Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_lime	item.enderio.clear_glass_dnp_lime	Lime Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_magenta	item.enderio.clear_glass_dnp_magenta	Magenta Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_orange	item.enderio.clear_glass_dnp_orange	Orange Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_pink	item.enderio.clear_glass_dnp_pink	Pink Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_purple	item.enderio.clear_glass_dnp_purple	Purple Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_red	item.enderio.clear_glass_dnp_red	Red Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_white	item.enderio.clear_glass_dnp_white	White Dark Clear Glass (Players Blocked)
enderio:clear_glass_dnp_yellow	item.enderio.clear_glass_dnp_yellow	Yellow Dark Clear Glass (Players Blocked)
enderio:clear_glass_dp	item.enderio.clear_glass_dp	Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_black	item.enderio.clear_glass_dp_black	Black Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_blue	item.enderio.clear_glass_dp_blue	Blue Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_brown	item.enderio.clear_glass_dp_brown	Brown Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_cyan	item.enderio.clear_glass_dp_cyan	Cyan Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_gray	item.enderio.clear_glass_dp_gray	Gray Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_green	item.enderio.clear_glass_dp_green	Green Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_light_blue	item.enderio.clear_glass_dp_light_blue	Light Blue Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_light_gray	item.enderio.clear_glass_dp_light_gray	Light Gray Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_lime	item.enderio.clear_glass_dp_lime	Lime Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_magenta	item.enderio.clear_glass_dp_magenta	Magenta Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_orange	item.enderio.clear_glass_dp_orange	Orange Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_pink	item.enderio.clear_glass_dp_pink	Pink Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_purple	item.enderio.clear_glass_dp_purple	Purple Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_red	item.enderio.clear_glass_dp_red	Red Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_white	item.enderio.clear_glass_dp_white	White Dark Clear Glass (Players Pass)
enderio:clear_glass_dp_yellow	item.enderio.clear_glass_dp_yellow	Yellow Dark Clear Glass (Players Pass)
enderio:clear_glass_ea	item.enderio.clear_glass_ea	Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_black	item.enderio.clear_glass_ea_black	Black Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_blue	item.enderio.clear_glass_ea_blue	Blue Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_brown	item.enderio.clear_glass_ea_brown	Brown Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_cyan	item.enderio.clear_glass_ea_cyan	Cyan Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_gray	item.enderio.clear_glass_ea_gray	Gray Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_green	item.enderio.clear_glass_ea_green	Green Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_light_blue	item.enderio.clear_glass_ea_light_blue	Light Blue Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_light_gray	item.enderio.clear_glass_ea_light_gray	Light Gray Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_lime	item.enderio.clear_glass_ea_lime	Lime Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_magenta	item.enderio.clear_glass_ea_magenta	Magenta Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_orange	item.enderio.clear_glass_ea_orange	Orange Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_pink	item.enderio.clear_glass_ea_pink	Pink Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_purple	item.enderio.clear_glass_ea_purple	Purple Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_red	item.enderio.clear_glass_ea_red	Red Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_white	item.enderio.clear_glass_ea_white	White Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_ea_yellow	item.enderio.clear_glass_ea_yellow	Yellow Enlightened Clear Glass (Animals Pass)
enderio:clear_glass_em	item.enderio.clear_glass_em	Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_black	item.enderio.clear_glass_em_black	Black Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_blue	item.enderio.clear_glass_em_blue	Blue Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_brown	item.enderio.clear_glass_em_brown	Brown Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_cyan	item.enderio.clear_glass_em_cyan	Cyan Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_gray	item.enderio.clear_glass_em_gray	Gray Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_green	item.enderio.clear_glass_em_green	Green Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_light_blue	item.enderio.clear_glass_em_light_blue	Light Blue Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_light_gray	item.enderio.clear_glass_em_light_gray	Light Gray Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_lime	item.enderio.clear_glass_em_lime	Lime Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_magenta	item.enderio.clear_glass_em_magenta	Magenta Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_orange	item.enderio.clear_glass_em_orange	Orange Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_pink	item.enderio.clear_glass_em_pink	Pink Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_purple	item.enderio.clear_glass_em_purple	Purple Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_red	item.enderio.clear_glass_em_red	Red Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_white	item.enderio.clear_glass_em_white	White Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_em_yellow	item.enderio.clear_glass_em_yellow	Yellow Enlightened Clear Glass (Monsters Pass)
enderio:clear_glass_ena	item.enderio.clear_glass_ena	Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_black	item.enderio.clear_glass_ena_black	Black Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_blue	item.enderio.clear_glass_ena_blue	Blue Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_brown	item.enderio.clear_glass_ena_brown	Brown Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_cyan	item.enderio.clear_glass_ena_cyan	Cyan Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_gray	item.enderio.clear_glass_ena_gray	Gray Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_green	item.enderio.clear_glass_ena_green	Green Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_light_blue	item.enderio.clear_glass_ena_light_blue	Light Blue Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_light_gray	item.enderio.clear_glass_ena_light_gray	Light Gray Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_lime	item.enderio.clear_glass_ena_lime	Lime Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_magenta	item.enderio.clear_glass_ena_magenta	Magenta Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_orange	item.enderio.clear_glass_ena_orange	Orange Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_pink	item.enderio.clear_glass_ena_pink	Pink Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_purple	item.enderio.clear_glass_ena_purple	Purple Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_red	item.enderio.clear_glass_ena_red	Red Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_white	item.enderio.clear_glass_ena_white	White Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_ena_yellow	item.enderio.clear_glass_ena_yellow	Yellow Enlightened Clear Glass (Animals Blocked)
enderio:clear_glass_enm	item.enderio.clear_glass_enm	Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_black	item.enderio.clear_glass_enm_black	Black Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_blue	item.enderio.clear_glass_enm_blue	Blue Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_brown	item.enderio.clear_glass_enm_brown	Brown Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_cyan	item.enderio.clear_glass_enm_cyan	Cyan Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_gray	item.enderio.clear_glass_enm_gray	Gray Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_green	item.enderio.clear_glass_enm_green	Green Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_light_blue	item.enderio.clear_glass_enm_light_blue	Light Blue Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_light_gray	item.enderio.clear_glass_enm_light_gray	Light Gray Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_lime	item.enderio.clear_glass_enm_lime	Lime Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_magenta	item.enderio.clear_glass_enm_magenta	Magenta Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_orange	item.enderio.clear_glass_enm_orange	Orange Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_pink	item.enderio.clear_glass_enm_pink	Pink Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_purple	item.enderio.clear_glass_enm_purple	Purple Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_red	item.enderio.clear_glass_enm_red	Red Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_white	item.enderio.clear_glass_enm_white	White Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enm_yellow	item.enderio.clear_glass_enm_yellow	Yellow Enlightened Clear Glass (Monsters Blocked)
enderio:clear_glass_enp	item.enderio.clear_glass_enp	Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_black	item.enderio.clear_glass_enp_black	Black Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_blue	item.enderio.clear_glass_enp_blue	Blue Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_brown	item.enderio.clear_glass_enp_brown	Brown Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_cyan	item.enderio.clear_glass_enp_cyan	Cyan Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_gray	item.enderio.clear_glass_enp_gray	Gray Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_green	item.enderio.clear_glass_enp_green	Green Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_light_blue	item.enderio.clear_glass_enp_light_blue	Light Blue Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_light_gray	item.enderio.clear_glass_enp_light_gray	Light Gray Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_lime	item.enderio.clear_glass_enp_lime	Lime Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_magenta	item.enderio.clear_glass_enp_magenta	Magenta Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_orange	item.enderio.clear_glass_enp_orange	Orange Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_pink	item.enderio.clear_glass_enp_pink	Pink Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_purple	item.enderio.clear_glass_enp_purple	Purple Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_red	item.enderio.clear_glass_enp_red	Red Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_white	item.enderio.clear_glass_enp_white	White Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_enp_yellow	item.enderio.clear_glass_enp_yellow	Yellow Enlightened Clear Glass (Players Blocked)
enderio:clear_glass_ep	item.enderio.clear_glass_ep	Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_black	item.enderio.clear_glass_ep_black	Black Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_blue	item.enderio.clear_glass_ep_blue	Blue Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_brown	item.enderio.clear_glass_ep_brown	Brown Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_cyan	item.enderio.clear_glass_ep_cyan	Cyan Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_gray	item.enderio.clear_glass_ep_gray	Gray Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_green	item.enderio.clear_glass_ep_green	Green Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_light_blue	item.enderio.clear_glass_ep_light_blue	Light Blue Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_light_gray	item.enderio.clear_glass_ep_light_gray	Light Gray Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_lime	item.enderio.clear_glass_ep_lime	Lime Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_magenta	item.enderio.clear_glass_ep_magenta	Magenta Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_orange	item.enderio.clear_glass_ep_orange	Orange Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_pink	item.enderio.clear_glass_ep_pink	Pink Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_purple	item.enderio.clear_glass_ep_purple	Purple Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_red	item.enderio.clear_glass_ep_red	Red Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_white	item.enderio.clear_glass_ep_white	White Enlightened Clear Glass (Players Pass)
enderio:clear_glass_ep_yellow	item.enderio.clear_glass_ep_yellow	Yellow Enlightened Clear Glass (Players Pass)
enderio:clear_glass_m	item.enderio.clear_glass_m	Clear Glass (Monsters Pass)
enderio:clear_glass_m_black	item.enderio.clear_glass_m_black	Black Clear Glass (Monsters Pass)
enderio:clear_glass_m_blue	item.enderio.clear_glass_m_blue	Blue Clear Glass (Monsters Pass)
enderio:clear_glass_m_brown	item.enderio.clear_glass_m_brown	Brown Clear Glass (Monsters Pass)
enderio:clear_glass_m_cyan	item.enderio.clear_glass_m_cyan	Cyan Clear Glass (Monsters Pass)
enderio:clear_glass_m_gray	item.enderio.clear_glass_m_gray	Gray Clear Glass (Monsters Pass)
enderio:clear_glass_m_green	item.enderio.clear_glass_m_green	Green Clear Glass (Monsters Pass)
enderio:clear_glass_m_light_blue	item.enderio.clear_glass_m_light_blue	Light Blue Clear Glass (Monsters Pass)
enderio:clear_glass_m_light_gray	item.enderio.clear_glass_m_light_gray	Light Gray Clear Glass (Monsters Pass)
enderio:clear_glass_m_lime	item.enderio.clear_glass_m_lime	Lime Clear Glass (Monsters Pass)
enderio:clear_glass_m_magenta	item.enderio.clear_glass_m_magenta	Magenta Clear Glass (Monsters Pass)
enderio:clear_glass_m_orange	item.enderio.clear_glass_m_orange	Orange Clear Glass (Monsters Pass)
enderio:clear_glass_m_pink	item.enderio.clear_glass_m_pink	Pink Clear Glass (Monsters Pass)
enderio:clear_glass_m_purple	item.enderio.clear_glass_m_purple	Purple Clear Glass (Monsters Pass)
enderio:clear_glass_m_red	item.enderio.clear_glass_m_red	Red Clear Glass (Monsters Pass)
enderio:clear_glass_m_white	item.enderio.clear_glass_m_white	White Clear Glass (Monsters Pass)
enderio:clear_glass_m_yellow	item.enderio.clear_glass_m_yellow	Yellow Clear Glass (Monsters Pass)
enderio:clear_glass_na	item.enderio.clear_glass_na	Clear Glass (Animals Blocked)
enderio:clear_glass_na_black	item.enderio.clear_glass_na_black	Black Clear Glass (Animals Blocked)
enderio:clear_glass_na_blue	item.enderio.clear_glass_na_blue	Blue Clear Glass (Animals Blocked)
enderio:clear_glass_na_brown	item.enderio.clear_glass_na_brown	Brown Clear Glass (Animals Blocked)
enderio:clear_glass_na_cyan	item.enderio.clear_glass_na_cyan	Cyan Clear Glass (Animals Blocked)
enderio:clear_glass_na_gray	item.enderio.clear_glass_na_gray	Gray Clear Glass (Animals Blocked)
enderio:clear_glass_na_green	item.enderio.clear_glass_na_green	Green Clear Glass (Animals Blocked)
enderio:clear_glass_na_light_blue	item.enderio.clear_glass_na_light_blue	Light Blue Clear Glass (Animals Blocked)
enderio:clear_glass_na_light_gray	item.enderio.clear_glass_na_light_gray	Light Gray Clear Glass (Animals Blocked)
enderio:clear_glass_na_lime	item.enderio.clear_glass_na_lime	Lime Clear Glass (Animals Blocked)
enderio:clear_glass_na_magenta	item.enderio.clear_glass_na_magenta	Magenta Clear Glass (Animals Blocked)
