"id"	"source_hash"	"source"	"verdict"	"recommendation"
"patchouli-lang:botania:botania.page.elvenLenses1"	"sha256:f5085de56f0f93cae081a000e2b0f176cf0267f39fbfc89e94f196d5efeae332"	"First off, the $(item)Paintslinger Lens$(0). This lens needs to be dyed one of the 16 colors of the spectrum to function. When a burst that's passed through it hits a colorable block ($(item)Wool, Stained Clay$(0) or $(item)Glass$(0)...), it'll turn that block (and any connected blocks of the same type and color) into the color of the $(thing)Mana Burst$(0). It seems to work on $(thing)Sheep$(0) too."	"CHANGE"	"Первая линза — $(item)линза окраски$(0). Для того чтобы она заработала, её нужно покрасить в один из 16 цветов. Когда $(thing)сгусток маны$(0) с её эффектом попадёт в блок, который можно покрасить ($(item)шерсть, терракота/керамика, стекло$(0)…), сгусток покрасит его и рядом стоящие блоки того же цвета в цвет самого $(thing)сгустка маны$(0). Кажется, это работает и с $(thing)овцами$(0)."
"patchouli-lang:botania:botania.page.spellCloth0"	"sha256:504691e2f53028e094ecd08b7d17c8af708cbbef99612da2270f66fed7826aee"	"$(l:tools/manaweave)$(item)Manaweave Cloth$(0)$(/l), when combined with a $(l:mana/pool)$(item)Mana Pearl$(0)$(/l)'s displacive properties, can become a type of cloth that dispels all $(thing)Enchantments$(0) or $(thing)Curses$(0) it touches.$(p)Combining the $(item)Spellbinding Cloth$(0) with any enchanted item in a crafting table will remove all enchantments, including curses, from that item (at the cost of some of the cloth's durability)."	"CHANGE"	"$(l:tools/manaweave)$(item)Манаткань$(0)$(/l) в сочетании с перемещающими свойствами $(l:mana/pool)$(item)манажемчуга$(0)$(/l) превращается в ткань, рассеивающую любые $(thing)чары$(0) и $(thing)проклятия$(0) при соприкосновении.$(p)Соедините $(item)ткань снятия чар$(0) с зачарованным предметом на верстаке, чтобы снять с него все чары, включая проклятия, ценой части прочности ткани."
"patchouli-lang:botania:botania.page.temperanceStone0"	"sha256:870705b1680f30436817c3afd33c464b6e29968257df146cd05078cda22e28e8"	"The $(l:tools/terra_pick)$(item)Terra Shatterer$(0)$(/l) can tear through huge tracts of land like lightning when charged to its maximum potential; however, this might not always be the user's intention. A small, 3x3 region might be more fitting in certain cases; thus, an active $(item)Stone of Temperance$(0) in the inventory will prevent a $(l:tools/terra_pick)$(item)Terra Shatterer$(0)$(/l) from breaking any wider areas."	"CHANGE"	"Полностью заряженный $(l:tools/terra_pick)терра-крушитель$(/l) может молниеносно сносить огромные участки земли, но такая мощь нужна не всегда. Иногда достаточно области 3×3. Чтобы ограничить область работы $(l:tools/terra_pick)терра-крушителя$(/l), держите в инвентаре активный $(item)камень сдержанности$(0). Тогда $(l:tools/terra_pick)терра-крушитель$(/l) не будет разрушать более широкие области."
"patchouli-lang:botania:botania.page.temperanceStone2"	"sha256:1601d6d2acb5cde31459f271f638428c5715d43204021c1c9842960e5b819d50"	"Other items may have effects that are slightly too powerful in certain situations as well. An active $(item)Stone of Temperance$(0) also turns off the $(l:tools/terra_axe)$(item)Terra Truncator$(0)$(/l), reduces the area affected by the $(l:tools/exchange_rod)$(item)Rod of the Shifting Crust$(0)$(/l), and prevents certain speed boosts, such as the one by the $(l:baubles/water_ring)$(item)Ring of Chordata$(0)$(/l).$(p)The stone can be toggled on/off by right clicking it, either in your inventory or your hand."	"CHANGE"	"Некоторые другие предметы тоже бывают слишком мощными в отдельных ситуациях. Активный $(item)камень сдержанности$(0) также отключает $(l:tools/terra_axe)терра-рассекатель$(/l), уменьшает область действия $(l:tools/exchange_rod)скипетра сдвига коры$(/l) и предотвращает некоторые ускорения, например от $(l:baubles/water_ring)кольца хордовых$(/l).$(p)Камень включается и выключается нажатием [$(k:use)] по нему в инвентаре или в руке."
"patchouli-lang:botania:botania.page.terraAxe0"	"sha256:88014de52993640d5fb6f23c99368a3edcb14e1411a4bcd510622655ae504db5"	"The $(item)Terra Truncator$(0) is a greataxe of a premium quality achievable only with $(l:basics/terrasteel)$(item)Terrasteel$(0)$(/l). It can fell an entire tree at once, using $(thing)Mana$(0) to break all its logs and leaves in one fell swoop.$(p)It won't do so while its user is sneaking or has a $(l:tools/temperance_stone)$(item)Stone of Temperance$(0)$(/l)."	"CHANGE"	"$(item)Терра-рассекатель$(0) — превосходный топор из $(l:basics/terrasteel)террастали$(/l). Рассекая дерево, он расходует $(thing)ману$(0) и может разом повалить ствол и листву.$(p)Удерживайте [$(k:sneak)] или включите $(l:tools/temperance_stone)камень сдержанности$(0), если не хотите валить дерево целиком."
"patchouli-lang:botania:botania.page.terraformRod0"	"sha256:6f2fd0cdbae6a62c3b2e7b443ff9477daee57a04eb1e3d0774389c3346e7801e"	"While digging away at dirt with a shovel is definitely a functional means of landscaping, flattening huge tracts of land can get somewhat arduous.$(p)The $(item)Rod of the Terra Firma$(0), by contrast, terraforms in a quicker and environmentally-friendlier manner."	"CHANGE"	"Лопатой $(o)можно$(0) выравнивать ландшафт, но на большие участки уйдёт немало времени.$(p)$(item)Скипетр терраформиста$(0), напротив, выравнивает землю гораздо быстрее и бережнее к природе."
"patchouli-lang:botania:botania.page.terraformRod1"	"sha256:ae460e9fa2a3c8544f04b94661c094d355fda8e00faf4d7fba6740425497a5d9"	"This rod, will, at a nontrivial cost of $(thing)Mana$(0) from the user's inventory, flatten surrounding land to your own altitude. For this to happen, charge it by $(thing)holding right-click$(0), and slowly but surely, the nearby terrain will be flattened to your level, either by placing $(item)Dirt$(0) or by removing blocks."	"CHANGE"	"Этот скипетр расходует значительное количество $(thing)маны$(0) из вашего инвентаря и выравнивает окружающую землю до вашей высоты. Чтобы зарядить скипетр, $(thing)удерживайте$(0) [$(k:use)]. Он постепенно выровняет местность до вашей высоты: разместит недостающие блоки $(item)земли$(0) и уберёт лишние."
"patchouli-lang:botania:botania.page.tornadoRod0"	"sha256:dc7b2d085f5da784c081a75e61a22bc9bf9c040f2d68ab1614d50c7a93cd7e0b"	"The $(item)Rod of the Skies$(0) uses $(thing)Mana$(0) to launch its user high in the air.$(p)To use it, simply right-click with it and watch yourself soar.$(p)The rod, after usage, will briefly enter a mode where it negates fall-damage, keeping its user safe."	"CHANGE"	"$(item)Скипетр небес$(0) расходует $(thing)ману$(0), чтобы высоко подбросить владельца. Нажмите [$(k:use)], чтобы взлететь.$(p)После использования скипетр ненадолго защищает от урона при падении, чтобы владелец не разбился."
"patchouli-lang:botania:botania.page.virus0"	"sha256:54168e56eafd6b64320612879041b6699770046341c792c0cd2c723ce68e8621"	"Combining certain ingredients can create a type of virus that alters the genetic makeup of equestrian life.$(p)Using one of these viruses on a $(thing)Horse$(0) will alter its genetic code, transforming it into a $(thing)Zombie$(0) or $(thing)Skeleton Horse$(0) and vastly augmenting the $(thing)Horse$(0)'s abilities in the process."	"CHANGE"	"Смешав определённые ингредиенты, можно создать $(item)вирус$(0), способный изменить геном лошадей.$(p)Вирус, использованный на $(thing)лошади$(0), превратит её либо в $(thing)лошадь-зомби$(0), либо в $(thing)лошадь-скелета$(0), а также значительно улучшит все способности $(thing)лошади$(0)."
"patchouli-lang:botania:botania.page.worldSeed0"	"sha256:557f16741edde14cfa4e89d3bc55d3014728b0c451ad200e8885a0c1a08b0502"	"$(item)World Seeds$(0) are energized pieces of elemental matter with the ability to return their user to the world's spawn point.$(p)If its user is 24 or more blocks from the world's spawnpoint, a right-click with one held will instantly teleport them to that location, consuming the seed in the process."	"CHANGE"	"$(item)Семя мира$(0) — это заряженная частица стихийной материи, способная вернуть владельца к точке появления в мире.$(p)Если владелец находится не менее чем в 24 блоках от точки появления, нажмите [$(k:use)], держа семя в руке, чтобы мгновенно телепортироваться туда и потратить семя."
"mantle-book:tconstruct:tinkers_gadgetry:exploration/grass_seeds.json:/text/0/text"	"sha256:49bff5d976a080b96315a4b573e6c85044e98d6905014d938fb3bacbdb76c4db"	"Occasionally when exploring dungeons or nether fortresses, I have found slimy seeds in the chests. I am unsure of their origin, but planting them on either regular or slimy dirt produces slimy grass of the same quality as if you transplanted it from one of the islands. I have also seen slimy saplings in these chests, so it's possible you could get all the flora of the islands without ever visiting one."	"CHANGE"	"Иногда, исследуя подземелья или крепости в Незере, я находил в сундуках слизневые семена. Я не знаю их происхождения, но если посадить их на обычный или слизневый дёрн, получится слизневый дёрн такого же качества, как если бы вы пересадили его с одного из островов. Я также видел в этих сундуках слизневые саженцы, так что, возможно, вы можете получить всю флору островов, ни разу не побывав на одном из них."
"block:block.botania.potted_spectranthemum"	"sha256:b80dabce59c857ba53b203e80a7249c5e3e07c4d596ae8807a5b718272e7ea8c"	"Potted Spectranthemum"	"CHANGE"	"Спектрантема в горшке"
"block:block.botania.potted_spectrolus"	"sha256:c154357253e1bb17905308ee4fd6004d311ff01a27104fe345e3bf57193bcf41"	"Potted Spectrolus"	"CHANGE"	"Спектролис в горшке"
"block:block.botania.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"Spectranthemum"	"CHANGE"	"Спектрантема"
"block:block.botania.spectrolus"	"sha256:578365a70a90eaafe9f3739d90dfee01dfd6bfc81aa50d47f79104082e7ff9b8"	"Spectrolus"	"CHANGE"	"Спектролис"
"block:block.immersiveengineering.deepslate_ore_silver"	"sha256:8c624dc88e7b9a0d9bcd8ec05034d4be2132fa518b009511aeaadf1dc2fc79f3"	"Deepslate Silver Ore"	"CHANGE"	"Сереброносный глубинный сланец"
"block:block.immersiveengineering.lightning_rod"	"sha256:5d907e09f9c22fec429d7e0e83ddf443cd4f6d0204328c3d7203456032a48dab"	"Lightning Rod"	"CHANGE"	"Молниеотвод"
"item:item.advanced_ae.adv_pattern_provider_part"	"sha256:4b174a05968e8ea1c73782fb263ae0b8833f8a498ca6cc8fd8f90dea905cb944"	"Advanced Extended Pattern Provider"	"CHANGE"	"Продвинутый поставщик расширенных шаблонов"
"item:block.botania.spectranthemum"	"sha256:debb521f2653d70f4d83da65e25e6edda8314ef6e78c15316a31e5cd6a7dc1a2"	"Spectranthemum"	"CHANGE"	"Спектрантема"
"item:block.botania.spectrolus"	"sha256:578365a70a90eaafe9f3739d90dfee01dfd6bfc81aa50d47f79104082e7ff9b8"	"Spectrolus"	"CHANGE"	"Спектролис"
"item:item.botania.manaweave_boots"	"sha256:c19ff056a6fd213a5da5d913d0f7679ea092834cf87d655829dc4bbb7da892ac"	"Manaweave Boots"	"CHANGE"	"Манатканные сапоги"
"item:item.botania.pattern_1_2"	"sha256:207badc4e69f86d03b1365fd6b05326713520f0efdc2064ac5acad3905d7d058"	"Crafting Pattern #3: 1x2"	"CHANGE"	"Шаблон создания «№3 — 1x2»"
"item:block.immersiveengineering.deepslate_ore_silver"	"sha256:8c624dc88e7b9a0d9bcd8ec05034d4be2132fa518b009511aeaadf1dc2fc79f3"	"Deepslate Silver Ore"	"CHANGE"	"Сереброносный глубинный сланец"
"item:block.immersiveengineering.lightning_rod"	"sha256:5d907e09f9c22fec429d7e0e83ddf443cd4f6d0204328c3d7203456032a48dab"	"Lightning Rod"	"CHANGE"	"Молниеотвод"
"item:item.mekanism.raw_lead"	"sha256:7d1507ad7f4c2f76a17059759d3cff80e47768805ab20ce40c09dcde942ba3dc"	"Raw Lead"	"CHANGE"	"Рудный свинец"
