id	source_hash	translation
block:block.kubejs.liminalstone_poolrooms	sha256:25e0c7176ccead12e82aa4352bd6944db37d181a5b66a6d4924a96ee2926dff3	Лиминальный камень
block:block.kubejs.lithium_ion_batteries	sha256:fb0bd2934c541d9a7a713e6966a82ccbccca6895a0a2d1c70905109ff92720f5	Литий-ионные батарейки
block:block.kubejs.loaded_closet	sha256:51ae9309d025515ec5b504693b9f8262aaaf2b86a28f06cf63b173bd6c030213	Шкаф
block:block.kubejs.locker_sculkling	sha256:d1aeb1b117acd0e4280a2ed5eeaf7327e4fe057fe65ed6189c128c8e17ff0cd1	Шкафчик у бассейна
block:block.kubejs.long_range_wall_destroyer	sha256:404c4ae6db910922f1feaa55647a2a3f0c019b9a6d30282ee7883c9da2daaf9a	Дальнобойный пробойник стен
block:block.kubejs.missing_tiles_half	sha256:69546791b25698259ac444c7668d755f2b13a260771f8571e5ffdd149107befa	Плитка бассейна с пропусками
block:block.kubejs.missing_tiles_half_perm	sha256:8d0055a4ee924330bdd0a8efc5e24ccff6c9d9ad3863bff76f5d8f963fc640e2	Плитка бассейна с пропусками (постоянная)
block:block.kubejs.monolith_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.nowhere_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.open_pool_locker_double	sha256:d1aeb1b117acd0e4280a2ed5eeaf7327e4fe057fe65ed6189c128c8e17ff0cd1	Открытый шкафчик у бассейна
block:block.kubejs.open_pool_locker_single	sha256:d1aeb1b117acd0e4280a2ed5eeaf7327e4fe057fe65ed6189c128c8e17ff0cd1	Открытый шкафчик у бассейна
block:block.kubejs.pool_locker_double	sha256:d1aeb1b117acd0e4280a2ed5eeaf7327e4fe057fe65ed6189c128c8e17ff0cd1	Шкафчик у бассейна
block:block.kubejs.pool_tiles_golden_half	sha256:1b68f64fc19268c5341773d6ea7efa5ceb66d55890e60ccb3bdbe44b63545270	Золотая плитка бассейна
block:block.kubejs.poolrooms_portal	sha256:f4050edc5852a839166eb234899299d6b175e70b280ad779e6192ea6cf25051a	Вход в Poolrooms
block:block.kubejs.reality_charge_empty	sha256:ce15214a531433744d349f55140eeb0e9ddac86231e517a116b8f27102af26d5	Пустой заряд реальности
block:block.kubejs.reality_controller_running	sha256:829f8a2fe73ece17a85459b1c43ff29746c82c6a1ab523e94528516050aafc29	Контроллер реальности (активный)
block:block.kubejs.right_arrow_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.skull_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.sky_day_block	sha256:2781796e03204df5198a6b9c50fec067f901ca37c4444e2e10f6cd94d05670c6	Блок дневного неба
block:block.kubejs.sky_morning_block	sha256:4bd75616e00d16ebcc447b5bc8db4468de045f800bef3f803ea8f413f15ef2d5	Блок утреннего неба
block:block.kubejs.sky_night_block	sha256:0466370f1cee8920a36a6e87f4f320025ff918f4a82faa6b1c8ed73dc2c00b60	Блок ночного неба
block:block.kubejs.sky_sunset_block	sha256:3b3da4e2d4dad7c82da4b03051f4e083cbe70c89924bd05145920021f7eda7bb	Блок закатного неба
block:block.kubejs.stop_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.stripped_wallpaper2	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper2_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper3	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper3_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper4	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper4_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper5	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper5_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper6	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper6_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper7	sha256:eb6249183103275ae4a11d483ef3d85e74b7a3da12941e9766a901fc821c1128	Ободранные обои
block:block.kubejs.stripped_wallpaper7_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.stripped_wallpaper_perm	sha256:74ece97e2db4224a118433c136e9caf4f9c46449ad6df7c72cf403eab0c3d06a	Ободранные обои (постоянные)
block:block.kubejs.traffic_pole	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.tripple_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.turn_back_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.unknown1	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
block:block.kubejs.wall_destroyer	sha256:612e16f449f938fee4ec3229edcced97971ef64fb08dfa1fcc8876c0b20eb493	Пробойник стен
block:block.kubejs.wallpaper1_red	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Красные обои
block:block.kubejs.wallpaper_nest_perm	sha256:0dd2234d805b825c406196a38955e4abad3da1258f3e7d92a32615f320bc155a	Гнездо в обоях (постоянное)
block:block.kubejs.witahdigroi_sign	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Знак
item:block.kubejs.explantion2_sign_red	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Красный поясняющий знак
item:block.kubejs.red_locker_double	sha256:b0bfa90dbb91886b05c9a145371f5e6af68030662fba9c3950e3555ef31ee414	Красный двойной шкафчик
item:block.kubejs.red_locker_single	sha256:b0bfa90dbb91886b05c9a145371f5e6af68030662fba9c3950e3555ef31ee414	Красный шкафчик
item:block.kubejs.traffic_pole_red	sha256:0b6f395ca14ac202374d5cff678b71157d0bef7e00c3045e9b80aab4ffb85276	Красный дорожный столб
item:block.kubejs.wallpaper1_red	sha256:a7f173cdaae49a03443ed62db8c0e34857d8c6b11281e6da7af7377309772153	Красные обои
item:item.kubejs.ball_pit_bucket	sha256:000ea3f73f2d232c63508211899777260534abbac887e314fa675045af54bec7	Бассейн с шариками
item:item.kubejs.battery_bowl	sha256:2d09b321a618915b96260c21cefbcd03ab0069ac211d4ce9d6a8a4939a4a10be	Чаша с батарейками
item:item.kubejs.chapter_1_star	sha256:8b34fc35d65d29f798941adc268a9bd1da197d675d3ded0a3175a4c1995eddba	Звезда главы 1
item:item.kubejs.chapter_2_star	sha256:3884023142acc39df7c2c278e2816600d0d93320113499fb3431d52ddf5d7bd2	Звезда главы 2
item:item.kubejs.chapter_3_star	sha256:a46ed781dea11c77f5ff942bbd0782bedd7279ddb6a9ce4995b655735aec1324	Звезда главы 3
item:item.kubejs.chapter_4_star	sha256:c4ba7d27d9850b2afb3dca275f9155aa4c9464433a7f98aa58314a6b59f00e62	Звезда главы 4
item:item.kubejs.chapter_5_star	sha256:5616bb448127e765cdc03a4daf1d73db44ee9d2324eb344c6e9371c1a799d1fc	Звезда главы 5
item:item.kubejs.liquid_time_bucket	sha256:46ab9920d17c705a7eaceb48d6cc307ac74c289232161570862128efb8facccb	Поток времени
