id	source_hash	translation
mantle-book-language:tconstruct:encyclopedia:tools.group_staff	sha256:9b2039ce089477ff3528c7a400062f0c5c511663f1f5bce14298ab068e09372b	Посохи
mantle-book-language:tconstruct:encyclopedia:tools.tconstruct.earth_staff	sha256:3239e38d95b6c2c6d8cc003c8f127d0d6596d50f818c48ec12f23b882284d754	Земная слизь
mantle-book-language:tconstruct:encyclopedia:tools.tconstruct.ender_staff	sha256:91253b86e9d749e7d8640b6d9d6fb52fafc1a9fdd56d5355674b23c419ccd83d	Эндер-слизь
mantle-book-language:tconstruct:encyclopedia:tools.tconstruct.ichor_staff	sha256:09f8720da7e112a59a145aaf42aebde27ad49dfd64a6557175a2999e0fa3b60d	Ихор
mantle-book-language:tconstruct:encyclopedia:tools.tconstruct.sky_staff	sha256:cf11b25bd2405969b52b1286f269b7895887e284f79ebca4bf19f5e4473fd2eb	Небесная слизь
mantle-book-language:tconstruct:encyclopedia:upgrades	sha256:e02a5941602a57c3c2f17eafe2bf11c64bba85755ace8983c10ed23f1d4b286f	Улучшения
mantle-book-language:tconstruct:encyclopedia:upgrades.boots.tconstruct.feather_falling	sha256:470f8f8daa1f2e6f1288cb4499d9ad132dda6f90fe16270b5a1126b9a401cb40	Невесомость
mantle-book-language:tconstruct:encyclopedia:upgrades.group_armor	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Броня
mantle-book-language:tconstruct:encyclopedia:upgrades.group_armor.boots	sha256:929433e4be1dbd23ffc6b076da2e6f3854ccc5fe606a1e59419110b71fe0a833	Ботинки
mantle-book-language:tconstruct:encyclopedia:upgrades.group_armor.chestplate	sha256:efd648433f738f60b2936fb190b108dd5bd87f39f5f24cc675373836feede10e	Нагрудник
mantle-book-language:tconstruct:encyclopedia:upgrades.group_armor.helmet	sha256:a47fdf6415fc436ee65ac597251edfa2e58a5ea60b53e65d2886ea6cb17ba374	Шлем
mantle-book-language:tconstruct:encyclopedia:upgrades.group_armor.leggings	sha256:166f79114abace7da4ca0996291a2d4a6f73dfe27bfab96cc9af95df53bf9736	Поножи
mantle-book-language:tconstruct:encyclopedia:upgrades.group_damage	sha256:de08dbca6d31543745b8edbb0c9a2322f6d78e018892203ccdada48054cac296	Усиление урона
mantle-book-language:tconstruct:encyclopedia:upgrades.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:encyclopedia:upgrades.group_harvest	sha256:c91ab8b61d373c0cb1cce94713f161e259f77172c8c08467ecacd138169ea364	Добыча
mantle-book-language:tconstruct:encyclopedia:upgrades.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:encyclopedia:upgrades.group_weapon	sha256:2e24eb8ac3378a24fb64d99f02cd9135880e26f0b84b5dd3feac1be91a16a00f	Ближний бой
mantle-book-language:tconstruct:encyclopedia:upgrades.subtext	sha256:10f34be55d709f6a407c28ef01e081354cef30afd13746f699c2fa614d11952d	Каждый инструмент имеет ограниченное количество слотов для улучшений.
mantle-book-language:tconstruct:fantastic_foundry:alloyer	sha256:3708de4b5b8b58cf3cc23b922b97608b7037b80f0fe845ea1101da20a9e03d51	Смешиватель
mantle-book-language:tconstruct:fantastic_foundry:armor	sha256:b6d6757b3f6d390eb269ff6aa028eb473bc9aae7ed3da0d6af9c441ed9548409	Фантастическая броня
mantle-book-language:tconstruct:fantastic_foundry:armor.subtext	sha256:87aed3fd3cc06389ab727b60dea16d8dc8ddab601764d9fa78b92e5029fb76c4	Ресурсы Нижнего мира позволяют создавать броню более высоких уровней. Например, могучая латная броня отличается высокой защитой, но имеет меньше возможностей для модификации. Кому нужны дополнительные функции, когда ты надёжно защищён?
mantle-book-language:tconstruct:fantastic_foundry:armor_materials	sha256:61e519aa9cafad6d5c4a5df06021bfcec8273041949b8d474790ed264a48cc6e	Материалы для брони 4-го уровня
mantle-book-language:tconstruct:fantastic_foundry:armor_materials.subtext	sha256:1e3cbda525da1983588f3d07121a157e688b9b88ad85ba9d4b52727dd0340b98	Для создания этих материалов требуется огненная кровь. Из них можно отливать броню и щиты.
mantle-book-language:tconstruct:fantastic_foundry:blazing_blood	sha256:109bd9bf373faa8ead17ab55c8a08a4b4f12b2bb1e937e28608594353d6e7357	Огненная кровь
mantle-book-language:tconstruct:fantastic_foundry:foundry	sha256:88bc6ea46083b1ed223f6a2c0bf3b2990614e4a256a7d3f7ac03bdd0a487782f	Литейная печь
mantle-book-language:tconstruct:fantastic_foundry:intro	sha256:b605350bc00209520b7cd8f546322663356ba630708f71bbf30aead6b3dd608e	Введение
mantle-book-language:tconstruct:fantastic_foundry:melee_harvest_materials	sha256:dfd383c3013855295d3fc005d1024632bdf953cc61a79af755436cc1e9b65947	Материалы общего назначения 4-го уровня
mantle-book-language:tconstruct:fantastic_foundry:melee_harvest_materials.subtext	sha256:d2c75a86a3919be78b048233dd3c96458337667742c35c41a27e14c1eca052f5	Для создания этих материалов требуется огненная кровь. Из них можно изготавливать детали инструментов ближнего боя и добывающих инструментов.
mantle-book-language:tconstruct:fantastic_foundry:ranged_materials	sha256:a04ec40618d1ead09bef3586bc004c401fde899455d1ead2cd0712202abda8ee	Материалы для дальнего боя 4-го уровня
mantle-book-language:tconstruct:fantastic_foundry:ranged_materials.subtext	sha256:013abf372426f4e1136534b60413117a99f11ec38697079cfa41acad9acbc8fb	Для создания этих материалов требуется огненная кровь. Из них можно изготавливать детали оружия дальнего боя, например луков.
mantle-book-language:tconstruct:materials_and_you:ammo_materials	sha256:bb7f88bf64e81a248f3b9588497a1fecef4401bc9e3a358b263f5f9e0ee36e01	Базовые материалы для боеприпасов
mantle-book-language:tconstruct:materials_and_you:ammo_materials.subtext	sha256:f51b57eaa0de5ced952d6191ac08441023768aed7d1c4e1b800a0016b2ef8e40	Эти материалы отлично подходят для создания первых стрел и сюрикенов.
mantle-book-language:tconstruct:materials_and_you:armor	sha256:59f217c15c888dfdc6eba5eedcd4bba8576b2e83032a8111846e66eac7018f41	Базовая броня
mantle-book-language:tconstruct:materials_and_you:armor.subtext	sha256:ba4c7137a04bf7189172551cde9bff6f4f2e9c1c213c5297578ef20e20df047b	Базовая броня обеспечивает начальную защиту без поиска редких ресурсов и строительства механизмов. Она защищает не слишком хорошо, зато оставляет много возможностей для улучшения. Какую забавную броню создашь ты?
mantle-book-language:tconstruct:materials_and_you:further_reading	sha256:bd2e42f237b39fc195116b8e1606b7af14daf25b36e918b2341817bf4ddf2fd2	Дополнительная литература
mantle-book-language:tconstruct:materials_and_you:intro	sha256:b605350bc00209520b7cd8f546322663356ba630708f71bbf30aead6b3dd608e	Введение
mantle-book-language:tconstruct:materials_and_you:melee_harvest_materials	sha256:33a911986ff67352cc2ee5f46ee39b8aae55017b6acf022920abe924601f4ef5	Материалы общего назначения 1-го уровня
mantle-book-language:tconstruct:materials_and_you:melee_harvest_materials.subtext	sha256:72677e1119000d6e0c902b6b62f7f092d52699ee40a3cbf2f910690485441990	Из этих материалов можно создавать в формирователе детали инструментов ближнего боя и добывающих инструментов.
mantle-book-language:tconstruct:materials_and_you:modifiers	sha256:072da57facdcc631f41c5d886717e71197314fb5518d7c4b51033dbe11f7ffff	Модификаторы
mantle-book-language:tconstruct:materials_and_you:ranged_materials	sha256:71de5191a30d654e498347f8649122f831b3dbfff2c66c4c7bc600587c60d621	Материалы для дальнего боя 1-го уровня
mantle-book-language:tconstruct:materials_and_you:ranged_materials.subtext	sha256:bdd561b86f22774acd628a5285c5faf5f3099252c44e285f50f8443295e6d4ae	Из этих материалов можно создавать в формирователе детали оружия дальнего боя, например луков.
mantle-book-language:tconstruct:materials_and_you:tools	sha256:ea93d6a262ecb87a9fa4d09edbd7654c046597936a8e235fc3949eb01775ff99	Инструменты
mantle-book-language:tconstruct:materials_and_you:tools.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:materials_and_you:tools.group_info	sha256:1cb0ba125f84c982b00ba3639cdfb2cee6b70f94b5e0115c045fef607af4f216	Сведения
mantle-book-language:tconstruct:materials_and_you:tools.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:mighty_smelting:abilities	sha256:81932b99d9d932d998aaa17ae2359f7c6e868af4479be078e0115927c4edd738	Умения
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Броня
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor.boots	sha256:929433e4be1dbd23ffc6b076da2e6f3854ccc5fe606a1e59419110b71fe0a833	Ботинки
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor.chestplate	sha256:efd648433f738f60b2936fb190b108dd5bd87f39f5f24cc675373836feede10e	Нагрудник
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor.helmet	sha256:a47fdf6415fc436ee65ac597251edfa2e58a5ea60b53e65d2886ea6cb17ba374	Шлем
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor.leggings	sha256:166f79114abace7da4ca0996291a2d4a6f73dfe27bfab96cc9af95df53bf9736	Поножи
mantle-book-language:tconstruct:mighty_smelting:abilities.group_armor.shield	sha256:480d4be7d61fe52bc31768ffaaffea7ad5db66ba8b699d30623c4726704cc646	Щит
mantle-book-language:tconstruct:mighty_smelting:abilities.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:mighty_smelting:abilities.group_harvest	sha256:c91ab8b61d373c0cb1cce94713f161e259f77172c8c08467ecacd138169ea364	Добыча
mantle-book-language:tconstruct:mighty_smelting:abilities.group_interact	sha256:b7d2863247e0230fc402347740098d2e3f799aae27be97da0936e97aca77e16c	Взаимодействие
mantle-book-language:tconstruct:mighty_smelting:abilities.group_melee	sha256:2e24eb8ac3378a24fb64d99f02cd9135880e26f0b84b5dd3feac1be91a16a00f	Ближний бой
mantle-book-language:tconstruct:mighty_smelting:abilities.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:mighty_smelting:abilities.subtext	sha256:39d5eaef6fd0dcef695ede44c6040b884de924223d4f63ae3e663b1845370d60	Умения сильнее улучшений, но для них доступно меньше слотов.
mantle-book-language:tconstruct:mighty_smelting:armor	sha256:6373cbba2c9d872a2dbd20cfc2bd26626ca36ac6c176fe0fd16d4fb9d6064e8d	Могучая броня
mantle-book-language:tconstruct:mighty_smelting:armor.subtext	sha256:545e92e8a7a423ec1620c3cbb33f24dd04d12b3eafbeb4e3f4b582607e856454	Сплавы открывают больше материалов для создания брони. Такая броня может давать дополнительные умения, недоступные базовым комплектам вроде снаряжения путешественника.
mantle-book-language:tconstruct:mighty_smelting:armor_materials	sha256:c6b07494edc7d92dedf1009a0d67449a8ae2f3a82adaf53af67d23578d5dd3a4	Материалы для брони 3-го уровня
mantle-book-language:tconstruct:mighty_smelting:armor_materials.subtext	sha256:2e74fe5768ec731579a381f6de95ca20a8184743a2e8454faef2ef4fe678720f	Из этих материалов можно отливать броню и щиты.
mantle-book-language:tconstruct:mighty_smelting:defense	sha256:6d3b491cc4b3b8c942decedece5f1f363e8f996b489f995acb320c18f73b3ca5	Защита
mantle-book-language:tconstruct:mighty_smelting:defense.group_protection	sha256:0e97ad021672d434a066dc50b8681813907da9f1f706aa1fa4402b9c4ba4c006	Защитные
mantle-book-language:tconstruct:mighty_smelting:defense.group_special	sha256:997c544f1be0a2dde15ce4e764321511ce9abdb34c7e7c661439e0382191a396	Специальные
mantle-book-language:tconstruct:mighty_smelting:defense.subtext	sha256:661d62b4372607f731f0a72863c365ee8cba3525e213a25095430046de35ad48	Защитные модификаторы применяются только к броне и занимают слоты защиты.
mantle-book-language:tconstruct:mighty_smelting:entity_melting	sha256:bbff45ce90f5f94ffe60cb12efc51025217e8867a5264064a544dc445e83cf4f	Переплавка существ
mantle-book-language:tconstruct:mighty_smelting:intro	sha256:b605350bc00209520b7cd8f546322663356ba630708f71bbf30aead6b3dd608e	Введение
mantle-book-language:tconstruct:mighty_smelting:melee_harvest_materials	sha256:44678433680f67b3c0e16f6dcdb06f8d7d08ae5a48dc80a5edfad83d782d0ac7	Материалы общего назначения 3-го уровня
mantle-book-language:tconstruct:mighty_smelting:melee_harvest_materials.subtext	sha256:793dfee7201143142b7fd632828910d57544caebeaaafe4b8c07f43a7a3921d2	Эти материалы получают смешиванием, после чего отливают из них детали инструментов ближнего боя и добывающих инструментов.
mantle-book-language:tconstruct:mighty_smelting:ranged_materials	sha256:a1751e91c3ec65ab7fdded199bb0abee16cd174bb766f0f2db34b8db722da649	Материалы для дальнего боя 3-го уровня
mantle-book-language:tconstruct:mighty_smelting:ranged_materials.subtext	sha256:cc5cf60a121d620b7f4b999a8b38cf7055814652694987aaf0d73844fe9bc89e	Эти материалы получают смешиванием, после чего отливают из них детали оружия дальнего боя, например луков.
mantle-book-language:tconstruct:mighty_smelting:smeltery	sha256:4d04fdd9e84a6f58d6da896aa36ae0b6e779b557a2ee01fad3925ccff655b309	Плавильня
mantle-book-language:tconstruct:mighty_smelting:tools	sha256:382a6187783b59c97d1d82a1b88eee33df79f49e78897e9bfb8edca39918a6eb	Крупные инструменты
mantle-book-language:tconstruct:mighty_smelting:tools.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:mighty_smelting:tools.group_info	sha256:1cb0ba125f84c982b00ba3639cdfb2cee6b70f94b5e0115c045fef607af4f216	Сведения
mantle-book-language:tconstruct:mighty_smelting:tools.group_ranged	sha256:3f0b51a2492f73ecf48a84bc7f261e4223a8701efbda4726fa1de490fdf12498	Дальний бой
mantle-book-language:tconstruct:mighty_smelting:tools.subtext	sha256:bc0aef95b9774ec0e52efdda1dbb1cda1389146fb839c0ab3bd1773d759302b4	Для создания всех крупных инструментов требуется Наковальня Тинкера.
mantle-book-language:tconstruct:mighty_smelting:upgrades.subtext	sha256:dc4cdb53ba8e95f52e7f1c04e0ea87d47e8b49e64b48c1976688c7873f30d516	Инструменты можно усиливать улучшениями, но на каждый из них помещается лишь ограниченное количество.
mantle-book-language:tconstruct:puny_smelting:armor	sha256:a55153419ce6153003a00e6690808f01b2b3b51cb3fbf9c16684db51f91b6baa	Простая броня
mantle-book-language:tconstruct:puny_smelting:armor.subtext	sha256:18bdb6af2551be49df82d4a04f561dbac777e1b57445ea017311c646ba506912	Выбери подходящую броню: снаряжение путешественника легко модифицировать и наделять умениями, а латная броня даёт больше возможностей для защиты. Если внешний вид не важен, части комплектов можно сочетать.
mantle-book-language:tconstruct:puny_smelting:armor_materials	sha256:0b1eb9d94b4edc480793a15bd3e48e060d1c60acc71dba1d6a2b9f98c72196ea	Материалы для брони 2-го уровня
mantle-book-language:tconstruct:puny_smelting:armor_materials.subtext	sha256:2e74fe5768ec731579a381f6de95ca20a8184743a2e8454faef2ef4fe678720f	Из этих материалов можно отливать броню и щиты.
mantle-book-language:tconstruct:puny_smelting:casting	sha256:0c9e7b062660e3dcb0ea2efe55f231095d585cd1b81a59fd67fee04832471202	Литьё
mantle-book-language:tconstruct:puny_smelting:further_reading	sha256:bd2e42f237b39fc195116b8e1606b7af14daf25b36e918b2341817bf4ddf2fd2	Дополнительная литература
mantle-book-language:tconstruct:puny_smelting:intro	sha256:b605350bc00209520b7cd8f546322663356ba630708f71bbf30aead6b3dd608e	Введение
mantle-book-language:tconstruct:puny_smelting:melee_harvest_materials	sha256:497f0546200bf07e36c942c6933792ae43eb6463b8762f67f26a764b6b2c13f1	Материалы общего назначения 2-го уровня
mantle-book-language:tconstruct:puny_smelting:melee_harvest_materials.subtext	sha256:d08a516030ca541344880a2ac4c124effbef1591272a2f1587e99d7f5c23b05a	Из этих материалов можно отливать детали инструментов ближнего боя и добывающих инструментов.
mantle-book-language:tconstruct:puny_smelting:melter	sha256:629b9cb7e2a135bf5177a81975e805398ed59c36fe2bc4e5599056781747e89b	Плавильная печь
mantle-book-language:tconstruct:puny_smelting:moving_fluids	sha256:3b48b50639bfe29db94a36f5f243256dcc35362e00381e07e359025d6ce95488	Перемещение жидкостей
mantle-book-language:tconstruct:puny_smelting:ranged_materials	sha256:82be718f760896bbba3eb92e375a151de354a48c6d3e953a1f95cc7ff1fa2306	Материалы для дальнего боя 2-го уровня
mantle-book-language:tconstruct:puny_smelting:ranged_materials.subtext	sha256:862df105238cbc0a13e7249170f3719cbda4ed6b3f769ebe40a0def698f0a6f8	Из этих материалов можно отливать детали оружия дальнего боя, например луков.
mantle-book-language:tconstruct:puny_smelting:slotless	sha256:30747c2dbc0807952e87a7aa15a530b6cd651f9fc6ba66e733a448c4748a5efc	Бесслотовые модификаторы
mantle-book-language:tconstruct:puny_smelting:slotless.group_bonus_upgrades	sha256:80869157c9b3c4a06a9e3f95f89ff9517c1c00fa57ae2069f7547a02ee6f7bc4	Улучшения++
mantle-book-language:tconstruct:puny_smelting:slotless.group_cosmetic	sha256:3f9679cf685f17af227d423f96031bdc3b29cfd284277f00de35ccbce2bddbca	Косметические
mantle-book-language:tconstruct:puny_smelting:slotless.group_slotless	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:puny_smelting:slotless.subtext	sha256:c969756b1833a7cca07a026285344d336abbf895f3a608c3b7a32224cf812a67	Эти модификаторы не требуют слотов, поэтому при желании можно применить их все.
mantle-book-language:tconstruct:puny_smelting:upgrades	sha256:e02a5941602a57c3c2f17eafe2bf11c64bba85755ace8983c10ed23f1d4b286f	Улучшения
mantle-book-language:tconstruct:puny_smelting:upgrades.group_armor	sha256:a592855d0508d16121c443b3500e94395f2087cc9deb7f84e1a82061f1a8ec69	Броня
mantle-book-language:tconstruct:puny_smelting:upgrades.group_armor.boots	sha256:929433e4be1dbd23ffc6b076da2e6f3854ccc5fe606a1e59419110b71fe0a833	Ботинки
mantle-book-language:tconstruct:puny_smelting:upgrades.group_armor.chestplate	sha256:efd648433f738f60b2936fb190b108dd5bd87f39f5f24cc675373836feede10e	Нагрудник
mantle-book-language:tconstruct:puny_smelting:upgrades.group_armor.helmet	sha256:a47fdf6415fc436ee65ac597251edfa2e58a5ea60b53e65d2886ea6cb17ba374	Шлем
mantle-book-language:tconstruct:puny_smelting:upgrades.group_armor.leggings	sha256:166f79114abace7da4ca0996291a2d4a6f73dfe27bfab96cc9af95df53bf9736	Поножи
mantle-book-language:tconstruct:puny_smelting:upgrades.group_damage	sha256:52e889c12f0af4b8877bbb3add6267650ceb161e4b5d6a08f20bf56d519c5575	Урон
mantle-book-language:tconstruct:puny_smelting:upgrades.group_general	sha256:c910d474dcd724bff83ddedeb06bf1eceaf9fb3af7c76bb282be057f36e6dffa	Общие
mantle-book-language:tconstruct:puny_smelting:upgrades.group_harvest	sha256:c91ab8b61d373c0cb1cce94713f161e259f77172c8c08467ecacd138169ea364	Добыча
mantle-book-language:tconstruct:puny_smelting:upgrades.group_melee	sha256:2e24eb8ac3378a24fb64d99f02cd9135880e26f0b84b5dd3feac1be91a16a00f	Ближний бой
mantle-book-language:tconstruct:puny_smelting:upgrades.subtext	sha256:5bca0f8c0614d9b3845f16ee372099fb7b8a6d7d0ef7092a699bc18ab5edc6ba	Инструменты можно усиливать улучшениями, но на каждый инструмент помещается лишь ограниченное их количество.
mantle-book-language:tconstruct:puny_smelting:worktable	sha256:dead182429e72c29f4253a0767969055e98b75116c9f6c389cd4b19b51a56539	Рабочий стол для модификаторов
mantle-book-language:tconstruct:tinkers_gadgetry:ammo_materials	sha256:0c42f90966df82027bbb68e9426774875df8fcd374c5b9fb60cc13aba23e6b2e	Продвинутые материалы для боеприпасов
mantle-book-language:tconstruct:tinkers_gadgetry:ammo_materials.subtext	sha256:a59b34840320864c035fab12453660161660f88e1ab4f2b8a1eff42e99f50bcb	Из этих редких материалов создают более мощные боеприпасы.
mantle-book-language:tconstruct:tinkers_gadgetry:ancient_tools	sha256:bc9af63998fd09163a0688fba32f31524a09802bd720c1a220d62d38d14d3e56	Древние инструменты
