"id"	"kind"	"status"	"source_hash"	"native_translation"	"translation"	"source"
"ie-manual:immersiveengineering:arc_furnace.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:863f4a90c1454adb221f0dbf61376c5409c78bce8b1ccf26de2b5284024c01e2"	"Дуговая печь - массивная структура, используемая для быстрой плавки металлов. Она состоит из стального Ковша, покрытого электродами, которые нагревают металл."	"Дуговая печь - массивная структура, используемая для быстрой плавки металлов. Она состоит из стального Ковша, покрытого электродами, которые нагревают металл."	"The Arc Furnace is a massive structure used to quickly smelt metals. It consists of a steel vat topped by electrodes which heat up the metal."
"ie-manual:immersiveengineering:arc_furnace.txt:line:3"	"manual_text"	"REVIEW_NATIVE"	"sha256:281fc3fdd470e992af42f3ee9757e77a3ce521653b86a0c8ee29a1ee7bb47c24"	"Печь отлично справляется с выплавкой руд и созданием стали благодаря своей высокой скорости и способности обрабатывать несколько изделий одновременно, но она также сложна в своей работе и потребует технического обслуживания, чтобы продолжать функционировать."	"Печь отлично справляется с выплавкой руд и созданием стали благодаря своей высокой скорости и способности обрабатывать несколько изделий одновременно, но она также сложна в своей работе и потребует технического обслуживания, чтобы продолжать функционировать."	"The furnace excels at smelting ores and creating steel due to its high speed and its ability to process multiple items at the same time, but it is also complex in its workings and will require maintenance in order to continue functioning."
"ie-manual:immersiveengineering:arc_furnace.txt:line:4"	"manual_text"	"REVIEW_NATIVE"	"sha256:a64292b1455d827a4b65a220543285884a1b2f4ea03c8f524857596f19a2bcad"	"Шлак должен извлекаться из машины, иначе она перестанет функционировать, а деградирующие электроды должны быть заменены с течением времени."	"Шлак должен извлекаться из машины, иначе она перестанет функционировать, а деградирующие электроды должны быть заменены с течением времени."	"Slag must be removed from the machine or it will cease to function, and degrading electrodes need to be replaced over time."
"ie-manual:immersiveengineering:arc_furnace.txt:line:5"	"manual_text"	"REVIEW_NATIVE"	"sha256:2f921e5dad1740cc083ce1dec76a4d50281a873d288c6701b130aff984f5d791"	"Чтобы сформировать конструкцию, соберите её, как показано на первой странице, а затем нажмите по котлу Молотом инженера."	"Чтобы сформировать конструкцию, соберите её, как показано на первой странице, а затем нажмите по котлу Молотом инженера."	"To form the structure, assemble it as shown on the first page, then click the cauldron with an Engineer's Hammer."
"ie-manual:immersiveengineering:arc_furnace.txt:line:6"	"manual_text"	"REVIEW_NATIVE"	"sha256:6d89751bb7c04b532d936d3a53e1fe6c59d237a5ffef992223ec3b6593f7bfe3"	"Энергия подаётся через три разъёма сзади, а подача на переднюю панель управления сигнала редстоуна выключит машину. Чтобы открыть интерфейс нажмите ПКМ по панели, ""ковшу"" или чану.<np>"	"Энергия подаётся через три разъёма сзади, а подача на переднюю панель управления сигнала редстоуна выключит машину. Чтобы открыть интерфейс нажмите ПКМ по панели, ""ковшу"" или чану.<np>"	"Energy is input through the three connectors at the back, and supplying the control panel at the front with a redstone signal will turn off the machine. Right-clicking the panel, 'bucket' or vat will open the interface.<np>"
"ie-manual:immersiveengineering:arc_furnace.txt:line:7"	"manual_text"	"REVIEW_NATIVE"	"sha256:b3a26a462b3357abdbd56629e887d5cb20fb64ace86b2b7ceeb7b81fbc8a26b9"	"§lИнтерфейс:§r"	"§lИнтерфейс:§r"	"§lInterface:§r"
"ie-manual:immersiveengineering:arc_furnace.txt:line:8"	"manual_text"	"REVIEW_NATIVE"	"sha256:0c6139b316012358bb64f46ebe8b18c279150ce32825199787dffcb86313b1bc"	"При первом знакомстве интерфейс может показаться запутанным, но он довольно прост."	"При первом знакомстве интерфейс может показаться запутанным, но он довольно прост."	"The interface may look confusing upon first seeing it, but it's quite straight forward."
"ie-manual:immersiveengineering:arc_furnace.txt:line:10"	"manual_text"	"REVIEW_NATIVE"	"sha256:9d98d79169f32e0a06bef6615fe9e46d3b34a52ca9cb4e31114c4dd0dd316fce"	"Три верхних слота предназначены для <link;graphite;графитовых электродов;electrode>."	"Три верхних слота предназначены для <link;graphite;графитовых электродов;electrode>."	"The three slots at the top are for the <link;graphite;Graphite Electrodes;electrode>."
"ie-manual:immersiveengineering:arc_furnace.txt:line:11"	"manual_text"	"REVIEW_NATIVE"	"sha256:b7ab6407427e72b5363dd09fffbee93a4beb975a8df72a1882d60adf9a4a4163"	"Двенадцать слотов слева - это входные слоты для металлов и руд. Рядом с каждым слотом находится температурный индикатор, отображающий процесс плавки."	"Двенадцать слотов слева - это входные слоты для металлов и руд. Рядом с каждым слотом находится температурный индикатор, отображающий процесс плавки."	"The twelve slots on the left are the input slots for metals and ores. Each slot has a temperature bar next to it, representing the progress of smelting."
"ie-manual:immersiveengineering:arc_furnace.txt:line:12"	"manual_text"	"REVIEW_NATIVE"	"sha256:7fefe4ecc7d3b360b6517dbb9c8a1d433088dc983074241484abf0301bdafc63"	"Четыре слота справа предназначены для ""добавки"", различных материалов, добавляемых в расплавленный металл во время создания. Примером может служить добавление Коксовой Пыли в расплавленное железо для создания стали."	"Четыре слота справа предназначены для ""добавки"", различных материалов, добавляемых в расплавленный металл во время создания. Примером может служить добавление Коксовой Пыли в расплавленное железо для создания стали."	"The four slots on the right are for ""additives"", different materials added to the molten metal during the crafting process. An example of these would be adding Coke Dust to melting Iron in order to create Steel."
"ie-manual:immersiveengineering:arc_furnace.txt:line:13"	"manual_text"	"REVIEW_NATIVE"	"sha256:bdae8c5e957c8cb16d5c88c48552b74915d74cf69d37bf6a50ce90f539c263ac"	"Материалы и добавки поставляются через два шлюза в верхней части конструкции, материалы - слева, добавки - справа от электродов."	"Материалы и добавки поставляются через два шлюза в верхней части конструкции, материалы - слева, добавки - справа от электродов."	"Inputs and additives are inserted through the two hatches at the top of the structure, inputs to the left and additives to the right of the electrodes."
"ie-manual:immersiveengineering:arc_furnace.txt:line:14"	"manual_text"	"REVIEW_NATIVE"	"sha256:cbae419d2b5b1995f14a76ce2e8100e02bb80d6e49877f5c6a16093a7a93d6fd"	"Семь слотов снизу - это шесть выходных слотов и один слот для шлака. Выходные продукты извлекаются из ""ковша"" в передней части конструкции, шлак - через порт в задней части машины. Дуговая печь будет автоматически перемещать выходные продукты и шлак в присоединённые хранилища (сюда входят и конвейерные ленты)."	"Семь слотов снизу - это шесть выходных слотов и один слот для шлака. Выходные продукты извлекаются из ""ковша"" в передней части конструкции, шлак - через порт в задней части машины. Дуговая печь будет автоматически перемещать выходные продукты и шлак в присоединённые хранилища (сюда входят и конвейерные ленты)."	"The seven slots at the bottom are six output slots and a slot for slag. Outputs are retrieved from the 'bucket' at the front of the structure, slag through the port at the back of the machine. The Arc Furnace will automatically push output and slag to connected inventories (this includes Conveyor Belts)."
"ie-manual:immersiveengineering:assembler.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:8ae5ed28f5a2be663429a2882e55e1a5ed9b387e668927ecc9d16fd8ff3e81c8"	"Сборщик"	"Сборщик"	"Assembler"
"ie-manual:immersiveengineering:assembler.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:fa17d3377f849c0ed3bdd00905c3ab4ab4cec0c30e9892e113507272a4c2717d"	"Требуется сборка"	"Требуется сборка"	"Some assembly required"
"ie-manual:immersiveengineering:assembler.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:9582f6ed7e230dab5e91603d4dd908461641952aa11d11f134688eae84601d85"	"<&multiblock>Сборщик - это сложная машина, способная создавать предметы, подобно тому, как это делал бы игрок."	"<&multiblock>Сборщик - это сложная машина, способная создавать предметы, подобно тому, как это делал бы игрок."	"<&multiblock>The Assembler is a complex machine capable of crafting items, similar to how a player would."
"ie-manual:immersiveengineering:assembler.txt:line:3"	"manual_text"	"REVIEW_NATIVE"	"sha256:9ef6a8525bb9c8644cdae13048cc5de30745f6a76ceee00074abbaae85baf7fd"	"Чтобы сформировать структуру, постройте её, как показано выше, и нажмите ПКМ Молотом по одному из конвейеров.<np>"	"Чтобы сформировать структуру, постройте её, как показано выше, и нажмите ПКМ Молотом по одному из конвейеров.<np>"	"To form the structure, build it like demonstrated above and use the hammer on one of the conveyors.<np>"
"ie-manual:immersiveengineering:assembler.txt:line:4"	"manual_text"	"REVIEW_NATIVE"	"sha256:4233aac85d065e0f430d71f96f2fcc72d98bf0ec2d1e4495f0af85dd1d910a59"	"Конвейер, на который вы нажмёте, будет входной стороной, обозначенной синим маркером и Стрелкой на стороне машины."	"Конвейер, на который вы нажмёте, будет входной стороной, обозначенной синим маркером и Стрелкой на стороне машины."	"The conveyor you clicked will be the input side, indicated by the blue marker above it and the arrow on the side ot the machine."
"ie-manual:immersiveengineering:assembler.txt:line:5"	"manual_text"	"REVIEW_NATIVE"	"sha256:57b141dda18ce4716a59128f9d30ca14a090af50fc859c55a321bc287c52dd9d"	"Сборщик позволяет хранить в себе до 3 рецептов, которые будут выполняться по порядку. Выходные данные предыдущих рецептов могут быть использованы в качестве входных данных для следующих рецептов."	"Сборщик позволяет хранить в себе до 3 рецептов, которые будут выполняться по порядку. Выходные данные предыдущих рецептов могут быть использованы в качестве входных данных для следующих рецептов."	"The Assembler allows for up to 3 recipes to be stored inside it that will be performed in order. The outputs of previous recipes can be used as inputs for following recipes."
"ie-manual:immersiveengineering:assembler.txt:line:6"	"manual_text"	"REVIEW_NATIVE"	"sha256:22c6673db958c35b8029a17ec9e79a8f03ab8b82f2d66e916ea4f980bc61c9bb"	"3 поля для крафта хранят рецепты, а 18 слотов под ними - это инвентарь для материалов.<np>"	"3 поля для крафта хранят рецепты, а 18 слотов под ними - это инвентарь для материалов.<np>"	"The 3 crafting grids store the recipes, and the 18 slots below them are the inventory for materials.<np>"
"ie-manual:immersiveengineering:assembler.txt:line:7"	"manual_text"	"REVIEW_NATIVE"	"sha256:5d6e27726acd65e8c6fa6393e707e424817941e171d11a6a8d1b646999039b65"	"На входной стороне, помимо порта для предметов, имеется также порт для жидкостей, необходимый для заполнения трёх внутренних резервуаров машины."	"На входной стороне, помимо порта для предметов, имеется также порт для жидкостей, необходимый для заполнения трёх внутренних резервуаров машины."	"The input side, in addition to an item input also  features a fluid input to fill the three internal tanks of the machine."
"ie-manual:immersiveengineering:assembler.txt:line:8"	"manual_text"	"REVIEW_NATIVE"	"sha256:98b64ec7aa74de21adcac58f91a0978ddb175d0b0614f0efe823e82f7b728582"	"Жидкость в этих резервуарах может использоваться для замены ёмкостей с жидкостью, таких как вёдра с водой в рецептах."	"Жидкость в этих резервуарах может использоваться для замены ёмкостей с жидкостью, таких как вёдра с водой в рецептах."	"Fluid in these tanks can be used to replace fluid containers like water buckets in recipes."
"ie-manual:immersiveengineering:assembler.txt:line:9"	"manual_text"	"REVIEW_NATIVE"	"sha256:026782535ae8b13339907ccd381793cd300ece2b5671a5b82b751e15c47ef8c8"	"Энергия для машины подаётся через верхний центральный блок."	"Энергия для машины подаётся через верхний центральный блок."	"Power for the machine is input through the top center block."
"ie-manual:immersiveengineering:automated_workbench.txt:line:0"	"manual_text"	"STALE_NATIVE"	"sha256:7ee7907304e79c40d3842f100b2f7de5983de76e056a2439a0067e7656c24c34"	""	""	"Automated Workbench"
"ie-manual:immersiveengineering:automated_workbench.txt:line:1"	"manual_text"	"STALE_NATIVE"	"sha256:d12c30d18ae31299c3ab33c28e9be3d37a399662739fa9c33f59f1f7271b20c7"	""	""	"For those who can't drive stick"
"ie-manual:immersiveengineering:automated_workbench.txt:line:2"	"manual_text"	"STALE_NATIVE"	"sha256:79a97295acedf7af6c13b73fb2bf9b42653d6cf222653c9005b7a881b64328db"	""	""	"<&multiblock>The Automatic Workbench is one of the first major successes of small-scale engineering."
"ie-manual:immersiveengineering:automated_workbench.txt:line:3"	"manual_text"	"STALE_NATIVE"	"sha256:07f7d556730f14fe952d63ef8c2651dea9e0e2d78b96865bfac7ed52709d0cd4"	""	""	"The machine is able to follow a set of instructions described by a <link;blueprints;Blueprint;start> to assemble the items detailed by it.<np>"
"ie-manual:immersiveengineering:automated_workbench.txt:line:4"	"manual_text"	"STALE_NATIVE"	"sha256:ae3302a622e36a34ba0101410ce6f46a4a44e03bdb29497358be9732d5e1cc20"	""	""	"Upon assembling the multiblock, a Blueprint can be placed on its drawing table. After selecting the item that should be created, it will begin the assembly process. In order for the machine to work, it will need to be supplied with materials and power.<br>"
"ie-manual:immersiveengineering:automated_workbench.txt:line:5"	"manual_text"	"STALE_NATIVE"	"sha256:add982d79a0bbf7255ed4e509a816b69976af649c16adab9265f54dfcfb70300"	""	""	"Item inputs are the two hatches marked with blue dots, the power input lies above them. Finished items are dropped at the end of the conveyor belt.<br>"
"ie-manual:immersiveengineering:automated_workbench.txt:line:6"	"manual_text"	"STALE_NATIVE"	"sha256:54f4530ad2344220c729a4cf60f3d422c95e7f3b15e7cd08297735372bf28dc3"	""	""	"Applying a redstone signal to the control panel below the drawing table will halt the machine's process, this behavior can be inverted by use of the Engineer's Screwdriver."
"ie-manual:immersiveengineering:balloon.txt:line:0"	"manual_text"	"STALE_NATIVE"	"sha256:85bddc940b3f42fa3ebdf517fd1e27fb99694fdbe384fbedeece2ad09d93fb7d"	""	""	"Balloon"
"ie-manual:immersiveengineering:balloon.txt:line:1"	"manual_text"	"STALE_NATIVE"	"sha256:94c1249a8a043fc4f13b5a0ef0e793e31b298a7d1f663d896170a7202b0cd793"	""	""	"...just make 99 of them"
"ie-manual:immersiveengineering:balloon.txt:line:2"	"manual_text"	"STALE_NATIVE"	"sha256:26f9a62004242bc8b2649782eb796b3fd560801cf2f90b3e6952680a18a6ff46"	""	""	"<&recipe>Balloons are sacks of fabric with a heatsource below to keep them afloat. They will emit light, but despite the torch, they are not a fire hazard."
"ie-manual:immersiveengineering:balloon.txt:line:3"	"manual_text"	"STALE_NATIVE"	"sha256:a6ee846705d646779ec18b21d4bdd77e2e3a477b875b23132f9a65779069c932"	""	""	"Balloons can be placed like normal blocks, or when no block is targeted, they will be placed in the air infront of you."
"ie-manual:immersiveengineering:balloon.txt:line:5"	"manual_text"	"STALE_NATIVE"	"sha256:8ac2df407b8c8a00410c0520a8c497ee12ed26661c847d1199d90494c9b4df5c"	""	""	"Similar to <link;metalconstruction;Structural Connectors;connector_recipes> you can attach Hemp Rope and Steel Wire to the balloon."
"ie-manual:immersiveengineering:balloon.txt:line:7"	"manual_text"	"STALE_NATIVE"	"sha256:72f2f39a1cee212aa4c479b6271bfb3852be869b17f658f3301fff5edab6cb55"	""	""	"Sneak-clicking while placing allows you to set a height offset for the balloon, allowing you to place it up to 5 blocks above the target. Sneaking and right-clicking on a balloon will let you pick it up."
"ie-manual:immersiveengineering:balloon.txt:line:9"	"manual_text"	"STALE_NATIVE"	"sha256:6e022dffb2adc32835309cac56e6d35d8826881a2beec04875c915d039f38e4e"	""	""	"You can also use dyes on a placed balloon; which part you dye depends on where you target it. Rightclicking with an Engineer's Hammer will toggle the balloon's design between horizontal or vertical stripes."
"ie-manual:immersiveengineering:barrel.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:944b38f979b82a505d1be1d6966acf1e5dc65bf8170c749b76e50c2243eb7cd1"	"Деревянная бочка"	"Деревянная бочка"	"Wooden Barrel"
"ie-manual:immersiveengineering:barrel.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:4de74767f494109f0f202918e954fef88be51e4ad576723f4ebb96d84067d0ec"	"Не катится"	"Не катится"	"Doesn't roll"
"ie-manual:immersiveengineering:barrel.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:ea29a0a48f0964a85bad7117f9a66443b168871ed8de9ac39ab71c6a4dcedd40"	"<&recipe>Деревянные бочки - это простые ёмкости, в которых можно хранить жидкость. Они будут хранить до 12 ведер, но поскольку они деревянные, они не могут хранить никакие газы или горячие жидкости."	"<&recipe>Деревянные бочки - это простые ёмкости, в которых можно хранить жидкость. Они будут хранить до 12 ведер, но поскольку они деревянные, они не могут хранить никакие газы или горячие жидкости."	"<&recipe>Wooden barrels are simple containers that can store fluid. They will store up to 12 buckets, but because they are wooden, they can't store any gasses or hot fluids."
"ie-manual:immersiveengineering:barrel.txt:line:3"	"manual_text"	"REVIEW_NATIVE"	"sha256:028c335eedf87b96db598c1878afd6573db95184b40038d5217a87c5abad2f5a"	"ПКМ Молотом по верхней или нижней стороне переключит режимы 'входа', 'выхода' или 'без подключения'."	"ПКМ Молотом по верхней или нижней стороне переключит режимы 'входа', 'выхода' или 'без подключения'."	"Rightclicking the top or bottom side of the barrel with a Hammer will switch between in-, output or no connection."
"ie-manual:immersiveengineering:blueprints.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:826b8f0108aec61567a3dbd13b021b29a1794354cc046b2c082c5ad8e431cbdc"	"Чертежи инженера"	"Чертежи инженера"	"Engineer's Blueprints"
"ie-manual:immersiveengineering:blueprints.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:ec1309e8b0dc1eede9a3bfa2bbf4132bdd3211ff88d15936a549287d97ac3d8a"	"Начать всё с начала"	"Начать всё с начала"	"Back to the drawing board"
"ie-manual:immersiveengineering:blueprints.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:01b60a2fb80cd917ebc13d4543b9a2db750a0d3f0543f68a44873418af90f8db"	"На этой странице представлены все чертежи инженера, которые могут быть созданы обычными средствами. Другие чертежи, возможно, потребуется приобрести у жителей деревень или найти в мире. Все они могут быть использованы в <link;workbench; Верстаке Инженера> для создания предметов, к которым они принадлежат."	"На этой странице представлены все чертежи инженера, которые могут быть созданы обычными средствами. Другие чертежи, возможно, потребуется приобрести у жителей деревень или найти в мире. Все они могут быть использованы в <link;workbench; Верстаке Инженера> для создания предметов, к которым они принадлежат."	"This page features all Engineer's Blueprints that can be crafted by normal means. Other Blueprints may need to be acquired from villagers or found in the world. All of these can be used in an <link;workbench;Engineer's Workbench> to craft the items they describe."
"ie-manual:immersiveengineering:bottling_machine.txt:line:0"	"manual_text"	"STALE_NATIVE"	"sha256:a283da28bbf43583866ae4d229f2c0204b75ac9d090fafbf84417541b97ffce0"	""	""	"Bottling Machine"
"ie-manual:immersiveengineering:bottling_machine.txt:line:1"	"manual_text"	"STALE_NATIVE"	"sha256:ca18b6fa2c4106e08def89fae0899ef9899333cc175624155e36145f4bb6fdc3"	""	""	"Fill 'er up!"
"ie-manual:immersiveengineering:bottling_machine.txt:line:2"	"manual_text"	"STALE_NATIVE"	"sha256:d3340d119ea57faf6f52bb146e98affcf7f4c3f2f6a080492b115ba53ca05ddc"	""	""	"<&multiblock>The Bottling Machine fills fluids into containers."
"ie-manual:immersiveengineering:bottling_machine.txt:line:3"	"manual_text"	"STALE_NATIVE"	"sha256:c2a698db9047ad553fd65aa847c2697adc6f51972bcea4a9f34b82d65905bff8"	""	""	"The structure is created as shown above, but can be mirrored. To form it, rightclick the central conveyor with an Engineer's Hammer. The direction of the conveyors is important.<np>"
"ie-manual:immersiveengineering:bottling_machine.txt:line:4"	"manual_text"	"STALE_NATIVE"	"sha256:a7f70b3b317c8d5dd6153e4c446dc829ce910ce6d564196b75556198aeaec4b5"	""	""	"The machine can store 8 buckets of fluid, which is input through the ports on the metal tank. Energy is input through the connection at the top of the opposing side.<br>"
"ie-manual:immersiveengineering:bottling_machine.txt:line:5"	"manual_text"	"STALE_NATIVE"	"sha256:540275d02184c87654a7aaa3013c3be5b64c25b940e718493aca0f5be6d155fc"	""	""	"Generally, the Bottling Machine will be able to fill any container that has a filled version available (bucket, glass bottle). It will also accept other items that can store fluids, like the <link;mining_drill;Mining Drill;start> or a <link;jerrycan;Jerrycan;start>."
"ie-manual:immersiveengineering:bottling_machine.txt:line:6"	"manual_text"	"STALE_NATIVE"	"sha256:3a179be3ec1ed8701ffb79757bc4be9c52878f9e704aa2513539334c66f33ad6"	""	""	"The machine will hold onto a container until it is completely full, or the machine is not being supplied with any more fluid. This allows it to fill even larger containers, provided it receives a steady input of fluid."
"ie-manual:immersiveengineering:bottling_machine.txt:line:7"	"manual_text"	"STALE_NATIVE"	"sha256:0a75252bb37f57984495da0e32dc0e23ec7e8ae859335f4915f97c80329adffa"	""	""	"This behavior can be disabled by sneaking and rightclicking it with an Engineer's Hammer.<np>"
"ie-manual:immersiveengineering:bottling_machine.txt:line:8"	"manual_text"	"STALE_NATIVE"	"sha256:08fb48a2ebe84137fef55a8f74284878a10f136567c7efb3c01e80ed99ef4a88"	""	""	"<&potions>The machine can be used to bottle any potions that were brewed in the <link;mixer;Mixer>.<br>"
"ie-manual:immersiveengineering:bottling_machine.txt:line:9"	"manual_text"	"STALE_NATIVE"	"sha256:d8c1643cb88bca6c29c1bf60276bcde54477c88740b77a43b8eeb360e674db5c"	""	""	"Additionally, it serves to create <link;plastic;duroplast items;duroplast_sheet> from resin and <link;redstone_acid;oxidize copper blocks;copper> with redstone acid."
"ie-manual:immersiveengineering:breaker.txt:line:0"	"manual_text"	"REVIEW_NATIVE"	"sha256:518d109ad772df41f238c0343afceb9bd7a42fd83fea7686bf7fd0152090008f"	"Выключатель"	"Выключатель"	"Breaker Switch"
"ie-manual:immersiveengineering:breaker.txt:line:1"	"manual_text"	"REVIEW_NATIVE"	"sha256:306653f454a7b06bdcceca69ea7c6dd36e7257edf62a9722e3627a398530a48a"	"Клац включил - Клац отключил"	"Клац включил - Клац отключил"	"Clap on - Clap off"
"ie-manual:immersiveengineering:breaker.txt:line:2"	"manual_text"	"REVIEW_NATIVE"	"sha256:6a095d4380fe5981950563a6779e0b378ae8762ebd59be95f78670b84f7bc007"	"<&manual_breaker>Выключатели - это просто переключатели, которые могут остановить поток энергии через провода. Они могут соединять два провода одного типа и пропускать энергию только при включении. Это может быть использовано для отделения энергозатратных машин от сети или подключения дополнительного набора генераторов, когда это необходимо! Из-за высокого риска эти переключатели не будут принимать высоковольтные провода."	"<&manual_breaker>Выключатели - это просто переключатели, которые могут остановить поток энергии через провода. Они могут соединять два провода одного типа и пропускать энергию только при включении. Это может быть использовано для отделения энергозатратных машин от сети или подключения дополнительного набора генераторов, когда это необходимо! Из-за высокого риска эти переключатели не будут принимать высоковольтные провода."	"<&manual_breaker>Breaker Switches are simply switches that can stop the flow of power through wires. They can connect two wires of the same type and will only allow power to pass when activated. This can be used to separate power-hungry machinery from the network or hook up an additional set of generators when needed! Due to the high risk, these switches will not accept HV wires."
"ie-manual:immersiveengineering:breaker.txt:line:3"	"manual_text"	"REVIEW_NATIVE"	"sha256:bde2336d57892297427332059a3464013bdd06f9ce974a3924f8fa9ca62058d8"	"Они также будут выдавать сигнал редстоуна, когда они включены; это поведение можно изменить, щёлкнув по переключателю молотом инженера."	"Они также будут выдавать сигнал редстоуна, когда они включены; это поведение можно изменить, щёлкнув по переключателю молотом инженера."	"They will also emit a redstone signal when they are switched on; this behaviour can be inverted by clicking the switch with an Engineer's Screwdriver."
"ie-manual:immersiveengineering:breaker.txt:line:4"	"manual_text"	"REVIEW_NATIVE"	"sha256:b87bb155696be22b5901fd6c4fb831f33a67bc1880761cef86ff13b3218166df"	"Кроме того, они являются отличным способом управления вашими <link;lighting;светильниками;electric_lantern>!<np>"	"Кроме того, они являются отличным способом управления вашими <link;lighting;светильниками;electric_lantern>!<np>"	"Additionally they are an excellent way to control your <link;lighting;powered lights;electric_lantern>!<np>"
