id	source_hash	translation
block:block.beachparty.palm_wall_torch	sha256:e10de25b76477128befdcb5a4c36d724b80bdcc5a266f5b2053176c1e91e465f	Пальмовый настенный факел
block:block.botania.fake_air	sha256:f6fb23ed03ab1b0a6f1aacb3e8e9e9ec587f8db70421b311772da33b0c1b2f5b	Служебный воздух
block:block.botania.gaia_wall_head	sha256:aebf7dffb445e362374762a52800f3ac5f52c275c03bde20c127275262306473	Настенная голова Гайи
block:block.botania.solid_vine	sha256:105bcabb7bf69f2afbe0c2b218fded948a1c49de5dd2b21f9d9ddbf8418df21a	Твёрдая лоза
block:block.chalk.black_chalk_mark	sha256:a042faf08e88e84d0fbe3990d5406b4a0756024f570ccfc93c808e39c4740516	Чёрная меловая отметка
block:block.chalk.blue_chalk_mark	sha256:6f06012af3803561f502204e9ef5a9d57b6d2668dd0fe239676084e21282b7d7	Синяя меловая отметка
block:block.chalk.brown_chalk_mark	sha256:3479a7302b3b1d25d662681d5b7a9eee205c54896b57f58fddb3611103458cd9	Коричневая меловая отметка
block:block.chalk.cyan_chalk_mark	sha256:137239d427ca7fee1158aca29faf00f8117d5f13d610fe45c527c39d4bcb70d9	Бирюзовая меловая отметка
block:block.chalk.gray_chalk_mark	sha256:4439f4caf8b073be9efbad9cdf5724b7c8625228e27f270a6c97ab27635970ae	Серая меловая отметка
block:block.chalk.green_chalk_mark	sha256:ef8d4df3e204d9e8e70e9233eb61f8661500dc65d22cd598ea93fe6771e08233	Зелёная меловая отметка
block:block.chalk.light_blue_chalk_mark	sha256:65deeccd46273bc12b3993deae7b24032d97bd429a32d25bdd5ec467bec63cee	Голубая меловая отметка
block:block.chalk.light_gray_chalk_mark	sha256:ae5d392b1d87dd68d5e3ba08ef51d2c189f331e38dac8a8c5daee7fc473f95bf	Светло-серая меловая отметка
block:block.chalk.lime_chalk_mark	sha256:b63b50b826b6eb99ef00e31174a4e746172a7c913f8b1c465a7d4aa0b604d2bd	Лаймовая меловая отметка
block:block.chalk.magenta_chalk_mark	sha256:c2b295a3c58b8c4f512672bac4fc59e33cc0d673f075109146288d22fe533e7d	Пурпурная меловая отметка
block:block.chalk.orange_chalk_mark	sha256:7a46b0339828fecfb61eb272d8c50e9a03a9e67f2ea2fd93d44a96ee75e223d7	Оранжевая меловая отметка
block:block.chalk.pink_chalk_mark	sha256:c4d6f0951b5a70431989732637fa252f9b98f7747c26c27a36aa298807383f52	Розовая меловая отметка
block:block.chalk.purple_chalk_mark	sha256:a26904808a7d199897f8b11b88cbdd96ad99cffd15fb435ada330ce16b757d5b	Фиолетовая меловая отметка
block:block.chalk.red_chalk_mark	sha256:f850de7b13bb92e5e380ab6e79f097281e7e519a48123b3ac80803229f18b665	Красная меловая отметка
block:block.chalk.white_chalk_mark	sha256:0ffd1ec6f244c6cf05d7c49d0266777fd7ead85f9fcf9c4ab7490d44b6de0e8a	Белая меловая отметка
block:block.chalk.yellow_chalk_mark	sha256:09a0218f0104e023b29a1006885e226b446dca78c07111602d094d0f0206f65d	Жёлтая меловая отметка
block:block.citadel.lectern	sha256:82cd1b948b8447de6c0b2502280d26376a57d83d3e67543c1a617d250b742ddd	Кафедра
block:block.cofh_core.ender_air	sha256:c466991a991b1b0274e8bc9ab528d0aa7f5e866eb2748b2ddfd73eeeb2a26291	Эндер-воздух
block:block.cofh_core.glow_air	sha256:75776f84d4aa1444f55918c53f0659a524c8e14966b88c3b18f6e5478a4aa96a	Светящийся воздух
block:block.cofh_core.lightning_air	sha256:b7e1a0adb71c6d7af937fc10524742700aabb16d886aaef9aca2991f4d25e417	Грозовой воздух
block:block.cofh_core.signal_air	sha256:c3e82a939dc6f6df3443252456c541c3fad5f276f99915f505f87d4fbf1b60ab	Сигнальный воздух
block:block.create_central_kitchen.mulberry_pie	sha256:49f8299685624d947ba82e11c075b953f7b75ab54c0e05c87f5ba10d929b5216	Тутовый пирог
block:block.create_central_kitchen.pumpkin_pie	sha256:8e7aed3a153765937c5815a38bacc55878f1e0c5c91da69a0ef879ac7b3184c0	Тыквенный пирог
block:block.dtneapolitan.banana_bunch	sha256:a88a8fb9ef89c6b05dc63a39b43a000a250e8c9cfaf7dbc5317399b3b318686b	Связка бананов
block:block.dtneapolitan.banana_leaves	sha256:ab3bcde3fdabe83a275e78a4cc2bb871bd961988ccfb880ae4e339cb69dd35a3	Банановые листья
block:block.dtneapolitan.banana_sapling	sha256:5a591cfece8dcc105082d7f54c395f43960f9b4594c050c1379a1e20a316b22e	Саженец банана
block:block.dynamictrees.acacia_leaves	sha256:1d28a3442710e1c63cd78185234887a2dd8e462a0df6b860239681aa04f7223a	Листья акации
block:block.dynamictrees.acacia_sapling	sha256:86a5b89ab1adae991497ebaa7774d7665328dea1c9f5103a4b3235fd0cfce956	Саженец акации
block:block.dynamictrees.apple	sha256:f223faa96f22916294922b171a2696d868fd1f9129302eb41a45b2a2ea2ebbfd	Яблоко
block:block.dynamictrees.apple_oak_sapling	sha256:aaf2cb3b38414df14fafef7071dbd5ba124f7af107990451ada9f3ef52a1c756	Саженец яблони
block:block.dynamictrees.azalea_leaves	sha256:84a4ab736f29a9cf942b29c5728390733343d7dc50e1214fb82a3ad75854f52d	Листья азалии
block:block.dynamictrees.azalea_sapling	sha256:6afdabde9872748fedcf2a5247697fe037daa235762c56aa4d53333daa7ae598	Саженец азалии
block:block.dynamictrees.birch_leaves	sha256:2494ae934dec8859069b5fc4ed44ad2578258eda75de994852cf2046f3819826	Листья берёзы
block:block.dynamictrees.birch_sapling	sha256:de0e9648f7bea5f15e5b314d3fc74bb819c1c465014bb9acea1eb2662863b960	Саженец берёзы
block:block.dynamictrees.cherry_leaves	sha256:0b6dda04f4e2e01e2aceb2603fe1dcec4c8bcdcbca31e1cfe50a52441f44325f	Листья вишни
block:block.dynamictrees.cherry_sapling	sha256:839e8e94520c8ec1db2add96f136e6e2a495f92d46246b782749e12e2e4f46bf	Саженец вишни
block:block.dynamictrees.cocoa	sha256:527859c0ad13e24ca8c9b65edd36de55aaf1b66a5c4a1419865a5e77a9447184	Какао-бобы
block:block.dynamictrees.cocoa_sapling	sha256:dcbe722bcd1b615dc4f7c31cfd236056aee0112be3e458573a1137d99ca428d5	Саженец какао
block:block.dynamictrees.crimson_sapling	sha256:76477d14a416fc6163430006a15825c3da04a5f760ab5442a58da2168f4e6c8a	Саженец багрового дерева
block:block.dynamictrees.crimson_wart	sha256:eb9d9b15f14640b3e0cbbe1bbd1a37b01ba2b57939fc2e10cb777dfeaba9b82c	Багровый нарост
block:block.dynamictrees.dark_oak_leaves	sha256:29af0a7fda526e25a32c63029d0ddf4fbbbbb4ca72f768a99f23122dec4f9d63	Листья тёмного дуба
block:block.dynamictrees.dark_oak_root	sha256:c3c55354bc19e792278fe79938774b95cef6996016085eb081dc25d52a2ab988	Корни тёмного дуба
block:block.dynamictrees.dark_oak_sapling	sha256:819204139aa1f3da7715f86de0d16e83fd602a5cc3b1aa6eb11f5e27c1f15162	Саженец тёмного дуба
block:block.dynamictrees.flowering_azalea_leaves	sha256:a9910ecec08de94380fc8500cde64e7ba7708f46b2defbf015c50a34e3e86182	Листья цветущей азалии
block:block.dynamictrees.jungle_leaves	sha256:e4947cb16f7bf364a4730e4a3a94eb905365427326a6abf03f02c809a7f16024	Листья тропического дерева
block:block.dynamictrees.jungle_root	sha256:6fdece7d34f03b13fd784681049c853b8d391843cfbed17feede9320225c348d	Корни тропического дерева
block:block.dynamictrees.jungle_sapling	sha256:48ca027b99dc37d383b64349074c9347a0ec93ec8ec0d420e3fffc4f29990d7a	Саженец тропического дерева
block:block.dynamictrees.jungle_undergrowth_leaves	sha256:14dba1ea01754e43706391c7550501ef8d7858b520173fa775db957d3493a62d	Листья тропического подлеска
block:block.dynamictrees.mangrove_leaves	sha256:b0f56af57ab23df1b86b51e122e670db2d5d978fda7f0c77ee10d164265fcc6f	Листья мангрового дерева
block:block.dynamictrees.mangrove_sapling	sha256:942cebbbc74b5340a3e6fdd3568ffc4c4920117557993fbf4dcd4d005479a80b	Саженец мангрового дерева
block:block.dynamictrees.mega_crimson_sapling	sha256:161fa086bee83396f249edfffe3280fd9a1ce715a14a9983fd23dc810cfd0c60	Саженец огромного багрового дерева
block:block.dynamictrees.mega_jungle_sapling	sha256:6cf8a517243d68f4e78b989f5225e391266f64dd09de9ce251f2538b25d109b0	Саженец огромного тропического дерева
block:block.dynamictrees.mega_spruce_sapling	sha256:7e77c48b75385390d3cd02f32e97bc5d1cdfa2c674df48e476e39c55583d7ac2	Саженец огромной ели
block:block.dynamictrees.mega_warped_sapling	sha256:507942d24d88f9bb2c6cc76112d8ba64125e961228d7e5402ba1af6995b6b4e7	Саженец огромного искажённого дерева
block:block.dynamictrees.oak_leaves	sha256:e86e16374e0d5c6df5e67fe883c0dfee14be6a17867d53e86d0b5a571c40aba1	Листья дуба
block:block.dynamictrees.oak_sapling	sha256:53b330b6c32cf7a7e1912d881cadd2d4695daea332407cccc07474a508dd3a18	Саженец дуба
block:block.dynamictrees.oak_undergrowth_leaves	sha256:4d4fc8eebb3d3c13d8b28b9af33fb6d5e3acc96419d0938a448fb77d28c0900c	Листья дубового подлеска
block:block.dynamictrees.rooty_brown_terracotta	sha256:2cf65dffa038ec25ae17ed74e37aa90e18ca1a56e6040abec1eb095161e2005c	Корневая коричневая керамика
block:block.dynamictrees.rooty_clay	sha256:667066560a46154c44cd104b423fd514a565e7cf5bf739415a74890f2d3e78ce	Корневая глина
block:block.dynamictrees.rooty_coarse_dirt	sha256:c915ac295e11c508204a8a327d7408db238a4714e5de8a22a52d6eb78a70b095	Корневая каменистая земля
block:block.dynamictrees.rooty_crimson_nylium	sha256:dcb621282b2c3a8fb95dc766a1ae0c78989c9ef20f96ba55f8ea589a52e9bdf4	Корневой багровый нилий
block:block.dynamictrees.rooty_dirt	sha256:74c45bb16468dc0cbff7cb05a9c1c652eb860901ca60e85bad782934dd7180c6	Корневая земля
block:block.dynamictrees.rooty_end_stone	sha256:5a081595ffcd55a938885e83b8a245ff101c57c75d5cbad1de144785e16f0698	Корневой эндерняк
block:block.dynamictrees.rooty_grass_block	sha256:3fa2843cf0cf581970c47d0342d68509f0dcb1e9aee32ae7eac4b19b286035cf	Корневой дёрн
block:block.dynamictrees.rooty_gravel	sha256:06b1d2fc8358b536ce3c5e6d8f826157b01026bc576b3ee71cdd1f59d9497f11	Корневой гравий
block:block.dynamictrees.rooty_light_gray_terracotta	sha256:3a6a29c89ab88dcb6044255003ef50c6f32a16eae77b7e50a8e9967ce067ec78	Корневая светло-серая керамика
block:block.dynamictrees.rooty_mangrove_aerial_roots	sha256:2d6d90872e9e4e416c62016e91c15f18952b75d2706ee950dec64b71e1e874b1	Воздушные корни мангрового дерева с корневой сетью
block:block.dynamictrees.rooty_moss	sha256:26f0ab632c2fcbaf10785f83b0134f803267264a860653a72a57d8b81e21df41	Корневой мох
block:block.dynamictrees.rooty_moss_block	sha256:be35a70e0dd9f54fca993f619b43993112db5ff90cc50a2fa645b8799be37756	Корневой блок мха
block:block.dynamictrees.rooty_mud	sha256:36779a6a91e2cc0ac7f3d7d66458b673776e740402ccab8dfd835cf4416feb53	Корневая грязь
block:block.dynamictrees.rooty_mycelium	sha256:92e6856bf7df60c6702f4537ab2ab84733c8aba30c67e5a34c36bf8c3a70eac7	Корневой мицелий
block:block.dynamictrees.rooty_netherrack	sha256:ac7d8d7524e4efa9dc9da60fbc6c92d5c80169d75e240c654d73017ef91da01d	Корневой незерак
block:block.dynamictrees.rooty_orange_terracotta	sha256:2d1d362f031fa7aa1099d5bfde14b816032f0e9346886578542656814a90e629	Корневая оранжевая керамика
block:block.dynamictrees.rooty_podzol	sha256:15db8554ca609001cb7430b27135c8ee062958aa35432e3b7037da33f595b3fd	Корневой подзол
block:block.dynamictrees.rooty_red_sand	sha256:87152b474e66f80a15a7f7c2a490502f147427a321ddf10ee95898b747b4d6af	Корневой красный песок
block:block.dynamictrees.rooty_red_terracotta	sha256:2275974ab746bc3b6daf58265676dad0e2bdb68e8bb03ddb3517d788a16a0fc7	Корневая красная керамика
block:block.dynamictrees.rooty_rooted_dirt	sha256:8cfae71ad9bf1ba87aae7bd81af16fd481c3e07064dbf9a1a9a77c89cf5dc263	Корнистая земля с корневой сетью
block:block.dynamictrees.rooty_sand	sha256:fb5e63c8bb80dad3ee693e8a62ee450c3809fe8dbb4d7f072075c6e058e144cf	Корневой песок
block:block.dynamictrees.rooty_soggy_carpet	sha256:b3d5d2d71beb2633e3ff18fe8dab3884005f37b58ed36d56484e8921ef4b0c40	Корневой мокрый ковёр
block:block.dynamictrees.rooty_soul_sand	sha256:362ee5f2f7de498afed7eb6dd352880822cd785cae44a52b02d7468fc88cba00	Корневой песок душ
block:block.dynamictrees.rooty_soul_soil	sha256:ce2d3e493c86dd84145491061967aaa29d6dfe9ee468ed529a1927b23a15433e	Корневая почва душ
block:block.dynamictrees.rooty_terracotta	sha256:d378866816436b8dab2102cd7032d898d5f24f1ece08cbead44feacc84bff036	Корневая керамика
block:block.dynamictrees.rooty_warped_nylium	sha256:037fe09fcfcf7b8bf285bd3fea56b483f329fbeb489a59f34dd58db99571a40f	Корневой искажённый нилий
block:block.dynamictrees.rooty_white_terracotta	sha256:db7a6689534f2826ac3407dd314b4c93f97cc1b8dbc029ca6453057d506f9c4d	Корневая белая керамика
block:block.dynamictrees.rooty_yellow_terracotta	sha256:77b132cb37d2fa1580f5e07a79d275457e639617b7e84683198a7b3c99f4d02b	Корневая жёлтая керамика
block:block.dynamictrees.spruce_leaves	sha256:b500cc8b6ce6f3a5e7ed13dfd383d8c2c9568b592dce2cffdd053d3234706bab	Листья ели
block:block.dynamictrees.spruce_sapling	sha256:77a265c84ac44dafed5f48aaae3cf453d794738e13b3b45c16060012c59b1cd3	Саженец ели
block:block.dynamictrees.stripped_acacia_branch	sha256:0c9c6225b3800a19636d08a87fa5192e160c98f2c8fe9965e0477bc7112971ab	Обтёсанная ветвь акации
block:block.dynamictrees.stripped_birch_branch	sha256:4568f8fefba222eb2eec9a0d95e52a019d9ccfdc46c3b264c6eae3e26851088d	Обтёсанная ветвь берёзы
block:block.dynamictrees.stripped_cherry_branch	sha256:be5ab2ae104a9b1c600eac6486fcc579b3280dd231788809fa71d3b202e68071	Обтёсанная ветвь вишни
block:block.dynamictrees.stripped_crimson_branch	sha256:ed6fb2d68c40c456ab8d0132321342a2f0e63c18d61d8bb67ec6e37c4018cf77	Обтёсанная ветвь багрового дерева
block:block.dynamictrees.stripped_dark_oak_branch	sha256:2d10442b30d51a40ad6eccfa2807fe50791d720f023c7b894ac2d27648af6b4a	Обтёсанная ветвь тёмного дуба
block:block.dynamictrees.stripped_jungle_branch	sha256:18b0aa3ec711e509cd15ce9f1a32d2dd31ba4420868e29d1e0a90bfe5a79cd86	Обтёсанная ветвь тропического дерева
block:block.dynamictrees.stripped_mangrove_branch	sha256:969b5c528da3e0001858c2a13dd96f2eb11c43140e0be1ae1650993847fb4696	Обтёсанная ветвь мангрового дерева
block:block.dynamictrees.stripped_oak_branch	sha256:6d73d3f06ec6b1ec31e786ac51c6db9ad083e6f24ccfce140e4eae88471c4bee	Обтёсанная ветвь дуба
block:block.dynamictrees.stripped_spruce_branch	sha256:28e9b3366f86fbb089a54c3d65bdbdd63b2e5683ab8c3d6024ad2e34a03912ce	Обтёсанная ветвь ели
block:block.dynamictrees.stripped_warped_branch	sha256:60560fca1082218de5263ed34bb9ff40c659db235c22ce5c76cc4b381043530b	Обтёсанная ветвь искажённого дерева
block:block.dynamictrees.swamp_oak_sapling	sha256:4df85deed4e6b3bd1b0d839d05892bedae7785a5c7630ea703c65d365bfaf459	Саженец болотного дуба
block:block.dynamictrees.tall_birch_sapling	sha256:8dcba3c653ce5e0ae11001497c6dafb3902d81cf2fe8dd07cdbc0b37ab617916	Саженец высокой берёзы
block:block.dynamictrees.trunk_shell	sha256:df735cbb0fad07b5fcb5263b49ae5a8532c0ca88aeb5598b60fb87aaa128a016	Оболочка ствола
block:block.dynamictrees.warped_sapling	sha256:20c7023a643eb2c4b46ac21d3cd255f2d6481b46c86aa70f8511e46f2bf88858	Саженец искажённого дерева
block:block.dynamictrees.warped_wart	sha256:206ac5916db933d758758bc83baa735d059d8d10e0f02b26be6cedff60858d6d	Искажённый нарост
block:block.eidolon.illwood_hanging_wall_sign	sha256:c27fef767b54fd51f15a80d445deb411bc83226f37df721c1e0d23603c2677cd	Настенная подвесная табличка из иллвуда
block:block.eidolon.illwood_wall_sign	sha256:120c8b450df17e522c7bd828d3e698e43aade0cd92932476d7cf28d20c87cab8	Настенная табличка из иллвуда
block:block.eidolon.polished_hanging_wall_sign	sha256:97bcf68ee4efd4799bc23db880b437f1228922c557fa43ccd2b3d7fed64df740	Полированная настенная подвесная табличка
block:block.eidolon.polished_wall_sign	sha256:e2291c527dd0574d3304e4dfee08373d0ad2348c5f6bdac468772a4211e6f9ea	Полированная настенная табличка
block:block.enderchests.ender_chest	sha256:e9f0cac2f83470cb30a7c261806fde61c27d23e0246665b1ede10f490b97915d	Эндер-сундук
block:block.enderio.clear_glass_a	sha256:49c9c1653a726e67b85641a9da06287a1884ed8d2a9328292c1ea57db182d973	Чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_black	sha256:02f1241d956c41b5174d166a619aca6586342f3dd65a74cd1d9f19da14316bcd	Чёрное чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_blue	sha256:7305cf5f2d183203ff1f778a43d79b12f0d9365e41c80313789820cfb0bbf720	Синее чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_brown	sha256:758a682ca5dc382dbfc248eb442a56b2d92e81484fc0f573808001a17ff61500	Коричневое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_cyan	sha256:7458476c221d28eafb8fbfcdd29fd999921f3bca7cd0e85922171425db0e14e9	Бирюзовое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_gray	sha256:65d4f4e70baeac11c00e899134485d7a9d85ac1233a7ec3e8951035827c8e902	Серое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_green	sha256:c2605244e0b4d58d1e724b7ef0ec30e82b99b2373be64a5c41c2bb6972199d2d	Зелёное чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_light_blue	sha256:b995de02635bec8af1cb684f61e0060289906263a96edf3beb95eb89bc5660c3	Голубое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_light_gray	sha256:55f56c791787610d4afb9d211262442cf1308e5520a4f955a8bf739913ee8ef4	Светло-серое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_lime	sha256:1cb3b2734e59c52b2d33973ead04fee9b4dea26844d665225d24265a0ea1e607	Лаймовое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_magenta	sha256:5942da02043d148328103171ea87c7398c770d9014ea4c5cdb663e09fe0e0c9c	Пурпурное чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_orange	sha256:970c0f1c2b46a0aaec0da8faf37e0e57542f7e0f2656e84a299bc4c74a7aabe5	Оранжевое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_pink	sha256:1f52313b2162a711d194fa199178bf3f8bfa630dddccd3a8354994048c0d6628	Розовое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_purple	sha256:a2a8ddaed4ecc90cb48c517fa13c5593e2fbc16337ce9d3a23b2b879460b3688	Фиолетовое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_red	sha256:e146a5dfe27e095d10f3dabbc672ec646062c3fe4452db74f04caabed11a4837	Красное чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_white	sha256:ac06da65def924f10e3a39747f342bf048f8cb403a3ba93b1bad1ad51e6e1919	Белое чистое стекло (проходят животные)
block:block.enderio.clear_glass_a_yellow	sha256:d2dbd2062a58c8f56f6567f0252862e842a90e172606e364a2833025b3da60c6	Жёлтое чистое стекло (проходят животные)
block:block.enderio.clear_glass_da	sha256:ce29675ccde29edce5104ee014b706ff559fb4570eb2c0677cf46030bbd1a4ac	Затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_black	sha256:249c1283d679361c1baa4ac7967fbedf5ac081ea15955bca953c5146e085c40e	Чёрное затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_blue	sha256:9d441d070c61367bd23e4ac1f3eb507a7b89c1124e8144e74e9487a38f47987d	Синее затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_brown	sha256:4dae661d8ef7bdc88e215e14aa16a274b2e2f393c89549774dd0f10c42210780	Коричневое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_cyan	sha256:50a0c44727671448685c303faced5f5e4fb42502b043d9cfaa53afcbf58591a2	Бирюзовое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_gray	sha256:2b12a2ba1ca2150badfcd7838714e16486c7f07f63f7b0904643334332c75e27	Серое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_green	sha256:00ea291c3488fd94c46d5d02c667513f1e6e0b073e57cad6f7097726f5420f8c	Зелёное затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_light_blue	sha256:a7e68849e0989be75eb8dde66e695e9918f3928e5ad50bb54f83884ed2ee0dbb	Голубое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_light_gray	sha256:4aa3c9c20c4ec514be53aa1ef266a661caa13ea41e7d04fb0227df6bdfcbcf2c	Светло-серое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_lime	sha256:5f8b951c8617096efb9c955eee390b62bb50bae4f6ba5057597d666f9404cf05	Лаймовое затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_magenta	sha256:b3b623d81011a5c82393fde091555905fe2a078cce87230a43d6776f786fe765	Пурпурное затеняющее чистое стекло (проходят животные)
block:block.enderio.clear_glass_da_orange	sha256:836b9027894d2e91f346873336b5a313e3d7d063aa3d1a6ecc39df6bf8e81979	Оранжевое затеняющее чистое стекло (проходят животные)
