id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-json:thermal:guidebook:categories/plants.json:/name	sha256:b81ce6bddc184917f5ba6e4acb98baa1dab41ba28675975261f0c21874f82582	Plants	Растения	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	8		
patchouli-json:thermal:guidebook:categories/storage.json:/description	sha256:c567e16383ccc78595334338389c434764642299944ce414f752f5a7776a27f8	These hold lots of a thing. You can technically use a row of them to move stuff, but ducts are WAY better for that.	Технически их можно спамить как импровизированные трубы.	LENGTH_EXCEPTION	Вмещают много одинаковых предметов. Из ряда таких хранилищ можно соорудить транспортную линию, но трубы подходят гораздо лучше.	Исправлены смысловое расхождение, калька или неестественная русская формулировка. Естественный полный вариант превышает мягкий предел 110%.	56	127	2.268
patchouli-json:thermal:guidebook:categories/storage.json:/name	sha256:a69c4dece144a46e40d430726395533d8f335a7d601d8ca292220b3a4a7faca4	Storage	Хранилища	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	9		
patchouli-json:thermal:guidebook:categories/storage_and_transport.json:/description	sha256:1914c7a06d3b49b56393c513626fa3b33fe1af8b48a1f6084c5276220cbb885c	This section deals with storing and moving things such as resources and mobs.	В этом разделе рассказывается о хранении и перемещении ресурсов и мобов.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	72		
patchouli-json:thermal:guidebook:categories/storage_and_transport.json:/name	sha256:e00cf1a1e8fe52ed807ce6f214653a3e0c140f7290685289616512c99402dab5	Storage and Transport	Хранение и транспорт	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	20		
patchouli-json:thermal:guidebook:categories/technology.json:/description	sha256:ea5ad226de797309d7d912b80c398a542fa5074ea12e7d0e957fe0fb2a7613bc	Pro tip: Alt-Shift-Clicking any fluid or Redstone Flux gauge in a machine will clear it, voiding the stored fluid/RF.	Совет профессионала: Для очистки контейнера от жидкости или энергии кликните ЛКМ, удерживая «Alt» и «Shift».	CHANGE	Совет: Alt+Shift+ЛКМ по шкале жидкости или RF в механизме очищает её и уничтожает содержимое.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	108	93	0.861
patchouli-json:thermal:guidebook:categories/technology.json:/name	sha256:3169ce6442acdc8192ea935cfc09f6110dc31899379717f3b43c3b9045a27dd2	Technology	Технологии	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	10		
patchouli-json:thermal:guidebook:categories/tools.json:/description	sha256:53d665ad47ffc5486d115a66a85f6ce8481493de8225047e002ac439492dbd60	Steps to augment your tools:$(li)Place augmentable item in the Workbench$(li)Set Workbench to Mode: Augment$(li)Place augments in the item slots$(li)Set Workbench to Mode: Recharge/Refill, and/or remove the item from the Workbench$(li)Profit	Шаги по совершенствованию инструментов:$(li)Положите в $(l:thermal:technology/tinker_bench)верстак мастеров$(/l) улучшаемый предмет либо блок;$(li)Установите в верстаке режим: Совершенствование;$(li)Поместите улучшения в специальные слоты;$(li)Установите в верстаке режим: Зарядка/Заполнение;$(li)Возьмите предмет с верстака.	CHANGE	Как улучшить инструмент:$(li)Поместите улучшаемый предмет в верстак$(li)Выберите режим «Улучшение»$(li)Поместите улучшения в слоты предмета$(li)Выберите режим «Зарядка/Заполнение» или заберите предмет$(li)Готово	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	259	186	0.718
patchouli-json:thermal:guidebook:categories/tools.json:/name	sha256:ea93d6a262ecb87a9fa4d09edbd7654c046597936a8e235fc3949eb01775ff99	Tools	Инструменты	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	11		
patchouli-json:thermal:guidebook:categories/world.json:/description	sha256:514973a89393819956f8d9eae9936693ef6db7ac9f64c3cd3b496fc3979f0877	Everything that the Thermal Series adds to the world around you. Resources, monsters, and more.	Всё, что Thermal добавляет в окружающий мир, от металлов до мобов.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	66		
patchouli-json:thermal:guidebook:categories/world.json:/name	sha256:78ae647dc5544d227130a0682a51e30bc7777fbb6d8a8f17007463a3ecd1d524	World	Мир	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	3		
patchouli-json:thermal:guidebook:entries/equipment/armor/beekeeper.json:/name	sha256:93252736a476d220ed3a61d7e7d94c23a5a4534a3227bcdf9b8c5622686a07d4	Beekeeper's Suit	Костюм пчеловода	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	16		
patchouli-json:thermal:guidebook:entries/equipment/armor/beekeeper.json:/pages/0/text	sha256:7c4c5adbe220fb3a8dea2164b7e857c494bc4121988a450897de9b8f7a8badae	The Beekeeper Suit will protect you from any sort of stings you may encounter at the cost of durability. Such examples are cactus, berry bushes, and obviously bee stings. Do note that in order to be $(o)fully$() protected you must have the full suit on! $(o)Bee$() careful, since durability is still used even with a full suit.	Костюм пчеловода защитит от любых укусов, ценой потери прочности. Примерами служат: кактусы, сладкие ягоды и, очевидно, укусы пчёл. Обратите внимание: чтобы быть $(o)полностью$() защищённым нужно быть в полном наборе костюма! Будьте осторожным: даже при полном наборе костюма, его прочность расходуется.	CHANGE	Костюм пчеловода ценой своей прочности защищает от любых жал: кактусов, ягодных кустов и, конечно, пчёл. Для $(o)полной$() защиты нужен весь костюм! $(o)Будьте$() осторожны: даже полный комплект всё равно теряет прочность.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	296	208	0.703
patchouli-json:thermal:guidebook:entries/equipment/armor/beekeeper.json:/pages/1/text	sha256:1a96a96eb4f35fbcd147bb030711f35fb1aa33a55bca7b63094fa5046e521b9c	Fabric used for all beekeeper equipment.	Ткань, используемая во всём костюме пчеловода.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	46		
patchouli-json:thermal:guidebook:entries/equipment/armor/diving.json:/name	sha256:861574cc5d1520acbbb030f65f31482864ba8cbb5d7344e8da46abb252f58f0e	Diving Suit	Водолазный костюм	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	17		
patchouli-json:thermal:guidebook:entries/equipment/armor/diving.json:/pages/0/text	sha256:76a04756a29d336d3bbf0963920a8859e8b82c47fc5badddfa1b83bceb62c9f0	The Diving Suit will allow you to explore underwater depths with ease. Allows you to swim faster, breathe longer, and mine faster underwater!	Водолазный костюм позволяет с лёгкостью исследовать подводные глубины. Позволяет плавать быстрее, дышать дольше и добывать быстрее находясь под водой!	CHANGE	Водолазный костюм упрощает исследование подводных глубин: вы быстрее плаваете, дольше дышите и быстрее добываете блоки под водой!	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	150	129	0.860
patchouli-json:thermal:guidebook:entries/equipment/armor/diving.json:/pages/1/text	sha256:9557ed361b5d4a540f017af684b745d955246699bbb69601394af12f97873599	Fabric used for all diving equipment.	Ткань, используемая для всего снаряжения водолаза.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	50		
patchouli-json:thermal:guidebook:entries/equipment/armor/hazmat.json:/name	sha256:e9f48c7e096420b3aff05f6047ca90059591356e7dc8405bdb2cdaf674b2ad49	Hazmat Suit	Костюм химзащиты	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	16		
patchouli-json:thermal:guidebook:entries/equipment/armor/hazmat.json:/pages/0/text	sha256:24734d005c78f622555da2d563d3737253dc141c3b5aec86c5c8d6e523e2a6b9	The Hazmat Suit will protect you from environmental hazards such as burning, fall damage, and status ailments. The entire suit is needed for full protection! Durability is consumed when preventing status effects and fire.	Костюм химзащиты защитит от опасностей окружающей среды, таких как горение, урон от падения и других недугов. Для полной защиты требуются все компоненты костюма. Прочность расходуется при предотвращении негативных эффектов и тушении.	CHANGE	Костюм химзащиты защищает от огня, урона от падения и эффектов состояния. Для полной защиты нужен весь комплект! При защите от огня и эффектов костюм теряет прочность.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	233	167	0.717
patchouli-json:thermal:guidebook:entries/equipment/armor/hazmat.json:/pages/1/text	sha256:098a48f522f4e8d2b4b1df23f3c63853e9715b871f06d575ff83e07331c824b5	$(o)Orange sus$()	$(o)Оранжевое суфле$()	LENGTH_EXCEPTION	$(o)Оранжевый подозрителен$()	Исправлены смысловое расхождение, калька или неестественная русская формулировка. Естественный полный вариант превышает мягкий предел 110%.	15	22	1.467
patchouli-json:thermal:guidebook:entries/equipment/charges/earth_charge.json:/name	sha256:45f4849ffd1861661161e73243ab60ce0156b1e9814019b3f58226d4848b93c5	Earth Charge	Земляной заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	14		
patchouli-json:thermal:guidebook:entries/equipment/charges/earth_charge.json:/pages/0/text	sha256:1631875fd4a5ad2b3587108b030382999b98252153560b75fdf9b706cc128045	Earth charges are used to instantly mine earthy Blocks, such as dirt, grass, stone, ect. It can also be used in crafting to turn some things into dust and break some storage blocks down, such as a quartz block into four quartz. Firing one from a dispenser will fire a linear projectile that will apply the $(l:thermal:world/mobs/basalz)Sundered$(/l) effect on mobs hit and provide a strong knockback.	Используются для добычи земляных блоков, таких как: земля, трава, камень и т.д. Его также можно использовать на верстаке, для превращения некоторых вещей в пыль или разбора некоторых блоков, например кварцевого блока на четыре кварца. Выстрелив зарядом из раздатчика, он будет лететь линейно, и при попадании в моба или игрока наложит на него эффект $(l:thermal:world/mobs/basalz)Разлука$(/l) и отбросит.	CHANGE	Земляные заряды мгновенно разрушают землю, траву, камень и другие подобные блоки. В рецептах они могут измельчать предметы в пыль и разбирать блоки хранения, например блок кварца на четыре кварца. Выпущенный из раздатчика заряд летит по прямой, накладывает на задетых мобов эффект $(l:thermal:world/mobs/basalz)Разлука$(/l) и сильно отбрасывает их.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	369	313	0.848
patchouli-json:thermal:guidebook:entries/equipment/charges/earth_charge.json:/pages/1/text	sha256:cfc195994a1eae2ae8e65f88507a4c23f766d7e936e3d286962780c543e52f40	$(o)Legend has it that these were once powerful enough to break bedrock.$()	$(o)Легенда гласит, что когда-то они были достаточно мощными, чтобы разрушить скальную породу.$()	CHANGE	$(o)Легенда гласит, что когда-то эти заряды могли разрушать коренную породу.$()	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	90	72	0.800
patchouli-json:thermal:guidebook:entries/equipment/charges/earth_charge.json:/pages/1/title	sha256:45f4849ffd1861661161e73243ab60ce0156b1e9814019b3f58226d4848b93c5	Earth Charge	Земляной заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	14		
patchouli-json:thermal:guidebook:entries/equipment/charges/fire_charge.json:/name	sha256:67419f8dab20ca338540b777e3a27f18d0afee78ede9bb7c812884c64bdc09b2	Fire Charge	Огненный заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	14		
patchouli-json:thermal:guidebook:entries/equipment/charges/fire_charge.json:/pages/0/text	sha256:0e45b968bf57c1f462925309a2073b4cf81194e0944e7daa16af44bcf830b532	Fire charges are native to vanilla Minecraft, but the Thermal Suite adds a new use for them. They can be used in a crafting table with other resources to form certain alloys and blocks.	Огненные заряды являются предметами оригинальной игры, но Thermal добавляет для них новое применение. Они могут быть использованы в сетке крафта с другими ресурсами для создания определенных сплавов и блоков.	CHANGE	Огненные заряды есть и в обычном Minecraft, но Thermal даёт им новое применение. На верстаке из них и других ресурсов можно создавать некоторые сплавы и блоки.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	208	159	0.764
patchouli-json:thermal:guidebook:entries/equipment/charges/fire_charge.json:/pages/1/title	sha256:67419f8dab20ca338540b777e3a27f18d0afee78ede9bb7c812884c64bdc09b2	Fire Charge	Огненный заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	14		
patchouli-json:thermal:guidebook:entries/equipment/charges/ice_charge.json:/name	sha256:0aad2eeaf73aae67b2e8a2d208cc4b8970b13f13557eaa40cde75bc92d984768	Ice Charge	Ледяной заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	13		
patchouli-json:thermal:guidebook:entries/equipment/charges/ice_charge.json:/pages/0/text	sha256:e032606b19c82e8416acb1e5b36d0d418457cdeaf971645068d612e69cfc1b71	Ice charges can be used to place snow on blocks, convert water to ice, and change lava to obsidian. The latter two can also be done using buckets in a crafting table. Firing from dispenser will fire a linear projectile that applies the $(l:thermal:world/mobs/blizz)Chilled$(/l) effect to mobs and freezes a small area.	Ледяные заряды можно использовать для нанесения снега на блоки, превращения воды в лёд и превращения лавы в обсидиан. Последние два также можно сделать с помощью вёдер на верстаке. Выстрелив зарядом из раздатчика, он будет лететь линейно, и при попадании в моба или игрока наложит на него эффект $(l:thermal:world/mobs/blizz)Переохлаждение$(/l) и заморозит небольшую область.	CHANGE	Ледяные заряды покрывают блоки снегом, превращают воду в лёд, а лаву — в обсидиан. Последние два действия также доступны в рецептах с вёдрами. Выпущенный из раздатчика заряд летит по прямой, накладывает на мобов эффект $(l:thermal:world/mobs/blizz)Переохлаждение$(/l) и замораживает небольшую область.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	341	267	0.783
patchouli-json:thermal:guidebook:entries/equipment/charges/ice_charge.json:/pages/1/title	sha256:0aad2eeaf73aae67b2e8a2d208cc4b8970b13f13557eaa40cde75bc92d984768	Ice Charge	Ледяной заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	13		
patchouli-json:thermal:guidebook:entries/equipment/charges/lightning_charge.json:/name	sha256:51bd8b159627c19a528f99104109d52b20621d37d4637159ef29f87e2f5b93af	Lightning Charge	Молниеносный заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	18		
patchouli-json:thermal:guidebook:entries/equipment/charges/lightning_charge.json:/pages/0/text	sha256:9447c3611353e88fd5172a067c86eb58adbdb91d36502ad0108d6cadf5a7b72e	Lightning charges can be used to summon a single bolt of lightning. Firing from a dispenser will fire a linear projectile that applies the $(l:thermal:world/mobs/blitz)Shocked$(/l) effect to mobs.	Молниеносные заряды можно использовать для вызова одной молнии. Выстрелив зарядом из раздатчика, он будет лететь линейно, и при попадании в моба или игрока нанесёт немого урона и наложит на него эффект $(l:thermal:world/mobs/blitz)Шок$(/l).	CHANGE	Молниеносный заряд вызывает один удар молнии. Выпущенный из раздатчика заряд летит по прямой и накладывает на мобов эффект $(l:thermal:world/mobs/blitz)Шок$(/l).	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	206	127	0.617
patchouli-json:thermal:guidebook:entries/equipment/charges/lightning_charge.json:/pages/1/title	sha256:51bd8b159627c19a528f99104109d52b20621d37d4637159ef29f87e2f5b93af	Lightning Charge	Молниеносный заряд	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	18		
patchouli-json:thermal:guidebook:entries/equipment/explosives/detonator.json:/name	sha256:50d5ed4a25aadc86254efe3953e06f70b17d2a56b33351a6b384c412dc04e028	Detonator	Детонатор	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	9		
patchouli-json:thermal:guidebook:entries/equipment/explosives/detonator.json:/pages/0/text	sha256:8605aba86257603c3f37a5f5acc0a4d163a4c118dd15abecb44f036191c53a45	The detonator is used to prime, and then detonate up to 16 explosive blocks at once! First place all your explosives, then right click each one with the detonator. The light will turn yellow to indicate that at least 1 explosive has been primed. The mode can then be changed to detonate, at which point the light will turn green and another right click will detonate all primed explosives.	Используется для детонации до 16 блоков динамита за раз! Сначала поставьте динамит, а потом кликнете ПКМ на каждом из них детонатором. Индикатор загорится жёлтым, указывая на то, что по крайней мере 1 динамит был заряжен. Затем можно изменить режим на детонацию, после чего индикатор загорится зелёным, и ещё один щелчок ПКМ приведёт к детонации всего заряженного динамита.	CHANGE	Детонатор позволяет подготовить и одновременно взорвать до 16 блоков взрывчатки! Разместите взрывчатку и нажмите ПКМ детонатором по каждому блоку. Жёлтый индикатор означает, что подготовлен хотя бы 1 блок. Затем включите режим детонации: индикатор станет зелёным, а следующее нажатие ПКМ взорвёт все подготовленные блоки.	Исправлены смысловое расхождение, калька или неестественная русская формулировка.	373	321	0.861
patchouli-json:thermal:guidebook:entries/equipment/explosives/detonator.json:/pages/1/text	sha256:0d72e19c824795c4f5a3d41d32fa734eaf71926ec5ca57c87a7066c738d07635	Press '$(k:cofh.mode_change_increment)' to change modes.	Нажмите '$(k:cofh.mode_change_increment)' для смены режима.	PASS		Смысл источника сохранён; текст достаточно простой, естественный и уместный в игровом интерфейсе.	28		
