id	source_hash	source	native_translation	verdict	recommendation	reason	native_visible_length	recommended_visible_length	length_ratio
patchouli-lang:botania:botania.category.ender.description	sha256:c851eb5e47439bbe25e34a17f1ed2ca5946d10b4d4283d7fcf08af15ae2ac6b2	Utilizing the properties of the End void for superior automation options and other benefits.	Загадочные энергии не менее загадочного $(thing)Энда$(0) формируют уникальные артефакты. Этот раздел изучает предметы и концепты, представляющие синтез природной магии $(thing)Ботании$(0) и странных свойств $(thing)Энда$(0), и открывающие удивительные способы перемещения, хранения и усиления.	CHANGE	Свойства пустоты Энда открывают новые возможности для автоматизации и не только.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	257	80	0.311
patchouli-lang:botania:botania.category.functionalFlowers	sha256:384a84637b61aa83c95617fadf5dcb9ebb8c48ff689abf54a2d64714ccaf343f	Functional Flora	Функциональная флора	CHANGE	Функциональная флора	Уточнено по английскому источнику и упрощено для игрового текста.	20	20	1.000
patchouli-lang:botania:botania.category.functionalFlowers.description	sha256:597a0e45593f2e04bf03e313376162e993524d9a61bc2c3f92d25e751a0ea3cf	Utilizing flowers and mana to automate or simplify various tasks.	Хотя цветы $(thing)функциональной флоры$(0) красивы, они больше нужны не для красоты, а для выполнения особых задач. $(thing)Функциональная флора$(0) вытягивает ману из ближайших бассейнов, чтобы запитать свои способности: иногда цветы взаимодействуют с миром действительно поразительными способами!	CHANGE	Цветы и мана помогают автоматизировать и упрощать разные задачи.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	275	64	0.233
patchouli-lang:botania:botania.category.generationFlowers	sha256:c5ccd88f2604dc025c40d11fd0dc25081672a12a2940dfab0a4c22d01a5b9914	Generating Flora	Генерирующая флора	CHANGE	Генерирующая флора	Уточнено по английскому источнику и упрощено для игрового текста.	18	18	1.000
patchouli-lang:botania:botania.category.generationFlowers.description	sha256:f77758b537f9d4f22d5cadb263bc9bb2cdb85dcf5a39fa5c955ee98156421178	Various ways to convert resources into mana through the use of flowers.$(p)(If it seems complicated, it's usually worth the effort.)	Этот раздел описывает требования разных цветов генерирующей флоры, показывая как нужно ухаживать за цветами, чтобы обеспечить стабильный запас $(thing)маны$(0), столь нужной для постоянно растущих магических систем.	CHANGE	Способы превращать ресурсы в ману с помощью цветов.$(p)(Обычно оно того стоит.)	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	203	75	0.369
patchouli-lang:botania:botania.category.mana	sha256:224ded9f5046a700b6ff9ba7b8fde25d5152b1062d2601a8f91e051e2db4d755	Mana Manipulation	Управление маной	CHANGE	Управление маной	Уточнено по английскому источнику и упрощено для игрового текста.	16	16	1.000
patchouli-lang:botania:botania.category.mana.description	sha256:252180fc9a4e8dfbe2817bf38c4b44f386d7b36e469afefc9599f1313609a2dd	Methods for collecting, distributing, and otherwise managing this very important resource.	$(thing)Мана$(0) — сама суть и эссенция магии природы; кровь $(thing)Ботании$(0). Этот раздел рассказывает о способах перемещения, хранения и манипуляции маны с помощью необычных мистических устройств — то, что нужно знать для планирования удобной структуры управления $(thing)маны$(0).	CHANGE	Как собирать, распределять и по-разному использовать этот важный ресурс.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	250	72	0.288
patchouli-lang:botania:botania.category.misc	sha256:5cb0b42660589925c804543d433ba0764dab859487e5a9ed855481dcbfec1f06	Miscellaneous	Разное	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	6		
patchouli-lang:botania:botania.category.misc.description	sha256:ec69cc3924189288e7505d4bf18f68492b6df7c7483243d55b45676105619560	Various useful pieces of information.	Этот раздел — сборник всех глав, не подошедших ни под один из основных разделов. Главы включают в себя предметы с интересными свойствами, декоративные блоки, или просто разные советы и записи о мире природной магии.	CHANGE	Разные полезные сведения.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	215	25	0.116
patchouli-lang:botania:botania.category.tools	sha256:b1937987c6a94d44687d3e9c46ffbf3f335ce8951351ff03256d8baf200b34d4	Mystical Items	Мистические предметы	CHANGE	Мистические предметы	Уточнено по английскому источнику и упрощено для игрового текста.	20	20	1.000
patchouli-lang:botania:botania.category.tools.description	sha256:2a1ee7d54330c49a764be250399c340d85ed555a6d1518bb3d42e40efe6dae5d	Tools, weapons, and armor made from magical resources.	$(thing)Мистические предметы$(0) — это не только магическое оружие и броня, а бесчисленные инструменты: от магических для добычи и разрушения до мистических для созидания и творения. Но можно точно сказать, что все эти предметы имеют какие-либо свои свойства, уникальные для класса.	CHANGE	Инструменты, оружие и броня из магических материалов.	Сокращено и приведено к естественной игровой формулировке по английскому источнику.	270	53	0.196
patchouli-lang:botania:botania.challenge.animalFarm	sha256:097ebd24f7f6d8b1977a0794b9ddec2016db2296468ece14fef4d9c56ca9930e	Animal Farm	Ферма животных	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	14		
patchouli-lang:botania:botania.challenge.animalFarm.desc	sha256:518314f48fbcddf7ff2745beb4a7e499752807126666b371a6bc1d44de70b1aa	Create an automated animal farm with all farmable animal types. Bonus points if the food doesn't need to be input manually.	Создайте автоматизированную ферму со всеми видами разводимых животных. Бонусные очки, если животных не надо кормить вручную.	CHANGE	Создайте автоматическую ферму со всеми видами разводимых животных. Бонусные очки, если их не нужно кормить вручную.	Уточнено по английскому источнику и упрощено для игрового текста.	124	115	0.927
patchouli-lang:botania:botania.challenge.apothecaryRefill	sha256:779272f78b1b15e88c729b9f8232d9646ef0743bb02f1be477621469f1812857	Apothecary Refiller	Автономная лепестковая чаша	CHANGE	Автодолив аптекаря	Уточнено по английскому источнику и упрощено для игрового текста.	27	18	0.667
patchouli-lang:botania:botania.challenge.apothecaryRefill.desc	sha256:c8b558dd226be50b87310327f6dfc817a5f4948b9ad29dbd48fa135e5e6ae01a	Create a system that automatically refills the $(l:basics/apothecary)Petal Apothecary$(/l) if it's empty. Bonus points if the system can also automatically create flowers, given their components.	Создайте автоматизированную систему наполнения $(l:basics/apothecary)лепестковой чаши$(/l) водой, если она пуста. Бонусные очки, если система также может автоматически создавать цветы, если внести ингредиенты для них.	CHANGE	Создайте систему, которая автоматически доливает воду в $(l:basics/apothecary)Лепестковый Аптекарь$(/l), когда он пуст. Бонусные очки, если она также создаёт цветы из заданных компонентов.	Уточнено по английскому источнику и упрощено для игрового текста.	190	161	0.847
patchouli-lang:botania:botania.challenge.autoQuarry	sha256:85715e564e950c818aeac236b63eb2092b4ab6445f778f5067fc5b11a54da971	Automated Quarry	Автоматизированный карьер	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	25		
patchouli-lang:botania:botania.challenge.autoQuarry.desc	sha256:da6ca89b48290a751518d89ab0794f21f4b94c13a29ce8519e4f1d02f1d0b87a	Create a mining quarry that digs for ores and stone underground. It should dig out chunks of land and output all of the mined resources, sorting them. Bonus points if it can relocate automatically after it's done with an area.	Создайте автоматизированный карьер, раскапывающий руды и другие подземные ресурсы. Он должен выкапывать и выводить все добытые ресурсы с сортировкой. Бонусные баллы, если карьер может автоматически перемещаться после того, как «разобрался» с областью.	CHANGE	Создайте карьер для автоматической добычи руды и камня под землёй. Он должен выкапывать участки породы и сортировать все добытые ресурсы. Бонусные очки, если после завершения работы он сам перемещается на новое место.	Уточнено по английскому источнику и упрощено для игрового текста.	251	217	0.865
patchouli-lang:botania:botania.challenge.battery	sha256:cbee09c363eebb36ee8bd4325f9e9bad04719654738d1da00958a62f61e879f1	Mana Battery	Аккумулятор маны	CHANGE	Манабатарея	Уточнено по английскому источнику и упрощено для игрового текста.	16	11	0.688
patchouli-lang:botania:botania.challenge.battery.desc	sha256:dace0d2b1c06b2502597a02230b61240e542ed2e6102f4cb21d5007ee37d0cf6	Create a Mana Battery, a system where mana enters one pool and comes out of another, with a good number of pools as a buffer. Bonus points if the input or output can be changed.	Создайте аккумулятор маны, систему, где мана входит в один бассейн и выходит из другого, а между ними находится буфер из множества других бассейнов. Бонусные баллы, если вход или выход можно изменить.	CHANGE	Создайте манабатарею: система принимает ману в один бассейн и выдаёт из другого, используя множество бассейнов как буфер. Бонусные очки, если вход или выход можно менять.	Уточнено по английскому источнику и упрощено для игрового текста.	200	170	0.850
patchouli-lang:botania:botania.challenge.boneMealFarm	sha256:2a3e63a0ff852b2cd3d4a71afd631639bc5c5bef3d0a86acf1d746b58e87d0e9	Bone Meal-type Farm	Ферма на костной муке	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	21		
patchouli-lang:botania:botania.challenge.boneMealFarm.desc	sha256:06f8a956ba734eda975db2a3f36ee7f418150e21643c6ccc12cddbb52e699a02	Create an automated farm that uses bone meal to quickly grow crops on demand. Bonus points if the $(l:devices/forest_drum)Drum of the Wild$(/l) isn't used.	Создайте автоматизированную ферму, использующую костную муку для быстрого выращивания сельскохозяйственных культур по мере необходимости. Бонусные очки, если $(l:devices/forest_drum)барабан дикой природы$(/l) не используется.	CHANGE	Создайте автоматическую ферму, которая по запросу ускоряет рост культур костной мукой. Бонусные очки, если не используется $(l:devices/forest_drum)Барабан дикой природы$(/l).	Уточнено по английскому источнику и упрощено для игрового текста.	196	145	0.740
patchouli-lang:botania:botania.challenge.cobbleGen	sha256:15683c96d37a29f341ef3f6262a19b3bc38314ff172007e1868053f9361949e5	Cobble Generator	Генератор булыжника	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	19		
patchouli-lang:botania:botania.challenge.cobbleGen.desc	sha256:1823530436928b319b86e3f54233d4fc709765b244b8415efcfe42d44defcde5	Create an automated cobblestone generator and harvester. Bonus points if it also generates normal stone without a furnace.	Создайте автоматизированный генератор и собиратель булыжника. Бонусные очки, если он также создаёт камень без печи.	CHANGE	Создайте автоматический генератор и сборщик булыжника. Бонусные очки, если он также производит обычный камень без печи.	Уточнено по английскому источнику и упрощено для игрового текста.	115	119	1.035
patchouli-lang:botania:botania.challenge.entropinnyumSetup	sha256:47f7ba900297e6e4d78ca7364b0b89a06804b0abcf11092044f54d7008dee1d7	Entropinnyum Setup	Автономный энтропиннум	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	22		
patchouli-lang:botania:botania.challenge.entropinnyumSetup.desc	sha256:638eb850d9e9ff8cb1f1ba1083ab32bfef9716db8688925b89978c26d3c22bc9	Create a system that automatically crafts TNT and safely feeds it to an $(l:generating_flowers/entropinnyum)Entropinnyum$(/l) flower, creating mana. Bonus points if the sand and gunpowder required for the TNT don't need to be input manually.	Полностью автоматизируйте $(l:generating_flowers/entropinnyum)энтропиннум$(/l); нужна автономная система создания динамита для безопасного кормления цветка. Бонусные баллы, если песок и порох, необходимые для динамита, не нужно вводить вручную.	CHANGE	Создайте систему, которая автоматически создаёт TNT и безопасно подаёт его цветку $(l:generating_flowers/entropinnyum)Энтропиннум$(/l), вырабатывая ману. Бонусные очки, если песок и порох для TNT не приходится подавать вручную.	Уточнено по английскому источнику и упрощено для игрового текста.	203	186	0.916
patchouli-lang:botania:botania.challenge.flowerFarm	sha256:02b254320e5ac7f6fcbc4326c6a03f9d443bf38508955b026e31eac23e40337c	Flower Farm	Цветочная ферма	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.flowerFarm.desc	sha256:0755e33e1aa03dc56279c8fba4f2a0a5af9902bea336ab9d844a6dec3199825c	Create an automated farm of all 16 colors of Botania flowers. Bonus points if the flowers are sorted.	Создайте автоматизированную ферму для всех 16 цветков Ботании. Бонусные очки за сортировку. Ещё бонусные очки, если вы почему-то сделали ферму всех цветов Ботании, хотя я вроде бы говорил только про мистические.	CHANGE	Создайте автоматическую ферму цветков Ботании всех 16 цветов. Бонусные очки, если цветки сортируются.	Уточнено по английскому источнику и упрощено для игрового текста.	211	101	0.479
patchouli-lang:botania:botania.challenge.fullCropFarm	sha256:573e91992b764b2216ab65d360cd0b447eb92a99b0228317a57842545c848733	Full Crop Farm	Полная ферма с/х культур	CHANGE	Ферма всех культур	Уточнено по английскому источнику и упрощено для игрового текста.	24	18	0.750
patchouli-lang:botania:botania.challenge.fullCropFarm.desc	sha256:a8a1421df418e265be9ddb699fa364eda969fc1fb7d46784f46bc3ede18f6ae8	Create a crop farm with all types of crops (wheat, carrot, potato, beetroot, melon, pumpkin, cocoa, and nether wart) that runs at full efficiency. Bonus points if the outputs are sorted.	Создайте максимально быструю автоматизированную ферму культур со всеми типами сельскохозяйственных культур (пшеница, морковь, картофель, свекла, арбуз, тыква, какао и незерский нарост). Бонусные очки, если ресурсы сортируются.	CHANGE	Создайте ферму всех культур (пшеницы, моркови, картофеля, свёклы, арбузов, тыкв, какао-бобов и незерского нароста), работающую на полную мощность. Бонусные очки, если урожай сортируется.	Уточнено по английскому источнику и упрощено для игрового текста.	226	186	0.823
patchouli-lang:botania:botania.challenge.kekimurusSetup	sha256:bde03e02c5c0c0b54627a1dfbc75cac4ab941187f9f2f56da92699c5c16bf778	Kekimurus Setup	Автономный кекимурус	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	20		
patchouli-lang:botania:botania.challenge.kekimurusSetup.desc	sha256:1a1ee745c2583740bfe5bee6fc5d6a503706015818c30eb0c59aa6cff682b340	Fully automate a $(l:generating_flowers/kekimurus)Kekimurus$(/l); every part of the system must be automated and self-sustaining. Bonus points if only one crafty crate is used.	Полностью автоматизируйте $(l:generating_flowers/kekimurus)кекимурус$(/l); каждая часть системы должна быть автономной и самоподдерживающейся. Бонусные очки, если используется только один сборочный ящик.	CHANGE	Полностью автоматизируйте $(l:generating_flowers/kekimurus)Кикиморус$(/l): все части системы должны работать автоматически и поддерживать себя сами. Бонусные очки, если используется только один сборочный ящик.	Уточнено по английскому источнику и упрощено для игрового текста.	165	171	1.036
patchouli-lang:botania:botania.challenge.mobTower	sha256:cb1457f0e44601046b905df099e4a53a753a1c65c77fe4c3becdc200e6a14ed7	Spawning Tower	Башня-ферма мобов	CHANGE	Башня мобов	Уточнено по английскому источнику и упрощено для игрового текста.	17	11	0.647
patchouli-lang:botania:botania.challenge.mobTower.desc	sha256:76e68147dc3b63a7d81660b07b83813d29f3ed86902da801869b49baa2934263	Create a tower style mob farm. Mobs must be sorted and put into specific chambers. Spawners can be used. Bonus points if the farm functions at 100%% efficiency without a player's interaction.	Создайте ферму мобов в башне. Мобы должны быть отсортированы и помещены в выделенные для каждого вида камеры. Можно использовать рассадники монстров. Бонусные очки, если ферма функционирует со 100%%-ой эффективностью без вмешательства игрока.	CHANGE	Создайте башенную ферму мобов. Мобы должны сортироваться по отдельным камерам. Можно использовать спавнеры. Бонусные очки, если ферма работает на 100%% без участия игрока.	Уточнено по английскому источнику и упрощено для игрового текста.	242	171	0.707
patchouli-lang:botania:botania.challenge.orechid	sha256:a994eb6c345b47a7d2a24147bf1beec9e7bce95f71226c004e046d6c324d43f9	Automated Orechid	Автономный рудоцвет	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	19		
patchouli-lang:botania:botania.challenge.orechid.desc	sha256:fff5d98f838090b014a6b3ac063d209974ae751d73fe35dcaaea5d8cc79474dd	Create a system that allows for the $(l:functional_flowers/orechid)Orechid$(/l) flower to be fully automated. Bonus points if the output is smelted and sorted.	Полностью автоматизируйте $(l:functional_flowers/orechid)рудоцвет$(/l). Бонусные баллы, если ресурсы на выходе плавятся и сортируются.	LENGTH_EXCEPTION	Создайте систему, полностью автоматизирующую $(l:functional_flowers/orechid)Рудноцвет$(/l). Бонусные очки, если добытое переплавляется и сортируется.	Уточнено по английскому источнику и упрощено для игрового текста.	98	113	1.153
patchouli-lang:botania:botania.challenge.potionBrewer	sha256:515465323b971c9d3f6ae1816af0987f7cac54d81cca778686a41b6def2995e7	Automated Brewing	Автоматизированное отвароварение	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	32		
patchouli-lang:botania:botania.challenge.potionBrewer.desc	sha256:540436de4ab20f3d620ab95ad3a953faba257e9ebfdc89819f320ad85cb286d1	Create a system that can make all types of brews automatically on demand. Bonus points if it keeps a set of incenses always ignited in the player's base.	Создайте автоматизированную систему создания отваров по мере необходимости. Бонусные очки, если система поддерживает множество манаароматических палочек на базе игрока всегда зажжёнными.	CHANGE	Создайте систему, которая по запросу автоматически готовит все виды варев. Бонусные очки, если она поддерживает набор благовоний на базе игрока постоянно зажжённым.	Уточнено по английскому источнику и упрощено для игрового текста.	186	164	0.882
patchouli-lang:botania:botania.challenge.pureDaisy	sha256:13d769ab53ed152bd3c71aac659ce0866b4cb1e7c33cb309f9cd7055e5aa587d	Auto Pure Daisy	Автономная маргаритка	LENGTH_EXCEPTION	Автоматизация маргаритки	Уточнено по английскому источнику и упрощено для игрового текста.	21	24	1.143
patchouli-lang:botania:botania.challenge.pureDaisy.desc	sha256:d348cecdd5b00ef9aa786dcd6eee3fd9805698eb1669a50389ee2db5eaae9999	Completely automate the $(l:basics/pure_daisy)Pure Daisy$(/l). Bonus points if only one spreader is used and/or if the wood/stone input is also automated.	Полностью автоматизируйте $(l:basics/pure_daisy)чистую маргаритку$(/l). Бонусные баллы, если используется только один распространитель и/или если входящее дерево/камень также автоматизировано.	CHANGE	Полностью автоматизируйте $(l:basics/pure_daisy)Чистую маргаритку$(/l). Бонусные очки, если используется только один распространитель и/или автоматически подаются дерево и камень.	Уточнено по английскому источнику и упрощено для игрового текста.	165	152	0.921
patchouli-lang:botania:botania.challenge.recordFarm	sha256:49543f08273daeef958862e0411dc4a27ffac45464f5d18692e8c03990517fd0	Record Farm	Ферма пластинок	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.recordFarm.desc	sha256:f7662c3bd2731470ad055c4626a2a58c19a43b974740f8a249b418d209d58ea6	Create a system that produces records through the death of creepers at the hands of skeletons. Bonus points if it doesn't require a player's presence.	Создайте систему, которая производит пластинки через смерть криперов от скелетов. Бонусные очки, если ферма не требует присутствия игрока.	CHANGE	Создайте систему, в которой скелеты убивают криперов, добывая пластинки. Бонусные очки, если присутствие игрока не требуется.	Уточнено по английскому источнику и упрощено для игрового текста.	138	125	0.906
patchouli-lang:botania:botania.challenge.reedFarm	sha256:4040077cfb314e14907e0c65c0cecc588ce7d40380c8f629ec207483a8bf6a70	Sugar Cane Farm	Ферма тростника	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	15		
patchouli-lang:botania:botania.challenge.reedFarm.desc	sha256:d14ce3871fe5146171ecce98d5b674c4bdf6e7ee8f5e64883ba7319f9a99d212	Create an automated sugar cane farm. Bonus points for not using pistons.	Создайте автоматизированную ферму сахарного тростника. Бонусные баллы за отсутствие поршней.	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	92		
patchouli-lang:botania:botania.challenge.runeCrafter	sha256:1d96c78690fece76879372f1fb0f1ee0183f0340427b3351bcbfaa4bb9500619	Rune Crafter	Автономное создание рун	CHANGE	Создатель рун	Уточнено по английскому источнику и упрощено для игрового текста.	23	13	0.565
patchouli-lang:botania:botania.challenge.runeCrafter.desc	sha256:2a91f2e3b442b0dcc5a23bd09d38eda47adb74791bff435df2982149c179274d	Create a system that can craft all runes on demand or keep them stocked. Every part of this system must be automated and self-sustaining, including the item inputs. Bonus points if only one Runic Altar block is used. (You need to be pretty crazy to try this one.)	Создайте систему, которая может создавать все $(l:basics/rune_altar#rune)руны$(/l) по мере необходимости или поддерживая определённый запас. Каждая часть этой системы должна быть автоматизированной и самоподдерживающейся, включая ввод материалов. Бонусные очки, если используется только один блок рунического алтаря.$(p)P.S. Вы должны быть достаточно безумным, чтобы выполнить это испытание.	CHANGE	Создайте систему, которая по запросу создаёт любые руны или держит их в запасе. Всё, включая подачу предметов, должно работать автоматически и автономно. Бонусные очки за единственный рунический алтарь. (Нужно быть безумцем, чтобы взяться за такое.)	Уточнено по английскому источнику и упрощено для игрового текста.	355	249	0.701
patchouli-lang:botania:botania.challenge.shulkMeNotSetup	sha256:b51175de04e1a805ad1946732f031bad1cae73ce05b0b9aa2f884b00d78ef36a	Shulk Me Not Setup	Автономная дешалкерия	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	21		
patchouli-lang:botania:botania.challenge.shulkMeNotSetup.desc	sha256:aac77cadbcc0e285216592c6d70734305a5533f08ee56f1b2b80a33d36122f50	Create a system that allows for a $(l:generating_flowers/shulk_me_not)Shulk Me Not$(/l) to produce mana automatically, without any mana, items or entities from outside the system. Bonus points if no unnecessary mob infighting happens.	Полностью автоматизируйте $(l:generating_flowers/shulk_me_not)дешалкерию$(/l); она должна производить ману автономно, без какой-либо маны, предметов или сущностей, поступающих извне. Бонусные очки, если не происходит ненужных боёв между мобами.	CHANGE	Создайте систему, в которой $(l:generating_flowers/shulk_me_not)Дешалкерия$(/l) автоматически вырабатывает ману, не получая извне ни маны, ни предметов, ни существ. Бонусные очки, если между мобами не происходит лишних стычек.	Уточнено по английскому источнику и упрощено для игрового текста.	203	185	0.911
patchouli-lang:botania:botania.challenge.spectrolusSetup	sha256:9c77f87e8dcc62a0da6cd92f5c0d9afd284561472b170b9a5bb0b510111ee3a3	Spectrolus Setup	Автономный cпектролис	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	21		
patchouli-lang:botania:botania.challenge.spectrolusSetup.desc	sha256:ac9206c05da9609360b65425124aa2081c11e352bde5f10b8796feab656f2815	Create a system that feeds a $(l:generating_flowers/spectrolus)Spectrolus$(/l), generating mana. Aside from raw mana, no items may be input from outside the system. Bonus points if it operates at 100%% efficiency, never wasting any wool.	Полностью автоматизируйте $(l:generating_flowers/spectrolus)спектролис$(/l); кроме сырой маны, никакие предметы не могут вводиться извне. Бонусные очки, если система работает со 100%%,-ой эффективностью никогда не теряя ни одного блока шерсти.	CHANGE	Создайте систему, которая кормит $(l:generating_flowers/spectrolus)Спектролис$(/l) и вырабатывает ману. Кроме сырой маны, в систему нельзя подавать предметы извне. Бонусные очки, если она работает на 100%%, не теряя ни блока шерсти.	Уточнено по английскому источнику и упрощено для игрового текста.	204	193	0.946
patchouli-lang:botania:botania.challenge.treeFarm	sha256:87142b7cb71ef006cc50385c347e1767930c2086c0061121984efc576e04ceb8	Tree Farm	Ферма дерева	CHANGE	Лесная ферма	Естественное игровое название.	12	12	1.000
patchouli-lang:botania:botania.challenge.treeFarm.desc	sha256:518fa3ae443fcf57df1fa05ac57a95743c0cc32a1317936d3e1719da51b292bf	Create an automated, self-sustaining tree farm. Bonus points if it can do multiple types of tree.	Создайте автоматизированную ферму дерева. Бонусные баллы, если она может использовать несколько типов деревьев.	CHANGE	Создайте автоматическую самоподдерживающуюся лесную ферму. Бонусные очки, если она выращивает несколько видов деревьев.	Восстановлено условие самоподдержания.	111	119	1.072
patchouli-lang:botania:botania.entry.aIntro	sha256:802db0455228f11f13bd484e3ee2c0d7aadf20c9ac2335d5b56c59085be21069	The Portal to Alfheim	Портал в Альвхейм	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	17		
patchouli-lang:botania:botania.entry.agricarnation	sha256:bebd9e7b29412cfe219831986c8060a23d69c1be306111ffd11e2682599e41bd	Agricarnation	Агрогвоздика	PASS		Текст читается естественно, ясно и соответствует английскому источнику.	12		
patchouli-lang:botania:botania.entry.animatedTorch	sha256:7ef694180978931d726ad557eaa816f15544a4ff36c715054fd7a2f765a992e6	Animated Torch	Оживлённый редст. факел	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	23		
patchouli-lang:botania:botania.entry.apothecary	sha256:c37e54b47bd139b3bd92ac5aedb95932cb9c45933c781d2191fbc24380916179	Petal Apothecary	Лепестковая чаша	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	16		
patchouli-lang:botania:botania.entry.arcanerose	sha256:bec92e399160b6b31dccf7d996b36e66899a9115b9f73598e68eee4bcb57cd49	Rosa Arcana	Роза тайн	PASS		Текст естественно читается, сохраняет смысл английского источника и игровые маркеры.	9		
